<page title>|actual weight|attributes|brightness lumens|brightness nitscdm2|color|color support|compatibility notes|compliant standards|connector|connector type|contents|contrast ratio|diagonal size|digital video standard|display position adjustments|display size|display technology|display type|dot pitch|energy star qualified|energy star version|form factor|horizontal frequency khz|image aspect ratio|image brightness|image size max|image size min|internal resolution max|lamp type|native resolution|os notes|physical dimensions|portsconnectors|power notes|product type|projector type|refurbished type|resolution modes|response timerate|returns policy|screen distance min|speakers included|system requirements|target use|vertical frequency hz|viewing angle hv degrees|warranty  labor|warranty  parts|warranty details|weight
"Buy Planar 46"" LX46HD-L Full LED-LCD Monitor with ERO, Black Monitors - Large-Format LED-LCD 997-7113-00 today at PC Connection"|58.00 lb(s)|||450 nit(s)|Black||"Unique Architecture and Benefits by Design:
The Clarity Matrix Video Wall System was architected and developed by video wall industry experts in a way that specifically addresses the challenges faced by all video wall installations: mounting and alignment, reliability and extended operation, service and maintenance access and simple, effective image processing and management. At the heart of the Clarity Matrix architecture is a distributed design that takes heat, complexity and unreliability out from behind the LCD panel and replaces it with a centrally located, easily accessible and highly reliable rackmounted system.
EasyAxis Mounting System:
The Clarity Matrix Video Wall System includes the EasyAxis mounting system. The EasyAxis mounting system is designed to be attached to a wall, used with optional free-standing bases or secured overhead in a flying configuration. The single mount supports all these configurations. When used in wall-mount
configuration, horizontal and vertical connection brackets ensure that each mount is perfectly spaced from its neighbor in the video wall. The mount system also incorporates a service mode to accommodate front and rear in-wall repair of any LCD module in the video wall. EasyAxis mounts are designed to facilitate the thinnest profile LCD video wall in the market. The combination of the mount plus the Clarity Matrix LCD Modules “blade” design result in video walls that measure a mere 3.6 inches in depth, screen-to-wall, as opposed to other designs that require 60% more clearance.
Precise Panel Alignment:
Clarity Matrix LCD modules incorporate a single simple interface board designed to distribute off-board power, video and control signals to the LCD panel keeping depth, weight, heat and points of potential failure to an unprecedented minimum. The LCD blade-style module incorporates a bracket that is perfectly paired with the EasyAxis mount. The LCD module includes EasyAxis adjustment cams that facilitate precise 6-axis alignment ensuring uniform, minimized image-to-image gap. The lighter design of the Clarity Matrix LCD module means that handling, installation, alignment and service are all easier to accomplish.
24x7 Operation and Simplified Maintenance:
The unique Clarity Matrix architecture provides for 24x7 operation with optimized thermal design, high-MTBF components and redundant power supply option. Because of the streamlined design of the Clarity Matrix LCD modules, fewer repairs are required at the panel itself. When the panels do need to be accessed or removed, this can be accomplished without removing other panels in the wall. Starting at the top of the wall, panels can be pulled up and out into Service Mode, allowing the panel below to be accessed. Also built into each Clarity Matrix LCD display are service and troubleshooting aids that minimize downtime in the event of a failure. Power, backlight and fan monitoring are all built into Clarity Matrix to provide failure notification. Clarity WallNet enables health and status monitoring over a customer network to proactively provide health status or send an email or text message to a service technician alerting them of a failure.
Redundant Power Supply:
The rack-mount video processing and power supply units each support 4 LCD modules, incorporate their own cooling and make configuration, maintenance and upgrades easily accessible and unobtrusive to the video wall itself. For even further reliability, the Clarity Matrix power supply unit includes an n+1 redundant design so if any one power supply in the unit fails, the remaining 4 will continue to power 4 LCD’s with uninterrupted operation.
Flexible Video Processing:
Clarity Matrix supports a wide range of processing options to display sources on the video wall. Planar’s Big Picture Plus processing is built into Clarity Matrix and allows sources to be scaled across the entire video wall or any section of the video wall. To simplify the set-up process of Big Picture Plus, Clarity Matrix has position sensors built in the LCD that determine where it is located within the array and scale the sources across the video wall automatically. Big Picture Plus processing also allows for ultra-high resolution dual link DVI signals to be input and spread over multiple displays at native resolution. For more complex configurations, Clarity Matrix supports all leading image processing and digital signage software solutions including Planar’s Indisys image processing.
Clarity Matrix with ERO:
Clarity Matrix with ERO features a glass front to provide increased ruggedness and optical performance for applications in public spaces or interactive touch. The glass surface is optically bonded to the front of the LCD with a proprietary construction and technique which maintains the narrow bezel spacing and creates a continuous surface when tiled together in a video wall. Clarity Matrix with ERO also provides improved optical performance in high ambient light by providing additional ambient light rejection and increased contrast."||DVI (Dual Link)|DVI|Display, documentation|3500:1||Digital Visual Interface (DVI)||46 in|['LED-backlit', 'LCD']|Widescreen||||||||||1920 x 1080|||||"(2) Dual-Link DVI (in, out)
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 157W (typ.)"||||||This product is subject to our return policy. Please see our complete return policy for details.||||||178/178|3 Years|3 Years||
Buy Tripp Lite HDMI over Cat5 Cat6 Extender, Receiver for Video and Video Extenders & Splitters B126-1P0 today at PC Connection|||||Black||"Features
Passive extender remote unit for the B126-002 (2-Port) and B126-004 (4-Port) Extender/Splitter local units, available separately
Extends a HDMI signal up to 100 ft. at 1080i (60Hz); or, up to 50 ft. at 1080p (60Hz) when using 24Awg, Solid Wire Cat5e/6 cable (Tripp Lite N202-Series)
Built-in HDMI male connector plugs directly into a monitor without the need for an additional cable
When used with a B126-002 or B126-004, both stereo audio and 7.1 channel surround sound audio are supported, as well as HDCP protected content
Compatible with all operating systems
Plug and play; No drivers or external power required
Compliant with the Federal Trade Agreements Act (TAA) for GSA Schedule purchases"||||Extender remote unit, documentation||||||||||||||||||||||"(1) RJ-45 (F)
(1) HDMI (M)"||Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year|Limited|
Buy Tripp Lite DVI over Cat5 Cat6 Extender, Video Receiver, Video Extenders & Splitters B140-1A0 today at PC Connection|||||Black||||||Unit, Mounting Hardware, Screwdriver, Power Supply Unit, Documentation|||||||||||||||||||||"1""h x 2.5""w x 3.6""d"|"(1) RJ-45 (F)
(1) DVI-I (F)"||AV Extender|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||1 Year|1 Year||
"Buy Asus 19.5"" VT207N Multi-Touch LCD HD Monitor Monitors - LCD VT207N today at PC Connection"|||||Black|||['C-Tick', 'CUL', 'CCC', 'GOST-R', 'FCC', 'ErP Ready', 'ISO 9241-307', 'CEL Level 1', 'CB', 'WEEE', 'TCO Displays 6.0', 'WHQL', 'RoHS', 'VCCI', 'BSMI']|||||||Tilt|19.5 in|||0.27 mm|Yes|||||250 cd/m2||||||||||||||||||||||Call for Warranty|Call for Warranty||
"Buy Kensington Blackout Privacy Filter for 14.1"" Notebooks Glare Filters & Privacy Screens K55782WW today at PC Connection"|||||Black||"Designed for 14.1-inch notebooks.
Limits viewing angle +/- 30° while also protecting the screen from scratches and damage.
Easy to attach and removable, yet thin enough to allow your notebook computer to close.
Screen cleaning cloth included."||||Filter, documentation||||||||||||||||||||||||Display privacy filter|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||Limited Lifetime|Limited Lifetime||
"Buy Samsung 24"" SC650 LED-LCD Monitor, Matt Black Monitors - LED-LCD S24C650BW today at PC Connection"|9.00 lb(s)|||250 cd/m2|Matte Black|16.7 million colors|"Maximum monitor experience with a chic, thin frame. Thanks to its narrow bezel users are less distracted when looking at the monitor and can thus concentrate better. Due to the larger display, it is also easier to set up a workstation with two monitors and thereby increase productivity. And for users who want only a good-looking monitor, the narrow frame gives every desk that certain something.
Give your employees in the office the optimal representation with the cost Samsung Business Monitor. While conventional monitors have only a horizontal viewing angle of 170 degrees, thia Samsung monitor has a wider viewing angle of 178 degrees. The additional 8 degrees is particularly useful when more people need to see the screen. The Samsung Business Monitor has improved the vertical viewing angle to 18 degrees, making it ideal for presentations with many participants.
100 x 100mm VESA mounting pattern.
Dimensions and weight with stand:
15""-20.2""h x 21.8""w x 8.8""d
12.6 lbs."|['CSA C22.2 No. 60950-1', 'FCC Part 15 B Class A', 'UL 60950-1', 'RoHS', 'NOM-019-SCFI-1993 IRAM']|['DVI', 'HDDB15', 'Power']|['DVI', 'Power', 'VGA']|display, VGA cable, DVI cable, documentation|1000:1||Digital Visual Interface (DVI)|['Pivot (rotation)', 'Height', 'Tilt']|24 in|['LED-backlit', 'LCD']|Widescreen|0.27 mm|Yes|||||250 cd/m2|||1920 x 1200||||"14.1""h x 21.8""w x 2.1""d"|"(1) HDDB15 VGA
(1) DVI
(1) Power in"|"Supply: 100-240VAC, 50/60Hz
Consumption: 30W (typ.); 25W (standby);"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||178/178|3 Years|3 Years||
"Buy NEC 19"" AS192WM-BK LED-LCD Monitor, Black Monitors - LED-LCD AS192WM-BK today at PC Connection"|7.30 lb(s)|||250 cd/m2|Black|16.7 million colors|"LED backlight technology provides for industry-leading low power consumption and less hazardous materials.
Wide-format screen increases productivity by expanding your working area to view multiple application windows.
Ambix dual-input technology allows for digital/analog compatibility with upgraded video cards and software as well as connection to two systems.
Rapid Response technology delivers virtually uninterrupted, undistorted viewing of high-speed, full-motion video.
Energy efficiency is optimized as a result of the display's ""green"" technology.
ECO Mode function helps save power, reduce heat and extend the life of the display by allowing you to dim the backlight.
Intelligent Power Manager (IPM) system and off timer provide innovative power-saving methods and reduce CO2 emissions by shifting to a lower power. consumption level or automatically powering down when the monitor is on but not in use.
100 x 100mm VESA mounting pattern."|['EPEAT Silver', 'TCO Displays 6.0', 'RoHS', 'Energy Star 6.0']|['HDDB15', 'Power', 'DVI-D']|['Power', 'DVI-D', 'VGA']|Monitor, power cord, vga cable, audio cable, documentation|1000:1||Digital Visual Interface (DVI)|Tilt|19 in|['LED-backlit', 'LCD']|Widescreen|0.28 mm|Yes|||31.5-81.1||250 cd/m2|||1440 x 900||||"11.8""h x 17.3""w x 2.5""d"|"(1) DVI-D
(1) HDDB15 VGA
(1) Power in"|Consumption: 14W (typ.); 0.4W (power savings mode)|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.|||||56-75|160/170|3 Years|3 Years||
"Buy Open Box Acer 22"" V226HQL ABMD Full HD LED-LCD Monitor Monitors - LED-LCD UM.WV6AA.A02 today at PC Connection"|7.10 lb(s)|['Speakers Included', 'Dual speakers']||250 nit(s)|Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact."|TCO Displays 6.0|['DVI', 'Power', 'HDDB15']|['Power', 'DVI', 'VGA']|Monitor, power cord, DVI cable, VGA cable, documentation|100,000,000:1||Digital Visual Interface (DVI)||21.5 in|['LCD', 'LED-backlit']|Widescreen|||||||250 cd/m2|||1920 x 1080||||"15.4""h x 20""w x 8.1""d"|"(1) DVI
(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 19.5W (typ.); 0.4W (standby); 0.3W (off mode)"|||Open Box||8 ms|||||||178/178|90 Days|90 Days||
Buy Elite Manual Series Projection Screen, Matte White, 16:9, 100in Projector Screens M100UWH today at PC Connection|20.00 lb(s)||||White||Wall mount bracket sold separately.||||Screen, hardware, case, documentation|||||||||||||||||||||"59.3""h x 93.5""w"|||Projection screen|||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy Open Box Acer 19"" V196HQL AB LED-LCD Monitor, Black Monitors - LED-LCD UM.XV6AA.A01 today at PC Connection"|4.40 lb(s)|||200 nit(s)|Black|16.7 million colors|"Convincing:
Focus more sharply on your tasks with the superior contrast ratios and ultra-quick response of Professional Series monitors. In-Plane Switching (IPS) technology delivers consistent viewing across wide angles, faster response time for reduced eye strain, more realistic colors, and a stable view that prevents tailing when the screen is touched.
Prepared:
Collaborating with others is faster and more productive when you have plenty of ports available. Professional Series monitors allow you to connect to a wide variety of useful devices including notebooks, tablets and giant screen TVs, thanks to helpful VGA, DVI, HDMI, USB and even DisplayPort connectivity options.
Green focus:
Professional Series monitors are RoHS compliant and mercury free. In addition, you'll see power savings of up to 68% thanks to advanced Acer EcoDisplay technologies and white LED backlighting, which cut your costs and conserve the earth's resources. Acer also uses recyclable packaging to further reduce ecological impact.
Dimensions and weight with stand:
13.9""h x 17.4""w x 7.5""d
5.5 lbs."|['EPEAT Gold', 'MPRII']|['Power', 'HDDB15']|['VGA', 'Power']|Monitor, VGA cable, power cord, documentation|100,000,000:1||||18.5 in|['LED-backlit', 'LCD']|Widescreen|||||||200 cd/m2|||1366 x 768||||"10.5""h x 17.4""w x 2""d"|"(1) HDDB15 VGA
(1) Power in"|"Supply: 110-220VAC
Consumption: 11.9W (typ.); 0.5W (standby); 0.4W (off mode)"|||Open Box||5 ms|||||||90/65|90 Days|90 Days||
Buy Elite VMax2 Projection Screen, MaxWhite, 16:9, 135in (Free Mount Projector Screens VMAX135XWH2 today at PC Connection|||||||||||Projection screen, white case, RF remote, IR remote, wall box, documentation|||||||||||||||||||||"66""h x 117.33""w"||||||||This product is subject to our return policy. Please see our complete return policy for details.|||||||2 Years|2 Years|Government, Education, Military, and Religious customers receive a 3 year screen warranty|
"Buy Planar 22"" PLL2210mw Full HD LED Monitor, Black Monitors - LED-LCD 997-6501-00 today at PC Connection"|7.00 lb(s)|['Speakers Included', 'Dual speakers', 'Tilt']||250 nit(s)|Black|16.7 million colors|"100 x 100mm VESA mounting pattern.
Dimensions with stand: 15.4""h x 19.9""w x 7""d"|['RoHS', 'CE', 'UL', 'CUL', 'FCC Class B certified']|['HDDB15', 'DVI-D 24-pin (Dual Link)', 'Power', '3.5mm audio']|['DVI', 'VGA', 'Audio', 'Power']|Monitor, base, power cord, VGA cable, DVI cable, audio cable, documentation|1000:1||Digital Visual Interface (DVI)|Tilt|21.5 in|['LED display', 'TFT']|Widescreen|.248 mm||||||250 cd/m2|||1920 x 1080||||"12.6""h x 19.9""w x 1.9""d"|"(1) 24-pin DVI-D
(1) HDDB15 VGA
(1) 3.5mm audio
(1) Power in"|"Requirements: 110/220VAC
Consumption: 25W (typ); 0.5W (standby)"|||||5 ms|This product is subject to our return policy. Please see our complete return policy for details.||||||170/160|3 Years|3 Years|Customer First warranty featuring FREE 2-Day Advance Replacement for three full years|
