3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|environmentconscious and reliable|features|flexible viewing and connectivity options|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|impressive screen clarity|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|superb performance|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|A1W80AT#ABU, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Compaq|250 cd/m²|['Microphone', 'Webcam', 'USB Hub']|CBISO 11469ISO1043DIN 6120CETUVTUV-GSETLFCCICESS-MarkVCCICCCC-TickTGMBSMIKCCKCE-standbyNOMSEPAPSBHRN N N0.201GOSTSASOSABS IEC 60950-1EDS|Black|16.7 Million Colours|||1,000:1||49.5 mm|249.40 mm|||||||Security Lock|||['WEEE', 'ENERGY STAR', 'TCO Certified Displays 5.2', 'REACH', 'CECP', 'RoHS', 'IT Eco Declaration', 'EPEAT Gold']|Yes|||Yes|334.2 mm|467 mm||170°||['110 V AC', '220 V AC']||Hewlett-Packard|A1W80AT#ABU||1920 x 1080|['Arm-mountable', 'Wall Mountable']|Yes|1|||55 W|L2311c 23-inch Notebook Docking MonitorUSB 3.0 CableAC Power CableNotebook Power CableSoftware|||PC|28%|Business|L2311c|L2311c 23-inch Notebook Docking Monitor|Advantage|LCD Monitor|Yes|Plastic|5 ms|Full HD|"58.4 cm (23"")"|Anti-glare||||60 Hz|1 W|||||||Yes|USB 3.0||160°|Yes|100 x 100|Yes||4.10 kg|6.55 kg|555.1 mm|551.50 mm
|G2460FQ, 3062143, AOC, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|AOC|350 cd/m²|Speaker|CE CU ISO 9241-307 TUV-GS Ukarin Safety|Black|16.7 Million Colours|||80,000,000:1|||219.30 mm||Yes|Yes||||['e-Saver', 'OverDrive', 'Eco Mode', 'i-Menu', 'Screen+', 'Security Lock', 'Zero Power Switch']|||['TCO Certified Displays 6.0', 'EPEAT Gold', 'RoHS', 'ENERGY STAR 6.0']|Yes|Yes|Yes|Yes||411.60 mm||170°||['110 V AC', '220 V AC']|3 Year|AOC|G2460FQ||1920 x 1080|Wall Mountable||1||300 mW|22 W|"g2460Fq 61cm (24"") LCD Monitor Power Cable D-Sub cable HDMI Cable Audio Cable Product CD-ROM Warranty Card on CD-ROM"||Twisted Nematic Film (TN Film)|||Style|g2460Fq|"g2460Fq 61cm (24"") LCD Monitor"||LCD Monitor|||1 ms|Full HD|"61 cm (24"")"||||Yes|60 Hz|500 mW||No||||-5°to20°|No|||160°|Yes|100 x 100|Yes||4.16 kg|||565.40 mm
|LS19C45KMRV/EN, 2720625, Samsung, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|5:4|LED|Samsung|250 cd/m²|Speaker||Black|16.7 Million Colours|||1,000:1|||210 mm|||Yes||||['MagicEco', 'MagicAngle', 'MagicReturn', 'MagicBright3']|||['TCO Displays 5.0', 'EPEAT Gold', 'ENERGY STAR']|Yes|||||369 mm||170°|||2 Year|Samsung|LS19C45KMRV/EN||1280 x 1024|Wall Mountable||1|2||15 W||||||SyncMaster|S19C450MR|SyncMaster 450 S19C450MR LCD Monitor|450|LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"||||Yes||||||||||||160°|Yes||Yes||4.45 kg|||407 mm
|9H.LA7LB.RBU, 3035116, BenQ, LCD Monitor, IML Direct Italy||Yes|||16:9|LED|BenQ|250 cd/m²|Speaker||Glossy Black|16.7 Million Colours|||12,000,000:1||194 mm||||Yes||||['Ultra Slim', 'Eco Mode', 'Reading Mode', 'Advanced Motion Accelerator (AMA)', 'Security Lock', 'Senseye 3', 'Flicker-free']|||['TCO Certified Displays 6.0', 'ENERGY STAR 5.1']|Yes|Yes|Yes|Yes|434 mm|||170°||['220 V AC', '110 V AC']||BenQ Corporation|9H.LA7LB.RBU||1920 x 1080|Wall Mountable||1|2||23 W|||Twisted Nematic Film (TN Film)|PC|||GL2460HM|GL2460HM Widescreen LCD Monitor|GL|LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes||300 mW||||||-5°to20°||||160°|Yes|100 x 100|Yes||4.30 kg||565 mm|
|E2370SN, 3058978, AOC, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|AOC|200 cd/m²||CE CU ISO 9241-307 TÜV-GS Ukrain Safety||16.7 Million Colours|No|No|20,000,000:1||221 mm|||No|No||||['Eco Mode', 'e-Saver', 'Security Lock', 'i-Menu', 'Screen+']|||['ENERGY STAR 6.0', 'EPEAT Silver', 'RoHS', 'EuP']|Yes|No|||393.3 mm|||90°||['220 V AC', '110 V AC']||AOC|E2370SN||1920 x 1080|Wall Mountable||1||500 mW|19.80 W|||Twisted Nematic Film (TN Film)|||Value|e2370Sn|Value e2370Sn Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||No|76 Hz|500 mW||No||||-5°to25°||||65°|Yes|100 x 100|Yes||3.50 kg||546.7 mm|
|272G5DJEB/00, 3111197, Philips, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Philips|300 cd/m²|USB Hub|BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV Ergo TUV/GS cETLus|Textured Black|16.7 Million Colours|||80,000,000:1||64 mm|242 mm||Yes|Yes||||['Security Lock', 'SmartSize', 'Mobile High-Definition Link (MHL)', 'SmartResponse', 'SmartImage', 'SmartFrame']|||['ENERGY STAR 6.0', 'TCO Certified Displays', 'EPEAT Silver', 'WEEE', 'RoHS']|Yes|Yes|Yes||405 mm|580 mm||170°||['120 V AC', '230 V AC']|2 Year|Philips Electronics|272G5DJEB/00|150 mm|1920 x 1080|||1||300 mW|24.60 W|||Twisted Nematic Film (TN Film)|['PC', 'Mac']||Brilliance|272G5DJEB|Brilliance LCD Monitor with SmartImage Game||LCD Monitor|||1 ms|Full HD|"68.6 cm (27"")"|||||144 Hz|500 mW|||65°|||-5°to20°|Yes|USB 3.0||160°|Yes|100 x 100|Yes||5.10 kg|7.50 kg|639 mm|639 mm
|60003586, NECEA193MIB, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|5:4|LED|NEC Display|250 cd/m²|Speaker|CE TÜV Ergonomics TÜV GS FCC Class B PCT/Gost UL/C-UL CSA ISO 9241-307|Black|16.77 Million Colors|||1,000:1||65 mm|213.90 mm|Landscape/Portrait|Yes|Yes||||['Off Timer', 'Cable Management', 'Carbon Footprint Meter', 'Eco Mode', 'Ambient Light Sensor', 'Intelligent Power Manager (IPM) System', 'Security Lock']|||['MPR II', 'ENERGY STAR 6.0', 'ErP', 'MPR III', 'RoHS', 'TCO Certified Displays 6.0', 'EPEAT Silver']|Yes|Yes||Yes|338 mm|386.40 mm||178°||['220 V AC', '110 V AC']||NEC Display Solutions|60003586||1280 x 1024|Desk Mountable||1|2||18 W|||In-plane Switching (IPS) Technology|PC||MultiSync|EA193Mi|"LCD 19"" Desktop Display"||LCD Monitor|Yes|Plastic|6 ms|SXGA|"48.3 cm (19"")"||||Yes|60 Hz|350 mW||||||||||178°|Yes|100 x 100|Yes||4 kg|6 kg|408 mm|408 mm
|60A9MAR2UK, S603PX5, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/m²|['USB Hub', 'Speaker', 'Microphone']|SAFETY CU (Belarus/Russia/Uzbekistan) BSMI CCC (China) CE (Europe) CSA /cUl (Canada) CSM (Bulgaria) IEC950 CB Report INSM (Moldavia) ISC (Cambodia) JEITA KC (Korea) KEBS (Kenya) KONCAR (Croatia) KUCAS (Kuwait) KVALITET (Serbia) NOM (Mexico) OTAN (Kazakhstan) PSB (Singapore) SABS (South Africa) SASO (Saudi Arabia) SEMKO or NEMKO SONCAP (Nigeria) Tanzania TUV -GS (Germany) TUV-S or IRAM-S (Argentina) Ukraine UL or c(TUV)us (USA) EMI BSMI (Taiwan) CCC (China) CE (Europe) CSM (Bulgaria) C-tick (Australia/New Zealand) FCC B (USA) IC (Canada) KC (Korea) KONCAR (Croatia) KVALITET (Serbia) SABS-CoC, LoA (South Africa) SASO (Saudi Arabia) VCCI (Japan) ERGONOMIC E-standby (Korea) CECP (China) CEL (China) Tier 1 Environmentally Responsible Certifications Carbon footprint ULE Gold VOC (US)|Raven Black|16.7 Million Colours|||2,000,000:1||12.7 mm||Landscape/Portrait||Yes||||['VoIP Controls', 'Mobile High-Definition Link (MHL)', 'Zero Power Switch']|||"[""TCO '06"", 'EU RoHS', 'Taiwan Green Mark', 'TCO Certified Edge Displays 1.2', 'ENERGY STAR 6.0', 'Ukraine RoHS', 'China RoHS', 'ULE Gold', 'Turkey RoHS', 'WEEE', 'RoHS', 'China Energy Label (CEL)', 'EPEAT Gold']"|Yes||Yes||226.1 mm|||176°||['220 V AC', '110 V AC']|3 Year|Lenovo Group Limited|60A9MAR2UK||1920 x 1080||Yes|1|2|500 mW|30 W|ThinkVision LT2223d 21.5-inch FHD LED Backlit LCD OneLink Docking Monitor Detachable tool-less full ergo stand OneLink Cable VGA Cable USB Cable 135w Power Adapter + Cord CD containing multilingual user's guide, setup test pattern, and Windows installation file Quick start and safety poster||Twisted Nematic Film (TN Film)|||ThinkVision|LT2223d|ThinkVision LT2223d 21.5-inch FHD LED Backlit LCD OneLink Docking Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|75 Hz|500 mW|||-45°|||-5°to30°|Yes|USB 3.0||170°|Yes|100 x 100|Yes|Yes|2.86 kg||348 mm|
|LS24D300HL/XU, 886N194, Samsung, LCD Monitor, IML Direct Italy|||||16:9|LED|Samsung|200 cd/m²|||High Glossy Black|16.7 Million Colours|||700:1||53.8 mm|196.85 mm|||||||['Off Timer', 'Display Power Management Signaling (DPMS)', 'Magic Upscale', 'MagicAngle', 'Eco Saving', 'MagicBright3', 'Game Mode']|||['EPEAT Gold', 'ENERGY STAR']|Yes||Yes||341.9 mm|417.07 mm||90°||['110 V AC', '220 V AC']||Samsung|LS24D300HL/XU||1920 x 1080|||1|||20 W|||Twisted Nematic Film (TN Film)|['PC', 'Mac']|||S24D300HL|"Simple LED 23.6"" Monitor with High Glossy Finish"|300|LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|||||60 Hz|300 mW||||||||||65°|||Yes||3.19 kg|3.54 kg|569 mm|568.96 mm
|47WS10, LG47WS10, LG Electronics, LCD Monitor, IML Direct Italy|||||16:9|LED|LG|450 cd/m²||"FCC Class ""B""VCCIC-tickCEKCCULcULCB schemeTUV"|Black|1.06 Billion Colors|Yes|Yes|1,300:1||38.1 mm|297.18 mm|Landscape/Portrait|Yes|Yes||||['Video Wall', 'Security Lock', 'TileMatrix (5x5)', 'Temperature Sensor', 'Sleep Timer', 'Auto-off', 'Picture in Picture']|||['ErP', 'ENERGY STAR 5.1']|Yes|Yes|Yes||645.2 mm|721.36 mm||178°||['220 V AC', '110 V AC']||LG Electronics|47WS10||1920 x 1080|Wall Mountable|Yes|1||500 mW|120 W|||In-plane Switching (IPS) Technology|PC||Flatron|47WS10|"47"" class (46.9"" measured diagonally) LED Widescreen Full HD Capable Monitor"||LCD Monitor|||12 ms|Full HD|"119.4 cm (47"")"|Anti-glare||||60 Hz|1 W|||||||Yes|USB 2.0||178°|Yes|400 x 400|Yes||17.51 kg|18.91 kg|1102.4 mm|1102.36 mm
|MB168B, 2834659, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy|||||16:9|LED|Asus|200 cd/m²|||['Silver', 'Black']||||500:1||8 mm||Landscape/Portrait||||||Ambient Light Sensor||||||||236 mm|||90°||||ASUS Computer International|MB168B||1366 x 768|||1||0 mW|5 W|||Twisted Nematic Film (TN Film)|PC|||MB168B|MB168B Portable USB-powered Monitor||LCD Monitor|||11 ms|HD|"39.6 cm (15.6"")"|Anti-glare|||||0 mW|||||||Yes|USB 3.0||65°|||||800 g||379 mm|
No|234E5QDAB/00, 2974035, Philips, LCD Monitor, IML Direct Italy||Yes||Yes|16:9|LED|Philips|250 cd/m²|Speaker|BSMI CE Mark FCC Class B GOST SASO SEMKO TUV/ISO9241-307|Glossy Black Cherry|16.77 Million Colors|||20,000,000:1||45 mm|213 mm|Landscape/Portrait||Yes||||['SmartResponse', 'Mobile High-Definition Link (MHL)', 'SmartContrast', 'SmartImage Lite', 'Sync on Green', 'TrueVision', 'Ultra Slim', 'Security Lock']|||['WEEE', 'ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'EPEAT Silver', 'RoHS']|Yes|Yes|Yes|Yes|325 mm|414 mm||178°||['110 V AC', '220 V AC']||Philips Electronics|234E5QDAB/00||1920 x 1080|Wall Mountable||1|2|300 mW|19.39 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology|['PC', 'Mac']|||234E5QDAB|LCD Monitor with SmartImage Lite||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|Glossy|||Yes|60 Hz|500 mW||||||-5°to20°||||178°|Yes|100 x 100|Yes|No|3.11 kg|3.46 kg|532 mm|532 mm
|29UM65-P, 2998783, LG Electronics, LCD Monitor, IML Direct Italy|||||21:9|LED|LG||||||||||||||Yes||||||||||Yes|||||||||LG Electronics|29UM65-P||2560 x 1080|||1||||||In-plane Switching (IPS) Technology||||29UM65-P|29UM65-P Widescreen LCD Monitor||LCD Monitor||||UW-UXGA|"73.7 cm (29"")"||||||||||||||||||||||||
|UM.WB6EE.A01, 8654T98, Acer, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Acer|250 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1||221 mm||||Yes|||||||"['ENERGY STAR', ""TCO '06""]"|Yes|Yes|||518.2 mm|||178°||['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.WB6EE.A01|150 mm|1920 x 1080|||1||250 mW|19.50 W|B226HQL Widescreen LCD Monitor1 x VGA Cable1 x DVI CablePower Cord||Vertical Alignment (VA)||||B226HQL|B226HQL Widescreen LCD Monitor|B|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|350 mW|||60°|||-5°to35°||||178°|Yes|100 x 100|Yes||3.17 kg|5.81 kg|508 mm|
|857-10586, 0912968, Dell, LCD Monitor, IML Direct Italy|||||16:10|LED|Dell|250 cd/m²|||Black|16.78 Million Colors|||1,000:1||52 mm|163.50 mm|||Yes||||||Click to view|['TCO Certified Displays', 'EPEAT Gold', 'China Energy Label (CEL)', 'ENERGY STAR 5.2']|Yes||||290.8 mm|372.80 mm|||||3 Year|Dell, Inc|857-10586||1440 x 900|||1|||23 W|"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black Stand Power Cable DVI Cable VGA Cable Drivers and Documentation media Quick setup guide Safety Information"||||25%||E1913|"E-series E1913 19"" (48cm) LED Monitor VGA,DVI-D (1440x 900) Black"|E|LCD Monitor|||5 ms|WXGA+|"48.3 cm (19"")"|||||||||||||||||Yes||Yes||2.54 kg||443.8 mm|443.80 mm
|E2250SWDAK, 2528079, AOC, LCD Monitor, IML Direct Italy||No|No|No|16:9|LED|AOC|250 cd/m²|Speaker|CBCEFCCGOSTISO 9241-307TÜV-GSUkraine SafetyWin7|Glossy Black|16.7 Million Colours|No|No|1,000:1|||||No|Yes||||['Off Timer', 'Security Lock']|||['RoHS', 'ENERGY STAR 5.0']||No|No|||||85°||['110 V AC', '220 V AC']|3 Year|AOC|E2250SWDAK||1920 x 1080|Wall Mountable||1|||21 W|"e2250Swdak 54.6cm (21.5"") LED MONITORPower CableDriver CDD-Sub Cable"|||PC||Value|e2250Swdak|"e2250Swdak 54.6cm (21.5"") LED MONITOR"||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||Yes|60 Hz|500 mW||No||||||||80°|Yes|75 x 75|Yes||3.28 kg|||
|60003418, 3968039, NEC Display Solutions, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|NEC Display|350 cd/m²|USB Hub|CETUV ErgonomicsTUV GSC-tickFCC Class BPCT/GostUL/C-ULCSACCCISO 9241-307 (pixel failure class I)PCBC/B-markPSB|White|16.77 Million Colors|||1,000:1||85 mm|227.60 mm|Landscape|Yes|Yes||||['Intelligent Power Manager (IPM) System', 'Eco Mode', 'Auto Brightness Control (ABC)', 'CableComp', 'Picture by Picture', 'Cable Management', 'AmbiBright', 'Ambient Light Sensor', 'TileComp', 'ColorComp', 'Tiled Matrix', 'OmniColor', 'Picture in Picture']|||['TCO Certified Displays 6.0', 'MPR III', 'MPR II', 'RoHS', 'ErP']|Yes||Yes||362.4 mm|528 mm||178°||['110 V AC', '220 V AC']|3 Year|NEC Display Solutions|60003418||1920 x 1200|||1|||30 W|MultiSync P242W Widescreen LCD MonitorPower CableSignal Cable Display PortVGA CableDVI-D CableCD-ROMSales Office ListUser Manual||In-plane Switching (IPS) Technology|||MultiSync|P242W|MultiSync P242W Widescreen LCD Monitor||LCD Monitor|||8 ms||"61.2 cm (24.1"")"|||||60 Hz|1 W|||||||Yes|||178°|Yes|200 x 100|Yes||7.40 kg|10.10 kg|556.8 mm|556.80 mm
|23MP65HQ-P, 2998248, LG Electronics, LCD Monitor, IML Direct Italy||||Yes|16:9|LED|LG|250 cd/m²||||16.7 Million Colours|||1,000:1||326 mm|426 mm|||||||['Flicker-free', 'Dual Web', 'Reading Mode', 'Smart Resolution Technology', 'Dual-screen Display', 'Sleep Timer']|||||Yes|Yes|Yes|68 mm|188 mm||178°||['220 V AC', '110 V AC']||LG Electronics|23MP65HQ-P||1920 x 1080|||1|||21 W|||Advanced High Performance In-plane Switching (AH-IPS) Technology||||23MP65HQ-P|23MP65HQ-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"||||||300 mW||||||||||178°|Yes|75 x 75|Yes||2.60 kg|3 kg|533 mm|533 mm
|D7R00AT#ABU, 3125989, HP, LCD Monitor, IML Direct Italy||Yes||Yes|16:9|LED|HP|250 cd/m²|USB Hub|WHQL CE CB KC KCC NOM PSB ICE TUV-S CCC SEPA ISC VCCI FCC BSMI||1.07 Billion Colors|||1,000:1||65.5 mm|242.40 mm||Yes|||||Security Lock|||['China Energy Label (CEL)', 'TCO Certified Displays', 'EPA', 'REACH', 'WEEE']|Yes|Yes|Yes||379.2 mm|420.40 mm||178°||['230 V AC', '120 V AC']|3 Year|Hewlett-Packard|D7R00AT#ABU||2560 x 1440|||1||||DreamColor Z27x Professional Display(D7R00AT) AC Power Cord DisplayPort Cable USB Cable HDMI Cable DisplayPort Mini Cable DVD Documentation Kit Factory Calibration Report||In-plane Switching (IPS) Technology|PC||Business|Z27x|DreamColor Z27x Professional Display(D7R00AT)|Z|LCD Monitor|||7 ms|WQHD|"68.6 cm (27"")"|Anti-glare|||||1.20 W|||45°|||-5°to20°|Yes|USB 3.0||178°|||||8.80 kg||641 mm|641 mm
|VS207NE, 3054723, ASUSTeK COMPUTER, LCD Monitor, IML Direct Italy|||||16:9|LED|Asus|200 cd/m²||CB CCC CE C-Tick FCC Gost-R UL/cUL VCCI WHQL (Windows 8, Windows 7)|Black|16.7 Million Colours|||80,000,000:1|||185 mm|||Yes||||['Splendid Video Intelligence Technology', 'SmartContrast', 'QuickFit', 'Security Lock']||Click to view|['WEEE', 'RoHS', 'ErP', 'China Energy Label (CEL)', 'ENERGY STAR 6.0']|Yes|Yes||||355.50 mm|||||3 Year|ASUS Computer International|VS207NE||1600 x 900|||1||||VS207NE Widescreen LCD Monitor DVI Cable VGA Cable Power Cord Quick Start Guide Warranty Card||||||VS207NE|VS207NE Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||||||||||-5°20°|||||Yes|75 x 75|Yes|||||468 mm
|UM.HH6EE.001, Acer, LCD Monitor, IML Direct Italy||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||||||Yes|38 kWh|A||['Mobile High-Definition Link (MHL)', 'CrystalBrite']|||['MPR II', 'EPEAT Gold']|Yes|||||||178°||['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.HH6EE.001|No|1920 x 1080|||1||400 mW|29.03 W|H276HL Widescreen LCD Monitor1 x VGA CablePower Cord||In-plane Switching (IPS) Technology||||H276HL|H276HL Widescreen LCD Monitor|H|LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|450 mW|||No|||-5°to15°||||178°|||Yes|||||
|60B5RAT6UK, 3171469, Lenovo, LCD Monitor, IML Direct Italy|||||16:9|LED|Lenovo|300 cd/m²|||Black|16.7 Million Colours|||3,000:1||160.8 mm|||Yes|||||||Click to view|['RoHS', 'EU RoHS', 'EPEAT Gold', 'TCO Certified Edge Displays 1.2', 'TCO Certified Displays 6.0', 'China Energy Label (CEL)', 'Turkey RoHS', 'ULE Gold', 'China RoHS', 'ENERGY STAR 6.0', 'ErP', 'WEEE', 'Ukraine RoHS']|Yes||Yes||347.5 mm|||||||Lenovo Group Limited|60B5RAT6UK||1920 x 1080|||1|||65 W||||||ThinkVision|Pro2820|ThinkVision Pro2820 28-inch WVA LED Backlit LCD Monitor||LCD Monitor|||6.50 ms|Full HD|"71.1 cm (28"")"|||||||||||||Yes||||Yes||Yes||3.06 kg||478.3 mm|
|HX193DPB, V320089, Hannspree, LCD Monitor, IML Direct Italy||Yes|||5:4|LED|Hanns.G|250 cd/m²||CECBGOSTNemko GSFCCUL3CcULus||16.7 Million Colours|||1,000:1||66 mm||||Yes||||['Security Lock', 'Eco Mode']|||['RoHS', 'ENERGY STAR', 'TCO Certified Displays 5.2', 'China Energy Label (CEL)', 'WEEE']|Yes|Yes|||388.6 mm|||170°||||Hannspree, Inc|HX193DPB||1280 x 1024|||1|2|500 mW|21.10 W||||PC|||HX193DPB|"19"" Diagonal LED Monitor"||LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"|Anti-glare|||Yes|75 Hz|500 mW||||||||||160°|Yes||Yes||3.76 kg||421.6 mm|
|60A1MAR2UK, LNVCMG00, Lenovo, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:9|LED|Lenovo|250 cd/m²|USB Hub|CCC NOM IEC-60950-1 BSMI JEITA TUV-S SABS SASO CE GOST PSB FCC Class B VCCI IC KC GS INSM ISO 9241-307 TUV-GS BSMI KONCAR MPR-II ECO CSC China Energy Efficiency Standard Tier 1 NEMKO KVALITET TUV Green Mark|Black|16.7 Million Colours|||1,000:1||56.4 mm|218.40 mm||Yes|||||Security Lock|||['EPA', 'China RoHS', 'TCO Certified Displays 6.0', 'EPEAT Gold', 'China Energy Label (CEL)', 'RoHS', 'TCO Certified Edge', 'ULE Gold', 'ENERGY STAR 6.0']|Yes|Yes|Yes||362.9 mm|362.90 mm||170°||['220 V AC', '110 V AC']||Lenovo Group Limited|60A1MAR2UK||1920 x 1080|Wall Mountable||1||500 mW|22 W||||PC||ThinkVision|LT2223p|ThinkVision LT2223p Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||||500 mW|||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||3.07 kg|4.96 kg|512.6 mm|512.60 mm
|24M45HQ-B, 2998781, LG Electronics, LCD Monitor, IML Direct Italy|||||16:9|LED|LG||||Black||||||||||||||||||||Yes||||||||2 Year|LG Electronics|24M45HQ-B||1920 x 1080|||1||||||||||24M45HQ-B|24M45HQ-B Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|||||||||||||||||||Yes|||||
|C9V75AA#A2K, HP, LCD Monitor, IML Direct Italy|||||16:9|LED|HP|250 cd/m²|USB Hub||Black||||5,000,000:1||51 mm|242.40 mm||Yes|Yes||||||Click to view|['ENERGY STAR', 'TCO Certified Edge']|Yes||||329 mm|469.90 mm|||||3 Year|Hewlett-Packard|C9V75AA#A2K||1920 x 1080|||1|||36 W|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)VGA CableDisplayPort CableUSB CableAC Power CablePrinted Documentation and CD|||||Elite|E231|EliteDisplay E231 23-inch LED Backlit Monitor (ENERGY STAR)||LCD Monitor|||5 ms|Full HD|"58.4 cm (23"")"|||||||||||||Yes||||||Yes||3.90 kg||544 mm|544 mm
|D7P94AT#ABU, 9439K0V, HP, LCD Monitor, IML Direct Italy||Yes|Yes|Yes|16:10|LED|HP|350 cd/m²||EN 55022 Class A|Black|16.77 Million Colors|||1,000:1||66.3 mm|266.40 mm||Yes|Yes||||['Cable Management', 'Security Lock']|||['EPEAT Gold', 'TCO Certified Displays', 'ENERGY STAR', 'REACH', 'WEEE']|Yes|Yes|Yes||449.8 mm|601 mm||178°||['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|D7P94AT#ABU||2560 x 1600|Wall Mountable||1|||125 W|Z Display Z30i 76,2 cm (30'') IPS LED Backlit Monitor AC Power Cord USB Cable DisplayPort Cable DVI-D Cable Documentation CD HP Display Assistant Software||In-plane Switching (IPS) Technology|PC||Performance|Z30i|Z Display Z30i 76,2 cm (30'') IPS LED Backlit Monitor||LCD Monitor|||8 ms|WQXGA|"76.2 cm (30"")"|Anti-glare|||No|70 Hz|500 mW|||||||Yes|USB 3.0||178°|Yes||Yes|No||9.96 kg|690.3 mm|690.30 mm
|284E5QHAD/00, 2905242, Philips, LCD Monitor, IML Direct Italy||Yes||Yes|16:9|LED|Philips|300 cd/m²|Speaker|BSMI CE Mark cETLus FCC Class B GOST SASO SEMKO TUV/ISO9241-307|Glossy Black Cherry|16.7 Million Colours|||3,000:1||54 mm|237 mm|Landscape/Portrait||||||['SmartResponse', 'SmartContrast', 'TrueVision', 'Security Lock', 'SmartImage Lite', 'Sync on Green', 'Mobile High-Definition Link (MHL)']|||['WEEE', 'TCO Certified Displays 6.0', 'ENERGY STAR 6.0', 'RoHS', 'EPEAT Silver']|Yes|Yes|Yes|Yes|390 mm|485 mm||176°||['220 V AC', '110 V AC']|3 Year|Philips Electronics|284E5QHAD/00||1920 x 1080|Wall Mountable||1|2|300 mW|23.18 W|||MVA technology|['Mac', 'PC']|||284E5QHAD|LCD Monitor with SmartImage Lite|E|LCD Monitor|||4 ms|Full HD|"71.1 cm (28"")"||||Yes|60 Hz|500 mW||||||-5°to20°||||176°|Yes|100 x 100|Yes||4.21 kg|4.73 kg|663 mm|663 mm
