<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altoparlante  cuffia  spinotto di uscita|altoparlanti|altoparlanti incorporati|angolo di inclinazione|angolo di rotazione|angolo di visione orizzontale|angolo di visione verticale|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|area di visualizzazione effettiva|blocco cavo|bluetooth|caratteristiche|caratteristiche sicurezza|cavi inclusi|cavo alimentazione incluso|certificato energy star|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del prodotto|colore piedi|colori del display|colori display|comandi  regolazioni|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|composite sync|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connettori di ingresso|consumi|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico annuo|consumo energetico in standby|consumo energetico max|controllo del volume|copertura schermo|dcin jack|descrizione prodotto|dettagli dimensioni e peso|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni lxpxh|dimensioni schermo|display surface|dot pitch|dot rate video|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|interfacce|interfaccia comune|interfaccia di montaggio schermo piatto|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità|luminosità schermo|lunghezza cavo|lunghezza diagonale|manuale dellutente|megapixel|microfono incorporato|microfono spinotto dingresso|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mtbf|number of simultaneous touchpoints windows 7|numero di altoparlanti|numero di lingue osd|numero di prodotti inclusi|on screen display osd|peso|peso incluso imballo|peso prodotto con supporto|pictureinpicture|pivot angle|pixel pitch|plug  play|porta dvi|porta rs232|porta usb|posizionamento supportato|potenza assorbita in esercizio|potenza di uscita  canale|potenza in uscita rms|profondità|profondità con supporto|profondità imballo|protezione per i bambini|quantità|quantità displayports|quantità porte dvid|quantità porte hdmi|quantità porte thunderbolt|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|range di scansione orizzontale|range di umidità di funzionamento|rapporto daspetto|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regolazione posizione display|regolazioni formato schermo|retroilluminazione a led|risoluzione|risoluzione massima|risoluzione nativa|risoluzioni grafiche supportate|rotazione|schermo srgb|sicurezza|sintonizzatore tv integrato|sistema operativo linux supportato|sistema operativo windows supportato|source datasheet|standard ambientali|standard di conformità|subwoofer incorporato|supporto colore|sync hv separato|syncongreen sog|tecnologia display|tecnologia retroilluminazione|tecnologia touchscreen|telecomando|tempo di risposta|tensione richiesta|thin client installato|tipi schede di memoria|tipo|tipo alimentazione|tipo di display|tipo di dispositivo|tipo di prodotto|tipo di schermo|tipo schermo|tipologia di retroilluminazione|tipologia display|tipologia hd|tipologia touch screen|umidità|uscita audio|velocità refresh orizzontale|velocità refresh verticale|voltaggio di ingresso|webcam girevole
IIyama LED 24 PL B2480HS-B1|Si|||557 mm|||||Si||-160 - 160 °|||170 °|160 °||Kensington|N|||AC, Audio (3.5mm), DVI, VGA|||CE, CU, TUV-GS, TCO|Si||N||Nero||16.77 M|||N|100 x 100 mm|N||Si|||||||22 W|||1 W||||||||||521.28 mm|293.22 mm|||||"599.4 mm (23.6 "")"||0.2715 x 0.2715 mm||16:9|N|50/60 Hz||||||Si||Si||-5 - 22 °||Si||Si|||N||Si|56 - 75 Hz|-20 - 60 °C|['5 - 35 °C', '41 - 95 °F']|571.5 mm||||N|CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS||300 cd/m²|||||N||||Si|||2|9||Si|6.1 kg||||0 - 90 °||Si|||||||4 W|244.5 mm||||||1|1||||1|24 - 80 kHz|10 - 80 %||1000:1|5000000:1|130 mm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N||Si|.|||N||Si||TN+Film|||N|2 ms||N|||||||||Edge-lit LED|LED|Full HD||5 - 85 %||||100 - 240 V|
AOC MONITOR LED 23 AOC i2360Phus IPS||||375.2 mm|||||Si|||||170 °|160 °||||||AC, Audio (3.5mm), DVI, VGA|||Energy Star 5.0, EPEAT Gold, CE, cCSAus, EPEAT Silver, FCC, GOST, RoHS, TÜV-Bauart, TÜV-GS, ISO 9241-307, TCO 5.0, EuP|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro|||||||0.5 W||||||||||||||||"['584.2 mm (23 "")', '58.5 cm']"||||16:9|N|50/60 Hz||||||||Si||-5 - 15 °||||||||||55 - 75 Hz|||548.5 mm|||||||250 cd/m²|||||||||Si||||||Si|5.65 kg|||||||Si|||||||244.5 mm||||||1|1||4||1|30 - 83 kHz|||1000:1|20000000:1|130 mm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||5 ms||N||||||||||LED|Full HD||||||90 - 240 V|
LG LED 24 E2411PU-BN MONITOR LED|Si|||342 mm|433 mm|413 mm|||Si|||||170 °|160 °|||||||||UL, CSA, SEMKO, NEMKO, CE|Si||||Nero||16.77 M|||||N|||||||||30 W||0.3 W|0.3 W|||||||||609.6 mm|531.4 mm|299 mm|||||"609.6 mm (24 "")"||0.277 x 0.277 mm||4:3, 16:9|N|50/60 Hz|30 - 83 kHz|56 - 75 Hz||||Si||||-5 - 20 °||Si|||Si||||||||569 mm|569 mm|638 mm|Si||||250 cd/m²|||Si||||||Si|||2|||Si|3.67 kg|6.35 kg|5.09 kg||0 - 90 °||Si|||||||2 W|63 mm|271 mm|231 mm||||1|||||1||||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||N|||.|||||||||||5 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
IIyama 27 PL B2780HSU-W2 MONITOR LED||||43,8 cm|||['Si', '1']||Si|||||170°|160°||Kensington||||Audio (3.5mm), DVI, USB|||CE, TCO 6, TUV|Si|Non specificato|||Bianco||16,77M||||100 x 100 mm||||||Argento||||37W|||1W||||||||||||||||"['68,58 cm (27"")', '69 cm']"||0,3113 x 0,3113 mm||16:9|No|50/60 Hz||||||Si||Si||-4 - 20°|Si|||||||||56 - 75 Hz|||64,2 cm|||||DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS||300 cd/m²|||Si|||||1080p|Si|||2|9||Si|8 kg||||-90 - 90°|||Si||||||2W|25 cm||||||1|1||4||1|24 - 80 kHz|||1000:1|5000000:1|11 cm||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||||Windows 2000, Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64||||||Si||TN||||1 ms||||||||||||LED|Full HD||||||100 - 240V|
ACER LED 21.5 B226HQLAmdr|Si|||518.2 mm|||||Si|||||178 °|178 °||||||AC, DVI, VGA||||Si|Non specificato|||Grigio||16.77 M|||||N|||||||||19.5 W||0.25 W|0.35 W||||||||||||||||"['546.1 mm (21.5 "")', '54.6 cm']"||||16:9|N|||||||||||||Si|||||||||||508 mm|||Si||||250 cd/m²||||||||||||||||3.17 kg|5.81 kg||||||Si|||||||221 mm|||||||||||1|||||100000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||8 ms||N||||||||||LCD|Full HD||||||110 - 220 V|
IIyama LED 23.6 PL E2482HS-1 MONITOR LED||||401 mm|||||Si|||||170 °|160 °||Kensington||||||||Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|||||||||||||||||||||||521.28 mm|293.22 mm|||||"['60 cm', '599.4 mm (23.6 "")']"||0.2715 x 0.271 mm||16:9|N|50/60 Hz||||||||Si||-4 - 21 °|Si|||||||||56 - 75 Hz|||571.5 mm|||||||300 cd/m²|||||||||Si|||2||||4.3 kg|||||||Si||||||2 W|213.5 mm||||||1|1||||1|24 - 80 kHz|||1000:1|5000000:1|N||||1920 x 1080 Pixels|||||||N|||.|||||Si||TN+Film||||2 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
AOC MONITOR LED 21.5 AOC i2267Fwh|Si||||375.6 mm||||Si|||||178 °|178 °||||||AC|||FCC, cTUVus, CE/CB, CCC, TUV-GS, BSMI, TCO 6.0, ISO 9241-307, EPA, Ghost, Ukraine, Win7, CEL, KC/KCC/Eup/VCCI/MPRII/REACH/CTICK/E-STANDBY/ckt/PSE/J-MOSS|Si|Non specificato|||Nero, Argento||16.77 M||||||||||||||40 W|||0.5 W||||||||||||||||"['54.62 cm', '546.1 mm (21.5 "")']"||0.24795 x 0.24795 mm||16:9|N|50/60 Hz||||||||Si||-5 - 23 °|||||||||Si|55 - 75 Hz|||498.3 mm|498.3 mm||||||250 cd/m²|||Si|||||1080p|Si||||16||Si|3.48 kg||5.2 kg||||||||Orizzontale|||||120.6 mm||||||2||||1|30 - 83 kHz||||50000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||IPS||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
Asus LED 23.6 VN247H MONITOR LED|Si||||394.9 mm|478 mm|1||Si|||||170 °|160 °||Kensington||||AC, Audio (3.5mm), HDMI-DVI, VGA|||BSMI, CB, CCC, CE, C-Tick, FCC, Gost-R, RoHS, TCO5.0, TCO6.0, UL/cUL, VCCI, WHQL|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N|||||Oro|3.5 mm|||35 W||0.5 W|0.5 W||||||||||||||||"['59.9 cm', '599.4 mm (23.6 "")']"||0.2715 x 0.2715 mm||16:9|N||24 - 83 kHz|50 - 75 Hz||||Si||Si|Si|-5 - 20 °|Si|Si|Si||Si||||Si|50 - 75 Hz|||548.6 mm|548.6 mm|602 mm|Si||||250 cd/m²||||||||1080p|Si|||2||1 pezzi|||5.8 kg|3.7 kg|||||||||||4 W||194.2 mm|128 mm|||||2||||1|24 - 83 kHz||||80000000:1|N||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|.|||||||||||1 ms||N||||||||||LCD|Full HD|||||||
Asus LED 27 PA279Q IPS MONITOR LED||||379.68 mm|559.84 mm|456 mm|1||Si|||||178 °|178 °||Kensington|N|||AC, Audio (3.5mm), DisplayPort, DVI, HDMI, Mini DisplayPort, USB|||BSMI, CB, CCC, CE, CEL level 2, C-Tick, CU, ErP, FCC, J-MOSS, PSE, RoHS, TCO6.0, TUV-Ergo, TUV-GS, UkrSEPRO, UL/cUL, VCCI, WEEE, WHQL|Si|Non specificato|N||Nero||1073.7 M||||100 x 100 mm|N|||||Oro|3.5 mm|N||49 W|0.5 W||||||||||||||||||"['68.47 cm', '685.8 mm (27 "")']"||0.233 x 0.233 mm||16:9|N|50/60 Hz|29 - 113 kHz|49 - 86 Hz|||Si|Si||Si||-5 - 20 °|Si|||Si|||||||||640.78 mm|640.78 mm|756 mm||Si|||350 cd/m²|||||||||Si|||2|||Si|10 kg|14 kg||||||Si||||||6 W|69.5 mm|240 mm|300 mm|||2|1|1|||6||||||100000000:1|Si||||2560 x 1440 Pixels|||2560 x 1440|Si|||N|||.|||||||IPS||||6 ms||N|Memory Stick (MS), MMC, MS PRO, MS PRO Duo, MS Pro-HG, MSXC, SD, SDHC, SDXC|||||||||LED|||||||100 - 240 V|
Samsung 24 S24A850DW MONITOR LED|Si|||37,45 cm|44,7 cm|44,3 cm|||No|||||178°|178°||||||AC, USB, VGA|||CE, TCO 5.0|Si||||Nero||16,77M||||100 x 100, 200 x 100 mm|No|||Si||||||64W|||0,4W||||||||||||||||"['61 cm', '60,96 cm (24"")']"||0,270 x 0,270 mm||16:10|No||30 - 75 kHz|56 - 61 Hz||Si||||Si||-2 - 25°|||||||||Si||||55,85 cm|55,85 cm|63 cm|||||300 cd/m²|||Si||||||Si|||||1 pezzi|Si|5,8 kg|7,8 kg||No|||Si||||Orizzontale||||4,15 cm|22,45 cm|17,9 cm||||1||||4|1||||1000:1|Contrasto Mega|15 cm||||1920 x 1200 Pixels|||1920 x 1200 (WUXGA)|Si|||No||Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64||||||Si|Si|||||5 ms||No||||||||||LED|No|||||||
IIyama LED 22 E2280WSD-B1 5ms.VGA.DVI MONITOR LED||||395.5 mm|||||Si|||||178 °|170 °||Kensington||||||||||||Nero||16.77 M||||100 x 100 mm||||||||||21 W|||||||||||||473.7 mm|296.1 mm|||||"558.8 mm (22 "")"||0.282 x 0.282 mm||16:10|N|50/60 Hz||||||||Si||-4 - 21 °||||||||||55 - 75 Hz|||512.5 mm|||||||250 cd/m²|||||||||Si|||2||||3.6 kg|||||||||||||2 W|204.5 mm||||||1|||||1|24 - 80 kHz|||1000:1|5000000:1|||||1680 x 1050 Pixels|||||||N|||.|||||Si||TN+Film||||5 ms||N||||||||||LCD|N||||||100 - 240 V|
ASUS LED 23.6 VE247T DVI Wide MONITOR LED||||409.7 mm||480 mm|||Si|||||170 °|160 °||Kensington||||AC|||CEL, UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, J-MOSS|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N||||||||||1 W|||||35 W|||||||||||||"['59.9 cm', '599.4 mm (23.6 "")']"||0.272 x 0.272 mm||16:9|N||30 - 83 kHz|50 - 76 Hz||||Si||N||-5 - 20 °||Si|||||||Si|50 - 76 Hz|||569.4 mm||638 mm|Si||||300 cd/m²|||Si|||||1080p|Si|||2||||4.4 kg|7.1 kg||||||||||||2 W|201 mm||175 mm||||1|||||1|30 - 83 kHz||||1000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||RoHS, WEEE|N|||.|||||||||||2 ms||N||||||||||LED|Full HD|||||||
LG LED 19 19MB35PM-B IPS||||33,9 cm|48 cm||1||Si||0 - 90°|||178°|178°||No||||AC|||||Non specificato|||Nero||16,77M||||75 x 75 mm|No|||||Oro|3.5 mm|||18W|15W|0,3W|0,3W||||||Si||||||||||"48,26 cm (19"")"||0,294 x 0,294 mm||5:4|No|50/60 Hz|||||Si|||Si||-5 - 20°|Si|Si|Si||||||Si||||40,9 cm|40,9 cm||Si||||250 cd/m²|||||||||Si|||2|||Si|2,27 kg||3,18 kg||||Si|No||||||2W|5,84 cm|21,08 cm||Si|||1|||||1||||1000:1|5000000:1|Si||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si|||No||||||||||IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
IIyama 23 PL XB2380HS-B1 IPS MONITOR LED|Si||||415.5 mm||||Si||-160 - 160 °|||178 °|178 °||Kensington||||AC, Audio (3.5mm), DVI, VGA|||CE, TUV-GS, VCCI-B, TCO, CU|Si|Non specificato|||Nero||16.77 M||||100 x 100 mm|N||Si|||||||26 W|||1 W||||Digitale||||||509.18 mm|286.41 mm|||||"584.2 mm (23 "")"||02652 x 0.2652 mm||16:9|N|50/60 Hz|24 - 80 kHz|56 - 75 Hz||Si||Si||Si|Si|-5 - 22 °||Si|||||||Si|||||548.5 mm||Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS||250 cd/m²|||||||||Si|||2|9|1 pezzi|Si|||5.8 kg||0 - 90 °||Si|Si|||Orizzontale/Verticale|||4 W||244.5 mm|||||1|1||||1||||1000:1|5000000:1|130 mm||||1920 x 1080 Pixels|1920 x 1080 Pixels||1920 x 1080 (HD 1080)|Si|Si||N||Si|.|||||Si||IPS||||5 ms||N||||||||||LED|Full HD||||||100 - 240 V|
ASUS MONITOR LED 27 ASUS VK278Q||||460 mm|||1||Si|||||170 °|160 °||Kensington||||AC, AUX, DVI, VGA|||UL/cUL, CB, CE, EuP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS, Taiwan Green Mark, RoHS, WEEE, Windows 7 & Vista WHQL|Si||||Nero||16.77 M||||100 x 100 mm|N||||||3.5 mm|||45 W|2 W|||||||||||686 mm|||732 x 176 x 560 mm||||"685.8 mm (27 "")"||0.311 x 0.311 mm||16:9|Si||24 - 92 kHz|50 - 85 Hz||||Si||Si||-5 - 20 °|||||Si|||||50 - 85 Hz|||643 mm|||||||300 cd/m²||||2 MP|||||Si|||2||||6.5 kg|9.8 kg||||||||||||3 W|220 mm|||||1|1|1||||1|24 - 92 kHz||||10000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||2 ms||N|||||||||||Full HD|||||||Si
Asus LED 23.6 VS247H-P MONITOR LED|Si||||410.6 mm|469 mm||||||||170 °|160 °||Kensington||||AC, DVI, VGA|||UL/cUL, CB, CE, ErP, FCC, CCC, BSMI, Gost-R, C-Tick, VCCI, PSB, EK, J-MOSS,RoHS, WEEE|Si||N||Nero||16.77 M||||100 x 100 mm|N|||||||||33 W|0.5 W|0.5 W|||||||||||||618 x 130 x 469 mm||||"599.4 mm (23.6 "")"||0.272 x 0.272 mm||16:9|N||30 - 80 kHz|55 - 75 Hz||||Si||Si|Si|20 - -5 °||||||||||||||561.8 mm|618 mm|||||300 cd/m²||||||||1080p|Si||||||||6.8 kg|4.4 kg|||||Si||||||||200 mm|130 mm||||1|1||||1|||||50000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N||Si|.|||||||||||2 ms||N||||||||||LED|Full HD|||||||
Asus 27 PB278QR IPS MONITOR LED||||||||Integrato||-5/+20||178|178||||||['Foro per blocco di sicurezza (blocco per cavo venduto separatamente)', 'PIP, fotogramma per fotogramma, Zero Bright Dot, HDCP, ASUS Splendid Video Intelligence Technology, Trace Free Technology, ASUS Smart Contrast Ratio (ASCR), ASUS Splendid Video Preset Mode, ASUS QuickFit Virtual Scale, Mobile High-Definition Link (MHL), gamma colori 100% sRGB, ASUS VividPixel Technology, Low Blue Light Mode, tecnologia Flicker Free, ASUS SplendidPlus Video Intelligence Technology, ASUS EyeCare Technology']||1 x Cavo audio ¦ 1 x cavo DisplayPort ¦ 1 x cavo HDMI ¦ 1 x cavo DVI ¦ 1 x cavo VGA||Sì|||||['Nero', 'Nero']|||||Luminosità, selezione ingresso, temperatura colore|||||||||||HDMI, DVI-D, VGA, DisplayPort|||||||||['Anti riverbero', 'Anti riverbero']||"ASUS PB278QR - monitor a LED - 27"""|Senza supporto - larghezza: 64.3 cm - profondità: 6.96 cm - altezza: 38.62 cm|||||||['64.3 cm x 21.8 cm x 55.23 cm - con supporto', '64.3 cm x 21.8 cm x 55.23 cm - con supporto']|||||||||||||||||||||||HDMI ¦ DisplayPort ¦ Ingresso audio ¦ Cuffie ¦ DVI-D (dual link) ¦ VGA||100 x 100 mm|||||||||||['300 cd/m2', '300 cd/m2']|||"27"""||||||||||||||['7.8 kg', '7.8 kg']|||||['0.233 mm', '0.233 mm']||||||30 Watt|2.5 Watt||||||||||||||||['Widescreen - 16:9', 'Widescreen - 16:9']|['1000:1 / 80000000:1 (dinamico)', '1000:1 / 80000000:1 (dinamico)']|||['Altezza, snodo (rotazione), piano girevole, inclinazione', 'Altezza, snodo (rotazione), piano girevole, inclinazione']|||||['2560 x 1440', '2560 x 1440']|||||||||Certificato ENERGY STAR|['UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, ISO 9241-307, PSE Mark, GOST-R, J-MOSS, ErP Ready, TCO Displays 6.0', 'UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, ISO 9241-307, PSE Mark, GOST-R, J-MOSS, ErP Ready, TCO Displays 6.0']||||||Retroilluminazione a LED|||['5 ms (da grigio a grigio)', '5 ms (da grigio a grigio)']|120/230 V c.a. ( 50/60 Hz )|||Altoparlanti - stereo - integrato|||"Monitor LCD con retroilluminazione a LED - 27"""||['IPS', 'IPS']|Monitor LCD con retroilluminazione a LED / matrice attiva TFT|||||||24 - 83 kHz|50 - 75 Hz||
LG 27 27MP35HQ-B IPS MONITOR LED||||39 cm|48,5 cm|15,8 cm|||No|||||178°|178°||Kensington||||AC, VGA|||UL (cUL), TUV, FCC-B, CE, EPA|Si|A|||Nero||16,77M||||100 x 100 mm|No|||||||||23W||0,3W|0,3W|||34W|||||||||||||"['68 cm', '68,58 cm (27"")']"||0,3114 x 0,3114 mm||16:9|No||30 - 83 kHz|56 - 61 Hz||||Si||Si||-5 - 20°|Si|||||||||56 - 75 Hz|||64,2 cm|64,2 cm|79,6 cm|||||200 cd/m²|||Si||||||Si||||17||Si|4,2 kg|7,3 kg|4,8 kg||||Si|No|||||||4,7 cm|25,4 cm|47 cm|||||1||||1|30 - 83 kHz|||1000:1|5000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||No||||||||||IPS||||5 ms||No||||||||||LCD|Full HD|||||||
Asus LED 23 VS239HV IPS MONITOR LED||||334 mm|400.3 mm|460 mm||||||||178 °|178 °||Kensington|||||||||Non specificato|||Nero||16.77 M||||100 x 100 mm||||||||||22 W||1 W|1 W||||||||||||||||"['584.2 mm (23 "")', '58.4 cm']"||0.2652 x 0.2652 mm||16:9||50/60 Hz||||||||Si|||||||||||||||552.8 mm|552 mm|608 mm|||||250 cd/m²||||||||1080p|Si|||||||3.5 kg|5.9 kg||||||Si|||||||45 mm|200 mm|130 mm||||1|1||||1|||||80000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||||.|||||||IPS||||5 ms||||||||||||LED|Full HD||||||100 - 240 V|
Acer LED 27 V276HLbd MONITOR LED|Si||||||||N||||||||||||||||Si|Non specificato|||Nero|||||||N||||||||||||||||||||||||||||"685.8 mm (27 "")"||||16:9|N|||||||||||||Si||||||||||||||Si||||300 cd/m²|||||||||||||||||||||||Si||||||||||||||||||1|||||100000000:1|||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||N|||.|||||||||||6 ms||N||||||||||LED|Full HD|||||||
IIyama 27 PL XB2776QS MONITOR LED|Si|||41,8 cm|||Si||Si||-45 - 45°|||178°|178°||Kensington|No|||AC, Audio (3.5mm), DVI|||CE, TUV-GS, VCCI-B, PSE, TCO 6, CU|Si|Non specificato|No||Nero||16,77M||||100 x 100 mm|No|||||Argento||No||49W|||||||||||||33,57 cm|59,67 cm|||||"['68,5 cm', '68,58 cm (27"")']"||0,233 x 0,233 mm||16:9||50/60 Hz|30 - 80 kHz|55 - 75 Hz|||Si|Si||Si||-5 - 23°|Si||Si||||||||||64,4 cm|||||||350 cd/m²|||||||||Si|||2|10||Si|7,4 kg|||||||Si||||||3W|23 cm|||||1|1|1||||1||||1000:1|5000000:1|13 cm||||2560 x 1440 Pixels|||2560 x 1440|Si|||No||Si||||||Si||AH-IPS||||5 ms||No||||||||||LED|Full HD||||||100 - 240V|
AOC 22 e2260Sd 16:10|Si|||40,83 cm||46,4 cm||||||||170°|160°|||||||||CE, FCC, CCC, EPA 5.1 Win7, RoHs, CEL 1, CQC||Non specificato|||Nero||16,77M|||||N|||||Oro||||38W|||0,5W||||||||||||||||"['55,8 cm', '55,88 cm (22"")']"||0,282 x 0,282 mm||16:10|N|50/60 Hz||||||||||-5 - 22°|Si|||||||||50 - 76 Hz|-25 - 55 °C|0 - 40 °C|50,78 cm||56,1 cm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, ITA, JPN, KOR, POL, POR, RUS, SWE||250 cd/m²|||||||||Si||||||Si|3,73 kg|5,07 kg|||||Si||||||||21,93 cm||12,1 cm||||1|||||1|30 - 83 kHz|10 - 85%|||20000000:1|N||||1680 x 1050 Pixels|||1680 x 1050 (WSXGA+)||||N||||||||||||||5 ms||N||||||||||LCD|||5 - 93%||||100 - 240V|
IIyama LED 27 E2773HS-GB1 1ms.VGA.DVI.HDMI MONITOR LED||||454.5 mm|||||Si|||||170 °|160 °||Kensington||||||||Si||||Nero||16.77 M||||100 x 100 mm||||||||||29 W|||||||||||||597.9 mm|336.3 mm|||||"685.8 mm (27 "")"||0.311 x 0.311 mm||16:9|N|50/60 Hz||||||||Si||0 - 20 °||||||||||55 - 76 Hz|||647 mm|||||||300 cd/m²|||||||||Si|||2||||5.3 kg|||||||Si||||||2 W|239 mm||||||1|1||||1|24 - 82 kHz|||1200:1|5000000:1|N||||1920 x 1080 Pixels|||||||N|||.|||||Si||TN+Film||||1 ms||N||||||||||LCD|Full HD||||||100 - 240 V|
ACER LED 19 B196Lwmdr MONITOR LED|Si|||||||||||||||||||||||||Non specificato|||Nero|||||||N||||||||||||||||||||||||||||"482.6 mm (19 "")"|||||N|||||||||||||Si||||||||||||||Si||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||100000000:1||||||||||||N|||.|||||||||||5 ms||N||||||||||LCD||||||||
Asus LED 19.5 VS207NE MONITOR LED||||18,5 cm||11,5 cm||||||||90°|65°||Kensington|||||||Energy Star®, CB, CCC, CE, CEL level 1, C-Tick, ErP, FCC, Gost-R, RoHS, UL/cUL, VCCI, WEEE, WHQL|Si||||Nero||16,77M||||75 x 75 mm||||||||||16,4W||0,5W|0,5W||||||||||||||||"['49,53 cm (19.5"")', '49,5 cm']"||0,27 x 0,27 mm||16:9||||||||||Si|||||||||||||||46,8 cm||53 cm|||||200 cd/m²|||||||||Si|||||||2,59 kg|3,99 kg||||||Si|||||||35,55 cm||41,2 cm||||1|||||1|||||80000000:1|||||1600 x 900 Pixels|||1600 x 900||||||||||||||||||5 ms||||||||||||LED||||||||
Asus Led 27 PB278Q IPS QUAD-HD MONITOR LED|Si|||386.2 mm|552.3 mm|470 mm|1||Si|||||178 °|178 °||Kensington||||DisplayPort, DVI, HDMI, VGA|||TCO 5.2, UL/cUL, CB, CE, FCC, CCC, ISO9241-307, BSMI, Gost-R, C-Tick, VCCI, PSE, J-MOSS, RoHS|Si||||Nero||||||100 x 100 mm|N||||||3.5 mm|||60 W|0.5 W||0.5 W|||||||||684.7 mm|||||||"685.8 mm (27 "")"||0.233 x 0.233 mm||16:9|N|50/60 Hz|24 - 89 kHz|50 - 75 Hz|||Si|||Si||-5 - 20 °|Si||||Si|||||50 - 75 Hz|||643 mm|643 mm|755 mm|||||300 cd/m²|||||||||Si|||2|||||12 kg|8.8 kg|||||Si||||||3 W|69.6 mm|218 mm|224 mm|||1|1|1||||1|24 - 89 kHz||||80000000:1|Si||||2560 x 1440 Pixels|||2560 x 1440, 1920 x 1080 (HD 1080)|Si|Si||N|||.|||||||PLS||||5 ms||N|||||||||||Full HD||||||100 - 240 V|
