3d compatibility|<page title>|ac adapter included|ac power in|active display area w x h|annual energy consumption|aspect ratio|audio input|audio output|audio system|backlight type|bezel width bottom|bezel width side|bezel width top|bluetooth|builtin camera|builtin microphone|builtin speakers|builtin subwoofer|cable length|cable lock slot|cables included|camera included|card reader integrated|certification|child lock|color gamut|colour of product|common interface ci|common interface plus ci|compatibility|compatible memory cards|compatible operating systems|compliance industry standards|component video ypbprycbcr in|composite sync|composite video in|connection to pc|contrast ratio dynamic|contrast ratio typical|current rating|dcin jack|depth|depth max|depth with stand|digital horizontal frequency|digital vertical frequency|dimensions w x d x h with stand|dimensions wxdxh|display|display brightness|display diagonal|display diagonal metric|display number of colours|display resolution|display srgb|display surface|display technology|display type|display viewable area hxv|displayports quantity|dvi port|dvid ports quantity|effective viewing area|electromagnetic compatibility|energy efficiency class|energy star certified|epeat compliance|ethernet lan|ethernet lan data rates|ethernet lan rj45 ports|feet colour|full hd|glass thickness|glossy display|handheld remote control|hd type|hdcp|hdmi|hdmi ports quantity|hdready|headphone connectivity|headphone out|headphone outputs|height|height adjustment|height adjustment range|height max|height with stand|horizontal scan range|input current|input frequency|input voltage|interface type|led backlight|led indicators|linux operating systems supported|mac operating systems supported|manual|maximum analog resolution|maximum resolution|maximum screen size compatibility|maximum weight capacity|mean time between failures mtbf|megapixel|microphone in|mini displayport quantity|minimum screen size compatibility|mobile highdefinition link mhl|mounting interface|native resolution|nonoperating altitude|number of colours|number of displays supported|number of loudspeakers|number of osd languages|number of products included|number of simultaneous touchpoints windows 7|omnitapps multitouch compatibility|on screen display osd|on screen display osd languages|onoff switch|operating altitude|operating relative humidity hh|operating temperature tt|package dimensions wxdxh|package weight|packaging depth|packaging height|packaging width|pan range|pc audio in|picture enhancement|pictureinpicture|pivot|pivot angle|pixel pitch|placement supported|plug and play|power consumption active|power consumption average|power consumption max|power consumption off|power consumption powersave|power consumption standby|power consumption typical|power cord included|power led|power requirements|power supply type|product type|quantity|quick start guide|recyclable material|relative humidity|response time|rms rated power|rohs compliance|rotating|rotation|rs232 ports|safety|screen format adjustments|screen saving functions|screen size compatibility|security features|separate hv sync|speakers|standby led|storage relative humidity hh|storage temperature tt|supported graphics resolutions|supported video modes|swivel angle|swivel angle range|swivel webcam|swivelling|syncongreen sog|thin client installed|tilt adjustment|tilt angle|touch screen type|touch sensitive screen|touchscreen technology|tv tuner integrated|usb 20 ports quantity|usb 30 ports quantity|usb powered|usb required|usb version|user guide on cdrom|vertical scan range|vesa mounting interfaces compatibility|vga dsub input ports|vga dsub ports quantity|video dot rate|viewable size diagonal|viewable size horizontal|viewable size vertical|viewing angle|viewing angle horizontal|viewing angle vertical|voltage tolerance|volume control|wall mountable|weight|weight with stand|width|width with stand|wifi|windows operating systems supported
No|Benq BL2410PT - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||||||TCO 6.0|||['Black', 'Black']|||||||||||Mega Contrast|5000:1|||25.9 cm|||||||LCD|250 cd/mÂ²|"60.96 cm (24"")"|60.96 cm|16.77M|1920 x 1080 pixels||||||1|||||Unspecified|||||||||||Full HD|Yes|||||||50.4 cm|['Yes', '15 cm']|||||||96 - 264V||||||||||||||||||||||['2', '2', '2']|['17', '17']||||['Yes', 'Yes']|||||||||||||||Yes||0.276 x 0.276 mm||||||||0.2W|23W||||||||||4 ms|['2W', '2W', '2W']|||||||||||||||1920 x 1080 (HD 1080)|||-45 - 45Â°||||No||-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|6.7 kg||56.5 cm|||['Windows 7 Home Basic, Windows 7 Home Premium, Windows 7 Professional, Windows 7 Starter, Windows 7 Ultimate, Windows 8', 'Windows 7 Home Basic, Windows 7 Home Premium, Windows 7 Professional, Windows 7 Starter, Windows 7 Ultimate, Windows 8']
|ASUS PB287Q - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||Energy StarÂ®, BSMI, CB, CCC, CE, CEL level 1, C-Tick, CU, ErP, FCC, ISO-9241-307, RoHS, TCO6.0, UL/cUL, VCCI, WEEE, WHQL (Windows 8, Windows 7)|||['Black', 'Black']|||||||||||100000000:1||||6.355 cm||22.006 cm|||||LED|300 cd/mÂ²|"71.12 cm (28"")"||1073.7M|3840 x 2160 pixels||||||1|No|||||Yes||||||||||4K Ultra HD|Yes||2|||Yes||38.067 cm|Yes|||41.4 cm|||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']||||||||||||['10.6 kg', '10.6 kg']|['22.4 cm', '22.4 cm']|['46.5 cm', '46.5 cm']|['76.4 cm', '76.4 cm']||Yes|||Yes||||||||0.5W|||60W||||||||||1 ms|['4W', '4W', '4W']|||||||||||||||3840 x 2160|||||||No||||||['No', 'No']||||||||100 x 100 mm||||||||170Â°|160Â°|||Yes|||66.026 cm|66 cm||
No|Iiyama ProLite E2280WSD-B - MBE|||||16:10|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['AC, DVI, VGA', 'AC, DVI, VGA']||||||['Black', 'Black']|||||||||||5000000:1|1000:1|||20.45 cm|||||||LCD|250 cd/mÂ²|"55.88 cm (22"")"||16.77M|1680 x 1050 pixels|||TN+Film|||||1||||Yes||||||||||No|Yes|||||||39.55 cm|||||24 - 80 kHz||50/60 Hz|100 - 240V||||||||||||||||||||||['2', '2', '2']|['9', '9']||||['Yes', 'Yes']|['CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (TR), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS']||||||||||||||||0.282 x 0.282 mm|||||||||21W|||||||['Yes', 'Yes']|||5 ms|['4W', '4W', '4W']|||||CE, TUV-GS, TCO, CU|||||Yes||||||||||||No||-4 - 21Â°||||['No', 'No']|||||||55 - 75 Hz|100 x 100 mm||1|||47.37 cm|29.61 cm||178Â°|170Â°|||Yes|3.6 kg||51.25 cm|||
|NEC MultiSync E171M - MBE|['Yes', 'Yes']||||5:4||||W-LED|||||['No', 'No', 'No']||['No', 'No', 'No']||||['VGA', 'VGA']||||||['Black', 'Black']||||||||||||1000:1|||6.1 cm||23 cm|31.5 - 81.1 kHz|56 - 76 Hz|||LED|250 cd/mÂ²|"43.18 cm (17"")"||16.77M|1280 x 1024 pixels|||TN||||Yes|1|||Unspecified|Yes|Silver|||||||||No|Yes|||||||32.05 cm|Yes|||40.85 cm||||100 - 240V||||||['Yes', 'Yes']|||||||||||||||||||||||||20 - 80%|5 - 35 Â°C||||||||||||0.26 x 0.26 mm|||||19W||9W|0.4W|12W|||||||['Yes', 'Yes']|||5 ms||||||||||||||10 - 85%|-10 - 60 Â°C|1280 x 1024 (SXGA)|||||||No||||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|170Â°|||Yes|3 kg|4.2 kg|36.8 cm|36.8 cm||
|"Hanns G 21.5"" HE225DPB Full HD LED/TFT Monitor - MBE"|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['Audio (3.5mm), DVI, VGA', 'Audio (3.5mm), DVI, VGA']|||FCC, UL/CUL, CE, CB, GOST, 3C, China energy level 1|||['Black', 'Black']|||||||||||40000000:1|1000:1||Yes|18.5 cm||11.8 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm||1920 x 1080 pixels|||LCD||||Yes|1|||Unspecified|Yes||||||||||Full HD|Yes|||||||36.74 cm||||41.6 cm|30 - 83 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['12', '12']||||['Yes', 'Yes']||['Yes', 'Yes']||20 - 85%|5 - 35 Â°C|||||||Yes|||||0.248 x 0.248 mm||||||0.5W||0.5W|24W|||||||['Yes', 'Yes']|||5 ms|['1.5W', '1.5W', '1.5W']|||||||||||||||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']|||||||56 - 75 Hz|100 x 100 mm||1||||||170Â°|160Â°|||Yes|3.12 kg|3.95 kg|51.28 cm|57.1 cm||
|Newstar LCD/TFT desk mount - MBE||||||||||||||||||||||||||['Silver', 'Silver']||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Yes|0 - 500 mm|||||||||||||||"66.04 cm (26"")"|10 kg|||||"25.4 cm (10"")"||||||1||||||||||||||||||||||||||||||||||||||||||||||360Â°||||||||||||||300Â°|||||||0 - 180Â°||||||||||||75 x 75, 100 x 100 mm||||||||||||||||||
|HP W1972a - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Yes', 'Yes']|||||||['Black', 'Black']|||||||||||3000000:1|600:1|||4.75 cm||17.02 cm|||||LCD|200 cd/mÂ²|"46.99 cm (18.5"")"|47 cm|16.77M|1366 x 768 pixels||||||||1|||Unspecified|Yes|Silver|||||||||No|Yes|||||||28.15 cm|No|||33.95 cm|24 - 83 kHz||50/60 Hz|100 - 240V|||||||||||||||||||||||||||||||20 - 80%|||||||||||||0.300 x 0.300 mm||||||||0.5W|18W||||||||||5 ms|['1W', '1W', '1W']||||||||||||||||||||||No|Yes|-5 - 19Â°||||['No', 'No']|||||||50 - 76 Hz|||1||||||90Â°|50Â°||||2.7 kg||44.61 cm|44.61 cm||
No|Iiyama ProLite B2480HS - MBE||Yes|||16:9|Yes|||Edge-lit LED||||No|['No', 'No', 'No']|['No', 'No', 'No']|['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||['No', 'No']|CE, CU, TUV-GS, TCO|||['Black', 'Black']|No|No|||||||||5000000:1|1000:1|||24.45 cm|||||||LED|300 cd/mÂ²|"59.94 cm (23.6"")"||16.77M|1920 x 1080 pixels|||TN+Film|||||1||||Yes||No|||||||['No', 'No']|Full HD|Yes||1|||||55.7 cm|['Yes', '13 cm']||||24 - 80 kHz||50/60 Hz|100 - 240V|||||['Yes', 'Yes']|||||||||||||||||['2', '2', '2']|['9', '9']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS']|['Yes', 'Yes']||10 - 80%|['5 - 35 Â°C', '41 - 95 Â°F']||||||||||Yes|0 - 90Â°|0.2715 x 0.2715 mm||['Yes', 'Yes']||||||1W|22W||['Yes', 'Yes']|||||['Yes', 'Yes']|||2 ms|['4W', '4W', '4W']||||||||||Yes|||5 - 85%|-20 - 60 Â°C|1920 x 1080 (HD 1080)|||-160 - 160Â°||||No||-5 - 22Â°||||['No', 'No']|||['No', 'No']||||56 - 75 Hz|100 x 100 mm||1|||52.128 cm|29.322 cm||170Â°|160Â°|||Yes|6.1 kg||57.15 cm|||['Yes', 'Yes']
No|Iiyama ProLite E1980SD - MBE|||||5:4||||||||No|||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']|||['AC, Audio (3.5mm), DVI, VGA', 'AC, Audio (3.5mm), DVI, VGA']||['No', 'No']|CE, TÃœV-GS, VCCI-B, TCO, CU|||['Black', 'Black']||||||||||||1000:1|||18.9 cm|||||||LED|250 cd/mÂ²|"48.26 cm (19"")"||16.77M|1280 x 1024 pixels|||TN+Film|||||1|||Unspecified|Yes||No||||||||No|Yes|['No', 'No']||||||40.2 cm|||||24 - 80 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']||||||||||||||||['2', '2', '2']|['9', '9']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, POR, RUS']||||||||||||||||0.294 x 0.294 mm|['Horizontal', 'Horizontal']|||||||1W|16W|||||||['Yes', 'Yes']|||5 ms|['2W', '2W', '2W']||||||||||Yes|||||1280 x 1024 (SXGA)|||||||No|Yes|-4 - 21Â°|||||||||||56 - 75 Hz|100 x 100 mm||1|||37.632 cm|30.105 cm||170Â°|160Â°|||Yes|3.2 kg||41.1 cm||No|
|Samsung S19C450BR - MBE||||30 kWh|5:4|||||||||['No', 'No', 'No']||['No', 'No', 'No']||||||||||['Black', 'Black']|||||||||||1000:1||||5.5 cm||21 cm|||||LED|250 cd/mÂ²|"48.26 cm (19"")"||16.77M|1280 x 1024 pixels||Matt|TN+Film||||Yes|1|||Unspecified|Yes|Gold|||||||||No||||||||33.6 cm||||46.9 cm||||||||||['Yes', 'Yes']|||||||||||||||||||||||||10 - 80%|10 - 40 Â°C||['6 kg', '6 kg']|['18.7 cm', '18.7 cm']|['44.7 cm', '44.7 cm']|['52.5 cm', '52.5 cm']|||||Yes|-1 - 95Â°|||||||||0.1W|19W|||||||['Yes', 'Yes']|||5 ms||||||||||||||||1280 x 1024 (SXGA)|||-45 - 45Â°||Yes||No|Yes|-3 - 25Â°||||['No', 'No']||||||||100 x 100 mm||1||||||170Â°|160Â°|||Yes|2.95 kg|4.45 kg|40.7 cm|40.7 cm||
|Asus PA248QJ 24.1 Professional ProArt Widescreen IPS LED Monitor - Black /w hood and calibrator - MBE|||||16:10|||||||||['No', 'No', 'No']||['No', 'No', 'No']|||['Kensington', 'Kensington']||||BSMI, CB, CCC, CE, C-Tick, ErP, FCC, Gost-R, ISO-9241-307, J-MOSS, Mac, PSB, RoHS, TCO5.2, TUV-Ergo, TUV-GS, UL/cUL, VCCI, WHQL|||['Black', 'Black']|||||||||||80000000:1||||6.2 cm||23.5 cm|30 - 83 kHz|50 - 76 Hz||||300 cd/mÂ²|"61.21 cm (24.1"")"|61.13 cm|16.77M|1920 x 1200 pixels|||IPS|||1||1|||Unspecified|Yes||||||||||Full HD|Yes||1||||1|36.28 cm|Yes|||41.63 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||||||||||||||||||||||||||['Yes', 'Yes']||||||||||||||['Yes', 'Yes']|Yes||0.270 x 0.270 mm|||||||1W||45W||||||||||6 ms||||||||||||||||1920 x 1200 (WUXGA)|||||Yes||No|Yes|-5 - 20Â°||||['No', 'No']|5||||||50 - 76 Hz|100 x 100 mm||1||||||178Â°|178Â°|||Yes||6.4 kg|55.72 cm|55.72 cm||
No|Iiyama T2253MTS - MBE|||||16:9|||||||||||['Yes', 'Yes']||||AC, Audio (3.5mm), DVI, USB, VGA|||['CE, TÃœV/Bauart, GOST-R, VCCI-B, PSE', 'CE, TÃœV/Bauart, GOST-R, VCCI-B, PSE']|||['Black', 'Black']|||||||||||5000000:1|1000:1|||24 cm|||24 - 80 kHz|55 - 75 Hz||['556 x 240 x 399 mm', '556 x 240 x 399 mm']|TN+Film|220 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm||1920 x 1080 pixels||||LED||||1||||['Yes', 'Yes']||||||Yes|||||['Yes', 'Yes']||1||||1|39.9 cm|||||24 - 80 kHz||50/60 Hz|100 - 240V||Yes||||||||||||||||||16.7M||['2', '2']||['1 pc(s)', '1 pc(s)']|['5', '5']||['Yes', 'Yes']|||||||||||||||||0.248 x 0.248 mm||||||||0.5W|19W||||['AC', 'AC']||||||2 ms|['2W', '2W']||||9|||['Yes', 'Yes']||['Kensington-lock', 'Kensington-lock']|Yes|||||['1920 x 1080 (HD 1080)', '1920 x 1080 (HD 1080)']|['1080p', '1080p']||||||||['-9 - 22Â°', '-9 - 22Â°']|||Optical imaging|['No', 'No']|1||||||55 - 75 Hz|100 x 100 mm||1||54.6 cm||||170Â°|160Â°|||Yes|5.9 kg||55.6 cm|||['Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64', 'Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8, Windows 8 Enterprise, Windows 8 Enterprise x64, Windows 8 Pro, Windows 8 Pro x64, Windows 8 x64, Windows Vista Business, Windows Vista Business x64, Windows Vista Enterprise, Windows Vista Enterprise x64, Windows Vista Home Basic, Windows Vista Home Basic x64, Windows Vista Home Premium, Windows Vista Home Premium x64, Windows Vista Ultimate, Windows Vista Ultimate x64, Windows XP Home, Windows XP Home x64, Windows XP Professional, Windows XP Professional x64']
No|Acer Essential 226HQLAbmd - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']||||['VGA', 'VGA']|||TCO|||['Black', 'Black']|||||||||||100000000:1||||20.68 cm|||||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|55 cm|16.77M|1920 x 1080 pixels|||||||||||Unspecified|||||||||||Full HD|Yes|||||||39.04 cm||||||||110 - 220V||||||||||||||||||||||||||||||||||||||||||||||||||2.5W||3.5W|19.5W||['Yes', 'Yes']||||||||8 ms||||||||||||||||1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']||||||||||1||||||178Â°|178Â°||||3.24 kg|3.66 kg|50.8 cm|||
No|AOC Q2770PQU LED display - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|['DisplayPort, DVI, VGA', 'DisplayPort, DVI, VGA']||||||['Black', 'Black']|||||||||||80000000:1|1000:1|||55.8 cm|||||||LED|300 cd/mÂ²|"68.58 cm (27"")"||16.77M|2560 x 1440 pixels||||||1|Yes|1|||||||||||||||Yes||1|||||24.5 cm|['13 cm', 'Yes']||||30 - 99000 kHz||50/60 Hz|100 - 240V||||||['Yes', 'Yes']|||||||||||||||||['16', '16']||||['Yes', 'Yes']||||10 - 85%|0 - 40 Â°C|||['48.6 cm', '48.6 cm']|['28.6 cm', '28.6 cm']|['75.9 cm', '75.9 cm']|||||||0.233 x 0.233 mm||||||||0.5W|65W||||||||||5 ms||||||||||||||5 - 93%|-25 - 55 Â°C|2560 x 1440, 1920 x 1080 (HD 1080)|||||||No||||||['No', 'No']|||||||50 - 76000 Hz|100 x 100 mm||1|||59.789 cm|33.631 cm||178Â°|178Â°|||Yes|||64.22 cm|||
No|AOC I2769VM 27 Widescreen LED Monitor - Black - MBE|||||16:9|||||||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|['No', 'No', 'No']||['Kensington', 'Kensington']|['AC, Audio (3.5mm), HDMI, VGA', 'AC, Audio (3.5mm), HDMI, VGA']|||TÃœV-Bauart, ISO 9241-307, CE, FCC, GOST, TCO 5.0, RoHS, EuP, Energy Star 6, NRTL|||['White', 'White']|||||||||||50000000:1|1000:1|||||13 cm|30 - 83 kHz|55 - 75 Hz|||LED|250 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels||||||1|No||||Unspecified|Yes||||||||||Full HD||['Yes', 'Yes']|2||||||No|||44.9 cm|||50/60 Hz|90 - 240V||||||['Yes', 'Yes']||||||||||||||||||['1 pc(s)', '1 pc(s)']|||['Yes', 'Yes']|||||||['7.25 kg', '7.25 kg']||||||||No||0.311 x 0.311 mm|['Horizontal', 'Horizontal']|||||0.5W||0.5W|35W||['Yes', 'Yes']||||||||5 ms|||||||||||||['Yes', 'Yes']||||||||No||No||||||['No', 'No']||||||||No||1|||59.789 cm|33.631 cm||178Â°|178Â°|||No||4.99 kg||62.2 cm||
|Philips LCD monitor with SmartControl Lite 273V5LHAB - MBE||Yes|||16:9||||W-LED|||||||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||RoHS, Lead-free, Mercury Free|||['Black', 'Black']||||||BSMI, CE Mark, FCC Class B, GOST, PSB, SASO, SEMKO, TCO certified, TUV/ISO9241-307, cETLus, WEEE|||||10000000:1|1000:1|||5.7 cm||24 cm|||||LED|300 cd/mÂ²|"68.58 cm (27"")"|68.6 cm|16.77M|1920 x 1080 pixels|Yes||LCD/TFT||||Yes|1|||Unspecified|Yes|Silver|||||||||Full HD|||1||||1|39.8 cm||||47.1 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||['Operation, Stand-by', 'Operation, Stand-by']||||||||['30.000h', '30.000h']|||||||||||['2', '2', '2']|||||['Yes', 'Yes']|['CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR', 'CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR']|['Yes', 'Yes']||20 - 80%|0 - 40 Â°C||['6.17 kg', '6.17 kg']|['13.9 cm', '13.9 cm']|['48.2 cm', '48.2 cm']|['69.8 cm', '69.8 cm']||Yes|||||0.311 x 0.311 mm||['Yes', 'Yes']||||0.3W||0.5W|19.65W||||||['1', '1']||||5 ms|['4W', '4W', '4W']||||||||||Yes||||-20 - 60 Â°C|||||||Yes||Yes||||||||||||56 - 75 Hz|100 x 100 mm||1|||59.788 cm|33.631 cm||170Â°|160Â°|||Yes|4 kg|4.53 kg|64.6 cm|64.6 cm||
|Philips Brilliance LCD monitor, LED backlight 221B3LPCB - MBE||||||Yes|Yes||W-LED|||||['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']|||['No', 'No']|"BSMI, CE-Zeichen, FCC, GOST, SEMKO, TCO 5.1, TÃœV/GS, TÃœV
Ergo, UL/cUL
RoHS"|||['Black', 'Black']|No|No||['No', 'No']|||||||20000000:1|1000:1|||5.9 cm||22.7 cm|||||LED|250 cd/mÂ²|"54.61 cm (21.5"")"|54.6 cm|16.77M|1920 x 1080 pixels|Yes|||||||1|||Unspecified|Yes|Gold|No||||||||Full HD|Yes|['No', 'No']|||||1|32.3 cm|['Yes', '11 cm']|||48 cm|30 - 83 kHz||50/60 Hz|100 - 240V|||||||||||['30000h', '30000h']|||||||||||['2', '2', '2']|['8', '8']||||['Yes', 'Yes']|['CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS', 'CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, POR, RUS']|||20 - 80%|0 - 40 Â°C||['7.12 kg', '7.12 kg']|['18.6 cm', '18.6 cm']|['36.1 cm', '36.1 cm']|['56.8 cm', '56.8 cm']||Yes|||Yes||0.248 x 0.248 mm||['Yes', 'Yes']||||||0.1W|17.8W||||||||||5 ms|['3W', '3W', '3W']||||||||||Yes||||-20 - 60 Â°C|1920 x 1080 (HD 1080)||||['No', 'No', 'No']||Yes|No|Yes|-5 - 20Â°||||['No', 'No']|2||||||56 - 75 Hz|100 x 100 mm||1|||47.66 cm|26.81 cm||176Â°|170Â°|||Yes|3.4 kg|5.3 kg|50.7 cm|50.7 cm|No|
No|Samsung LS24C45KBSV LED display - MBE||Yes|||16:9|No|No||||||No|['No', 'No', 'No']||['No', 'No', 'No']||1.5m|['No', 'No']|['AC, VGA', 'AC, VGA']|||TCO, UL, CSA, TUV, NEMKO, KC, CCC, PSB, GOST, SIQ, PCBC, NOM, IRAM, SASO|['No', 'No']||['Black', 'Black']|||||||||||Mega Contrast|1000:1|||5.67 cm||22.4 cm|||565.4 x 224 x 486.75 mm|565.4 x 56.7 x 333.2 mm|LED|250 cd/mÂ²|"60.96 cm (24"")"|61 cm|16.77M|1920 x 1080 pixels|||TN+Film||['509.76 x 286.74 mm', '509.76 x 286.74 mm']|||1||FCC, CE, VCCI, KCC, C-Tick, CCC|Unspecified|Yes|Gold|No||||||||Full HD||||||||33.32 cm|['13 cm', 'Yes']|||48.675 cm|||50/60 Hz|100 - 240V|||['Yes', 'Yes']|||['Yes', 'Yes']||||||||||||||||||['1 pc(s)', '1 pc(s)']|||||['Yes', 'Yes']||10 - 80%|10 - 40 Â°C|639 x 407 x 188 mm|['6.6 kg', '6.6 kg']|['40.7 cm', '40.7 cm']|['18.8 cm', '18.8 cm']|['63.9 cm', '63.9 cm']||||['No', 'No']|Yes|-1 - 95Â°|0.27675 x 0.27675 mm|['Horizontal/Vertical', 'Horizontal/Vertical']|['Yes', 'Yes']|||||24W|0.1W|30W||['Yes', 'Yes']|||||['Yes', 'Yes']|||5 ms||||||||['Yes', 'Yes']|||||['Yes', 'Yes']|||1920 x 1080 (HD 1080)|||-45 - 45Â°||Yes||No|Yes|-3 - 25Â°||||['No', 'No']||||||||100 x 100 mm||1|||50.976 cm|28.674 cm||170Â°|160Â°|||Yes|3.5 kg|5.2 kg|56.54 cm|56.54 cm|No|
|Elo TouchSystems 1939L - MBE|||||||||||||||||||||||['UL, cUL, TÃœV-T Mark, CE, FCC, VCCI, IC, C-Tick (Class B), NOM, BSMI, MIC, CCC, China RoHS', 'UL, cUL, TÃœV-T Mark, CE, FCC, VCCI, IC, C-Tick (Class B), NOM, BSMI, MIC, CCC, China RoHS']|||['Black, Stainless steel', 'Black, Stainless steel']||||||||||||1300:1|||5.1 cm||||||||225 cd/mÂ²|"48.26 cm (19"")"|||1280 x 1024 pixels||||LCD||||||||||||||No||||||||||||34.3 cm|||||31.5 - 80 kHz||50/60 Hz|100 - 240V|['USB', 'USB']||||||||||['50000h', '50000h']|||||||||16.7M||||['1 pc(s)', '1 pc(s)']|||['Yes', 'Yes']||||20 - 80%|0 - 40 Â°C|['515 x 450 x 175 mm', '515 x 450 x 175 mm']|['7.3 kg', '7.3 kg']|||||||||||||||||||38W||||['DC', 'DC']||||||25 ms||||||||||||||10 - 90%|-20 - 60 Â°C|['720 x 400, 832 x 624, 1280 x 960, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 640 x 480 (VGA), 800 x 600 (SVGA)', '720 x 400, 832 x 624, 1280 x 960, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 640 x 480 (VGA), 800 x 600 (SVGA)']||||||||||||Surface acoustic wave||||||||56.3 - 75 Hz|75 x 75, 100 x 100 mm||1||||||178Â°|178Â°|||Yes|5.2 kg||41.5 cm|||
|Benq GW2760HM - MBE||Yes|||16:9||||||||No|['No', 'No', 'No']||['Yes', 'Yes', 'Yes']|||['Kensington', 'Kensington']||||TCO 6.0|||['Black', 'Black']|||||||||||20000000:1|5000:1|||5.7 cm||21.5 cm|||||LED|300 cd/mÂ²|"68.58 cm (27"")"||16.77M|1920 x 1080 pixels||||||||1|||Unspecified|Yes||No||||||||Full HD|Yes||1||||1|38 cm||||48.8 cm||||96 - 264V||||||||||||||||||||||['2', '2', '2']|['17', '17']||||['Yes', 'Yes']||||20 - 90%|5 - 40 Â°C||['7.2 kg', '7.2 kg']|['13.2 cm', '13.2 cm']|['49 cm', '49 cm']|['71.5 cm', '71.5 cm']||Yes|||||0.311 x 0.311 mm|||||||0.3W||26W||||||||||4 ms|['2W', '2W', '2W']|||||||||||||10 - 90%|-20 - 60 Â°C|1920 x 1080 (HD 1080)|||||||No|Yes|-5 - 20Â°||||['No', 'No']||||||||100 x 100 mm||1||||||178Â°|178Â°|||Yes|5.3 kg||64.1 cm|64.1 cm|No|
