3d capable|<page title>|aspect ratio|brightness|builtin devices|bundled with|character resolution|colour|colour support|compliant standards|contrast ratio|designed for|device type|diagonal size|diagonal size cm|digital tv tuner|dimensions wxdxh|display format|display position adjustments|energy class|energy consumption per year|environmental standards|features|hdcp compatible|hdmi ports qty|height rack units|image aspect ratio|input connectors|kvm switch|lcd backlight technology|localisation|manufacturer selling program|manufacturer warranty|microsoft certification|native resolution|panel type|pc interface|pixel pitch|power|power consumption operational|product description|product type|remote control|resolution|response time|screen coating|speaker system|speakers|targeting|technology|tv tuner|usb port|video interface|video wall components qty|weight
|"OHC24 Shop : Monitor > Monitor search help > Philips Monitor 23"" 231P4UPES LED 231P4UPES/00"|Widescreen - 16:9|250 cd/m2|USB Hub|||Silver, textured black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SASO, SEMKO, TUV Ergo, PSB, DDC/CI, RoHS, Lead-Free, WEEE, TCO Certified Edge, TCO Displays 6.0|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.7 cm x 22 cm x 51.5 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|||0.265 mm|||"Philips Brilliance 231P4UPES - LED monitor - 23"""||||5 ms|||Integrated|||||||5.3 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - T1732MSC-W1X|5:4|225 cd/m2|Touch-screen|||Black, white|16.7 million colours|VCCI, VESA DPMS, CB, GOST-R, IP54, TUV Bauart|1000:1||"LED-backlit LCD monitor - 17"" - Multi-Touch"||||38.7 cm x 20.2 cm x 34.2 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.264 mm|||"Iiyama ProLite T1732MSC-W1X - LED monitor - 17"""||||5 ms|7H Hard Coating||Integrated|||||||5.6 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - XB3070WQS XB3070WQS-B1|Widescreen - 16:10|350 cd/m2||||Black|16.7 million colours|Plug and Play, TUV GS, DDC-2B, VESA DPMS, PSE Mark, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 30"""||||69.25 cm x 23 cm x 47.7 cm - with stand||Height, swivel, tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||||QHD 2560 x 1440|AH-IPS||0.251 mm|||"Iiyama ProLite XB3070WQS - LED monitor - 30"""||||5 ms (grey-to-grey)|||Integrated|||||||7.4 kg
|"OHC24 Shop : Monitor > Monitor search help > Samsung S23C65UDC/23"" 1920x1080 LS23C65UDC/EN"|Widescreen - 16:9|250 cd/m2|USB Hub|||Matte black|16.7 million colours|TUV, C-Tick, GOST, EN55022, NEMKO, NOM, PCBC, SASO, SIQ, EN55024, CISPR 22, CCC, PSB, AS/NZS 3548, IRAM, UL 60950-1, IEC 60950-1, EN 60950-1, CSA C22.2 No. 60950-1, FCC Part 15 B Class A, VCCI V-3, KC, GB 9254-2008, GB 4943-2001 PSB, NOM-019-SCFI-1993 IRAM, GB 17625.1-2003 EMC, K60950-1, KCC KN22, KCC KN24|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 23"""||||54.29 cm x 22.4 cm x 34.965 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080|AD-PLS||0.2655 mm|||"Samsung S23C650D - LED monitor - 23"""||||5 ms (grey-to-grey)||||||||||5.45 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama XU2290HS-B1 54 > 7CM 21 > 5IN LED 54.6 cm|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|DDC-2B, VESA DPMS, TUV Bauart, TCO Displays 6.0, VCCI Class B, EAC|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||49.95 cm x 18 cm x 37.05 cm||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||||FullHD 1920 x 1080|IPS||0.248 mm|||"Iiyama ProLite XU2290HS-1 - LED monitor - 22"""||||5 ms|||Integrated|||||||3.7 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1931SR-B1|5:4|200 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL|900:1||"LCD monitor - 19"""||||43.1 cm x 39.1 cm x 21.8 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.294 mm|||"Iiyama ProLite T1931SR-B1 - LCD monitor - 19"""||||5 ms|||Integrated|||||||6.5 kg
|OHC24 Shop : Monitor > Monitor search help > APC Rackmount Keyboard Monitor Mouse - KVM-Konsole - AP5017G|||Keyboard, touchpad|||Black|16.2 million colours|UL, VCCI, CISPR 22 Class A, cUL, EN 60950, EN 61000-3-2, ICES-003, VDE, EN 61000-3-3, EN55024, UL 60950, FCC Part 15|||"KVM console - 17"""||||44.5 cm x 74.3 cm x 4.4 cm|||||||||1U|||PS/2||German||||1280 x 1024 at 75 Hz|||0.297 mm|||"APC Rackmount Keyboard Monitor Mouse KVM console - 17"""||||||||||||||14.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 4243L LCD OPEN FRAME/FULL HD  E000444|Widescreen - 16:9|500 cd/m2|Touch-screen|||Black|1.07 billion colours|UL, VCCI, C-Tick, BSMI, GOST, cUL, NOM, CB, CCC, IC, FCC, E-Standby, KC, China RoHS|4000:1||"LED-backlit LCD monitor - 42"" - Multi-Touch"||||97.8 cm x 6.5 cm x 57.5 cm - without stand|||||||||||HDMI, VGA|||Worldwide||3 years warranty||FullHD 1920 x 1080||||||"Elo 4243L - LED monitor - 42"""||||8 ms||||||||||20 kg
|OHC24 Shop : Monitor > Monitor search help > AOC Value - e2460Sh E2460SH|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|Plug and Play, TUV GS, RoHS, TCO '06, ISO9241-307, Ukrain Safety|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.54 cm x 21.93 cm x 41.16 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA|||||3 years warranty||1920 x 1080 at 60 Hz|TN||0.276 mm|||"AOC Value e2460Sh - LED monitor - 24"""||||1 ms|||Integrated|||||||4.27 kg
|OHC24 Shop : Monitor > Monitor search help > NEC 60002794||250 cd/m2|Stereo speakers|||Grey, silver|16.7 million colours|Plug and Play, FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-1, DDC-2B, ISO 13406-2, MPR III, PCT, VESA DPMS, TUV Ergo, DDC/CI, RoHS, TCO Displays 5.0|1000:1||"LCD monitor - 17"""||||36.8 cm x 23 cm x 35.9 cm||Height, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty|Compatible with Windows 7|1280 x 1024 at 60 Hz|TN||0.264 mm|||"NEC MultiSync LCD175M - LCD monitor - 17"""||||5 ms|||Integrated|||||||5.2 kg
|OHC24 Shop : Monitor > Monitor search help > Epson Customer display >  2x20 A61B133133||690 cd/m2|||2 lines x 20 characters|Dark grey||FCC Class A certified, CSA, UL, TUV, VCCI Class A|||Customer display||||16.5 cm x 5.05 cm x 6.9 cm|||||||||||USB|||||||||||||Epson DM-D110 (133) - customer display||||||||||||||
|"OHC24 Shop : Monitor > Monitor search help > Philips 221B3LPCB/02 LED >  21.5"" Wide >"|Widescreen - 16:9|250 cd/m2|USB Hub|||Textured black|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV GS, BSMI, GOST, cUL, SEMKO, TUV Ergo, DDC/CI, RoHS, halogen-free, TCO Displays 5.1|1000:1 / 20000000:1 (dynamic)||"LED-backlit LCD monitor - 21.5"""||||50.7 cm x 22.7 cm x 48 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|TN||0.248 mm|||"Philips Brilliance B-line 221B3LPCB - LED monitor - 21.5"""||||5 ms|||Integrated|||||||5.3 kg
|"OHC24 Shop : Monitor > Monitor search help > Acer B226WLWMDR mit Speaker >  22"" 16:10 LED >  UM.EB6EE.011"|Widescreen|250 cd/m2||||White|16.7 million colours|TCO Displays 6.0|100000000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.58 cm x 22.12 cm x 53.41 cm - with stand||Height, pivot (rotation), tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI, VGA|||||3 years warranty||1680 x 1050|IPS|||||"Acer B226WLwmdr - LED monitor - 22"""||||5 ms||||||||||5.75 kg
|"OHC24 Shop : Monitor > Monitor search help > Asus ASUS VN289Q LED >  28"" 16:9 1920x1080 >  5ms >  90LM00P0-B01170"|Widescreen - 16:9|300 cd/m2||||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, WHQL, CB, CCC, FCC, RoHS, WEEE, PSE Mark, MEPS, ERP, TCO Displays 6.0|3000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 28"""||||66.02 cm x 21 cm x 45.07 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, DVI-D, VGA, DisplayPort|||||||FullHD 1920 x 1080|||0.32 mm|||"ASUS VN289Q - LED monitor - 28"""||||5 ms (grey-to-grey)|Anti-glare||Integrated|||||||5.4 kg
|"OHC24 Shop : Monitor > Monitor search help > Dell P2414 23.8"" >  8ms >  250cd >  1920 x 1080 >  16:9 860-BBBH"|Widescreen - 16:9|250 cd/m2||3-Years Advanced Exchange Service and Premium Panel Guarantee|||16.7 million colours|RoHS, CECP, TCO Displays|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 23.8"""||||56.6 cm x 18 cm x 36.9 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort||||||Compatible with Windows 7|FullHD 1920 x 1080 at 60 Hz|IPS||0.2745 mm|||"Dell P2414H - LED monitor - 23.8"" - with 3-Years Advanced Exchange Service and Premium Panel Guarantee"||||8 ms (grey-to-grey)||||||||||
|OHC24 Shop : Monitor > Monitor search help > V7 - L19500WS L19500WS-9E|Widescreen - 16:9|200 cd/m2||||Glossy black|16.7 million colours|FCC, RoHS, WEEE|1000000:1 (dynamic)||"LED-backlit LCD monitor - 20"""||||47.3 cm x 18 cm x 36.6 cm - with stand||Tilt|||||||||VGA|||||3 years warranty||1600 x 900||||||"V7 L19500WS - LED monitor - 20"""||||5 ms|||Integrated|||||||2.7 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 2201L Projected Capacitive E497002|Widescreen - 16:9|225 cd/m2|Touch-screen|||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, NOM, CB, CCC, IC, FCC, RoHS, KCC, WEEE, E-Standby, China RoHS|1000:1||"LED-backlit LCD monitor - 22"""||||- with stand|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||1920 x 1080 at 60 Hz||||||"Elo Desktop Touchmonitors 2201L Projected Capacitive - LED monitor - 22"""||||5 ms|||Internal|||||||7.5 kg
|"OHC24 Shop : Monitor > Monitor search help > Pelco 32"" Full HD 1080p Flat Panel Desktop LCD Display  PMCL532F"|Widescreen - 16:9|450 cd/m2|||||16.7 million colours||5000:1||"LCD monitor - 32"""|||||||||||||||DVI-D, VGA|||||||FullHD 1920 x 1080 at 60 Hz|||0.364 mm|||"Pelco PMCL532F - LCD monitor - 32"""||||8 ms|||Internal|||||||
|OHC24 Shop : Monitor > Monitor search help > Fujitsu Technology Solutions Display S26361-K1428-V140|Widescreen - 16:10|300 cd/m2|Stereo speakers, USB Hub|||Marble grey|16.7 million colours|FCC Class B certified, TUV GS, VCCI, cUL, EN 60950, SASO, VESA FPMPMI, DDC/CI, RoHS, ISO 9241-307, WEEE, TCO Displays 5.2|1000:1 / 20000000:1 (dynamic)|ESPRIMO P910|"LED-backlit LCD monitor - 24"""||||55.9 cm x 19.7 cm x 39.5 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty|Compatible with Windows 7|1920 x 1200|IPS||0.27 mm|||"Fujitsu P Line P24W-6 LED - LED monitor - 24"""||||5 ms|Anti-glare, 3H Hard Coating||Integrated|||||||6.7 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1723L 17IN WS-LCD >  ANTI-GLARE E785229|5:4|225 cd/m2||||Black|16.7 million colours|FCC Class A certified, UL, VCCI, C-Tick, cUL, SEMKO, VESA DPMS, DDC|800:1||"LED-backlit LCD monitor - 17"" - Multi-Touch"||||39.1 cm x 20.9 cm x 36 cm - with stand||Tilt|||||||||DVI, VGA|||||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo Desktop Touchmonitors 1723L iTouch Plus - LED monitor - 17"""||||30 ms|Anti-glare||Internal|||||||5.21 kg
|"OHC24 Shop : Monitor > Monitor search help > NEC E223W WHITE 55 > 9CM 22IN 55.88 cm (22 "") W-LED 60003335"|Widescreen - 16:10|250 cd/m2||||White|16.7 million colours|FCC Class B certified, MPR II, CSA, UL, TUV GS, GOST, cUL, DDC-2B, DDC-2Bi, MPR III, PCT, TUV Ergo, DDC/CI, RoHS, ISO 9241-307, GEEA, ERP, TCO Displays 6.0|1000:1 / 25000:1 (dynamic)||"LED-backlit LCD monitor - 22"""||||50.35 cm x 21.8 cm x 38.4 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||HD 1680 x 1050 at 60 Hz|TN||0.282 mm|||"NEC MultiSync E223W - LED monitor - 22"""||||5 ms||||||||||5.6 kg
|"OHC24 Shop : Monitor > Monitor search help > Philips C240P4QPYEW/24"" LED Clinical IPS C240P4QPYEW/00"|Widescreen - 16:10|300 cd/m2||||White|16.7 million colours|TUV GS, GOST, TUV Ergo, RoHS, Lead-Free, WEEE, DICOM Part 14, IEC 60601-1, TCO Displays 6.0|1000:1||"LED-backlit LCD monitor - 24"""||||55.5 cm x 24.4 cm x 55 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1080 at 60 Hz|IPS||0.27 mm|||"Philips Brilliance C240P4QPYEW - LED monitor - 24"""||||14 ms||||||||||6.97 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1928L AccuTouch E935808|5:4|246 cd/m2|Touch-screen|||Grey|16.7 million colours|MPR II, UL, VCCI, cUL, IEC 61000-4-3, VESA DPMS, CB, C-Tick Class B, EN 61000-4-3, CCC, IC, MIC, EK, FCC, RoHS, DDC|1300:1||"LCD monitor - 19"""||||42.9 cm x 21.2 cm x 39 cm - with stand||Tilt|||||||||DVI-D, VGA|||North America, South America, Central America, EMEA||3 years warranty||1280 x 1024||||||"Elo Desktop Touchmonitors 1928L AccuTouch - LCD monitor - 19"""||||20 ms|Anti-glare|||||||||8 kg
|"OHC24 Shop : Monitor > Monitor search help > 3M M2767PW 68 > 6CM 27IN LED 68.6 cm (27"")/ DE272920880"|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|FCC Class B certified, TUV, C-Tick, RoHS|5000:1||"LED-backlit LCD monitor - 27"" - Multi-Touch"||||64.8 cm x 25 cm x 38.9 cm||Tilt|||||||||HDMI, VGA, DisplayPort|||||1 year warranty|Compatible with Windows 7|FullHD 1920 x 1080|P-MVA||0.248 mm|||"3M Multi-touch Display M2767PW - LED monitor - 27"""||||16 ms|||Integrated|||||||7.7 kg
|OHC24 Shop : Monitor > Monitor search help > EIZO S1932SEBK||250 cd/m2|Stereo speakers|||Black|16.7 million colours|Plug and Play, TCO '03, FCC Class B certified, CSA, UL, TUV, TUV GS, C-Tick, VCCI Class B ITE, DDC-2B, DVI DMPM, ISO 13406-2, TUV S, VESA DPMS, CB, ICES-003 Class B, TUV Ergo, RoHS, WEEE|2500:1 (dynamic)||"LCD monitor - 19"""||||40.5 cm x 24.7 cm x 34.8 cm||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified||||||DVI-D, VGA|||||5 years warranty|Certified for Windows Vista|1280 x 1024|PVA||0.294 mm|||"EIZO FlexScan S1932SE-BK - LCD monitor - 19"""||||8 ms|||Integrated|||||||8.8 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1529L IntelliTouch TallStand E641269|4:3|322 cd/m2|Touch-screen , stereo speakers|||Beige|16.2 million colours|FCC Class A certified, UL, TUV GS, VCCI, C-Tick, cUL, VESA DPMS, DDC/CI, RoHS|400:1||"LCD monitor - 15"""||||35.5 cm x 26.5 cm x 28.6 cm|||||||||||DVI-D, VGA|||||3 years warranty||1024 x 768 at 75 Hz||||||"Elo Entuitive 3000 Series 1529L - LCD monitor - 15"""||||25 ms|Anti-glare||Integrated|||||||6.6 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Desktop Touchmonitors - 1519L Projected Capacitive E651942|Widescreen - 16:9|225 cd/m2|Touch-screen|||Black|16.7 million colours|Plug and Play, UL, VCCI, BSMI, cUL, NOM, CB, CCC, RoHS, WEEE, S Mark, KC|500:1||"LCD monitor - 15.6"" - Multi-Touch"||||39.5 cm x 21.3 cm x 28 cm - with stand||Pivot (rotation), tilt|||||||||VGA|||North America, South America||3 years warranty||1366 x 768 at 60 Hz||||||"Elo Desktop Touchmonitors 1519L Projected Capacitive - LCD monitor - 15.6"""||||8 ms|||Internal|||||||5.1 kg
|OHC24 Shop : Monitor > Monitor search help > Roline 26.50.0083||250 cd/m2|Keyboard, touchpad|||Black|||400:1||"KVM console - 17"""|||||||||||||1U|||PS/2||Switzerland||||1280 x 1024||||||"Secomp ROLINE KVM console - 17"""||||||||||||||
|OHC24 Shop : Monitor > Monitor search help > Avocent LCD17-202|||Keyboard||||16.2 million colours|UL, C-Tick, cUL, FCC|||"KVM console - 17"""||||45.5 cm x 45 cm x 4.4 cm|||||||||1U|||PS/2||||||1280 x 1024||||||"Avocent LCD17 Dual-Rail Rack Console - KVM console - 17"""||||||||||||||11.4 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard HP ProDisplay P201 20-In LED C9F26AA#UUZ|Widescreen - 16:9|250 cd/m2||||Black|16.7 million colours|Plug and Play, FCC Class B certified, TUV, VCCI, BSMI CNS 13438 Class B, CCIB, cUL, GS, EN55022 Class B, CCEE, FCC Part 15, EN55024 Class B, UL 60950-1, IEC 60950-1, EN 60950-1, ISO 9241-307, KCC, Energy-using Products (EuP) Lot 6, CISPR, GEEA, AS/NZS 3548 Class B, CSA C22.2 No. 60950-1, KC, CEL, TCO Displays|1000:1 / 3000000:1 (dynamic)||"LED-backlit LCD monitor - 20"""||||48.2 cm x 15.11 cm x 35.92 cm - with stand||Tilt|||ENERGY STAR Qualified||||||DVI, VGA|||German, French, Italian / Switzerland||3 years warranty||1600 x 900 at 60 Hz|TN||0.2768 mm|||"HP ProDisplay P201 - LED monitor - 20"""||||5 ms|Anti-glare|||||||||3.5 kg
|OHC24 Shop : Monitor > Monitor search help > Elo - 1715L Projected Capacitive E230052|5:4|225 cd/m2|Touch-screen|||Dark grey|16.7 million colours|MPR II, UL, VCCI, C-Tick, BSMI, cUL, CCC, IC, FCC, RoHS, S Mark, KC|800:1||"LCD monitor - 17"""||||39.1 cm x 20.3 cm x 36.6 cm|||||||||||VGA|||Worldwide||3 years warranty||1280 x 1024 at 75 Hz||||||"Elo 1715L Projected Capacitive - LCD monitor - 17"""||||25 ms||||||||||6.9 kg
|"OHC24 Shop : Monitor > Monitor search help > Iiyama GB2488HSU-B1 61CM 24IN LED 61 cm (24"")/"|Widescreen - 16:9|350 cd/m2|USB Hub|||Black|16.7 million colours|VESA DPMS, PSE Mark, GOST-R, TUV Bauart, VCCI Class B|1000:1 / 5000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||56.8 cm x 23 cm x 38.5 cm - with stand||Height, pivot (rotation), swivel, tilt|||||||||2xHDMI, DVI-D, DisplayPort|||||||FullHD 1920 x 1080|TN||0.277 mm|||"Iiyama ProLite GB2488HSU-B1 - LED monitor - 24"""||||1 ms|||Integrated|||||||5.5 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama ProLite - T1532SR-1 PL T1532SR-B1|4:3|200 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|Plug and Play, VCCI, DDC-2B, VESA DPMS, GOST-R, IP54, TUV Bauart|500:1||"LCD monitor - 15"""||||35.1 cm x 30.6 cm x 20.1 cm||Tilt|||||||||DVI-D, VGA|||||||1024 x 768|TN||0.297 mm|||"Iiyama ProLite T1532SR-1 - LCD monitor - 15"""||||8 ms|||Integrated|||||||4.8 kg
|OHC24 Shop : Monitor > Monitor search help > BenQ - GL2450H 9H.LC9LA.RBE|Widescreen - 16:9|250 cd/m2||||Glossy black|16.7 million colours|TCO Displays 5.0|1000:1 / 12000000:1 (dynamic)||"LED-backlit LCD monitor - 24"""||||57.9 cm x 17.9 cm x 43.6 cm - with stand||Tilt|||ENERGY STAR Qualified||||||HDMI, VGA|||||||FullHD 1920 x 1080|TN||0.276 mm|||"BenQ GL2450H - LED monitor - 24"""||||5 ms (typical); 2 ms (grey-to-grey)||||||||||4.7 kg
|OHC24 Shop : Monitor > Monitor search help > Iiyama PL T1731SR-W1|5:4|200 cd/m2|Touch-screen , stereo speakers|||White|16.7 million colours|Plug and Play, FCC Class B certified, UL, TUV, VCCI Class B ITE, cUL|900:1||"LCD monitor - 17"""||||38.7 cm x 34.2 cm x 20.2 cm||Tilt|||||||||DVI-D, VGA|||||||1280 x 1024|TN||0.264 mm|||"Iiyama ProLite T1731SR-W1 - LCD monitor - 17"""||||5 ms|||Integrated|||||||5.7 kg
|OHC24 Shop : Monitor > Monitor search help > ASUS - PA249Q 90LM0030-B01370|Widescreen - 16:10|350 cd/m2||||Black|1.07 billion colours|UL, VCCI, C-Tick, BSMI, cUL, NOM, WHQL, CB, CCC, TUV Ergo, FCC, RoHS, ISO 9241-307, WEEE, PSE Mark, GOST-R, J-MOSS, ErP Ready, TCO Displays 6.0|1000:1 / 80000000:1 (dynamic)||"LED-backlit LCD monitor - 24.1"""||||55.72 cm x 23.5 cm x 41.63 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||HDMI, DVI-D, VGA, DisplayPort|||||3 years warranty||FullHD 1920 x 1200|AH-IPS||0.27 mm|||"ASUS PA249Q - LED monitor - 24.1"""||||6 ms (grey-to-grey)||||||||||
|OHC24 Shop : Monitor > Monitor search help > Epson DM-D110 - POS STRAIGHT POLE EBCK (BLACK)   A61B133113||690 cd/m2|||2 lines x 20 characters|Cool white||TUV|||Customer display||||16.5 cm x 5.05 cm x 6.9 cm||||||||||||||||||||||||Epson DM-D110 (113) - customer display||||||||||||||290 g
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 1519L >  15.6-INCH LCD >  ITOUCH >  DUAL E114849|Widescreen - 16:9|225 cd/m2|Touch-screen , stereo speakers|||Black|16.7 million colours|UL, VCCI, BSMI, cUL, NOM, CB, CCC, RoHS, WEEE, S Mark|500:1||"LCD monitor - 15.6"""||||38.3 cm x 21.3 cm x 27.7 cm - with stand||Pivot (rotation), tilt|||||||||VGA|||EMEA||3 years warranty||1366 x 768 at 60 Hz||||||"Elo 1519L - LCD monitor - 15.6"""||||8 ms|||Internal|||||||5.1 kg
|OHC24 Shop : Monitor > Monitor search help > LG - 27MB85R|Widescreen - 16:9|350 cd/m2||||||Plug and Play, DDC/CI, DDC-2AB|1000:1||"LED-backlit LCD monitor - 27"""||||64.3 cm x 25.86 cm x 41.7 cm - with stand|||||ENERGY STAR Qualified , EPEAT Gold||||||HDMI, DVI-D, DisplayPort|||||||FullHD 2560 x 1440|IPS|||||"LG 27MB85R - LED monitor - 27"""||||5 ms||||||||||
|"OHC24 Shop : Monitor > Monitor search help > Dell P1914s >  19"" 5:4 1280x1024 >  8ms >  VGA >  DVI >  DP"|Widescreen - 5:4|250 cd/m2||||Silver|16.7 million colours|TCO Displays|1000:1 / 2000000:1 (dynamic)||"LED-backlit LCD monitor - 19"""||||41.14 cm x 18 cm x 37.02 cm - with stand||Height, pivot (rotation), swivel, tilt|||ENERGY STAR Qualified , EPEAT Gold||||||DVI-D, VGA, DisplayPort|||Switzerland||3 years warranty|Compatible with Windows 7|1280 x 1024 at 60 Hz|IPS||0.29 mm|||"Dell P1914S - LED monitor - 19"""||||8 ms (grey-to-grey)|Anti-glare, 3H Hard Coating|||||||||5.12 kg
|OHC24 Shop : Monitor > Monitor search help > Elo Touch Solutions 2740L LCD > NONTOUCH 2740L >  68 > 58cm E104733|Widescreen - 16:9|300 cd/m2||||Black|16.7 million colours|UL, VCCI, C-Tick, BSMI, cUL, CB, CCC, IC, FCC, RoHS, KCC, WEEE, S Mark, E-Standby|3000:1||"LED-backlit LCD monitor - 27"""||||63.22 cm x 4.26 cm x 37.34 cm - with stand|||||||||||DVI-D, VGA|||Worldwide||3 years warranty||FullHD 1920 x 1080 at 60 Hz||||||"Elo 2740L - LED monitor - 27"""||||12 ms||||||||||7.5 kg
|OHC24 Shop : Monitor > Monitor search help > Hewlett-Packard 27xi 27IN IPS Monitor HP Pavilion C4D27AA#UUZ|Widescreen|250 cd/m2||||||Plug and Play, CSA, cUL, WHQL, FCC, C-ETL, ETL, ICES, ERP, BFR|10000000:1 (dynamic)||"LED-backlit LCD monitor - 27"""||||63.47 cm x 19.2 cm x 45.38 cm||Tilt|||ENERGY STAR Qualified , EPEAT Silver||||||HDMI, DVI-D, VGA|||German, French, Italian / Switzerland||1 year warranty||FullHD 1920 x 1080 at 60 Hz|IPS||0.311 mm|||"HP Pavilion 27xi - LED monitor - 27"""||||7 ms||||||||||5.3 kg
|OHC24 Shop : Monitor > Monitor search help > Barco MDSC-2224  1920X1200 350 CD/QM 1000:1    K9307912|Widescreen - 16:10|300 cd/m2||||White, RAL 9003|1.07 billion colours|DEMKO, IEC 60601-1-2, CCC, EMC, UL 60601-1, FCC CFR47 Part 15, WEEE, EN 55011, cULus, EN 60601, REACH, EN 60601-1, CISPR 11, CAN/CSA C22.2 No. 601.1-M90, IP21, RoHS2|1000:1||"LED-backlit LCD monitor - colour - 24"""||||59.5 cm x 8.4 cm x 41.4 cm - without stand|||||||||||DVI-I, DisplayPort , S-Video, composite video, component video|||||3 years warranty||FullHD 1920 x 1200 at 60 Hz|S-IPS||0.27 mm|||"Barco MDSC-2224 - LED monitor - colour - 24"""||||6 ms (grey-to-grey)||||||||||10 kg
