3d technology|3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|colour|colour support|component video|composite video|contrast ratio|country of origin|depth|depth with stand|display orientation|displayport|dvi|energy consumption per year|energy efficiency class|features|firewireilink|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|input voltage|limited warranty|manufacturer|manufacturer part number|maximum adjustable height|maximum resolution|mount type|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product code|product line|product model|product name|product series|product type|recycled|recycled content|response time|screen mode|screen size|screen surface|sdi|sdi standard|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|system requirements|thunderbolt|tilt angle|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
||47WV30BS, LG47WV30BS, LG Electronics, LCD Monitor, JR Linton|||||16:9|Direct LED|LG|500 cd/m²|Speaker|ULc-ULCBTUVKCFCCCEKC|Black|16.7 Million Colours|Yes||1,300:1||91.4 mm||Landscape/Portrait||Yes|||['Video Wall', 'TileMatrix Support', 'Temperature Sensor', 'Off Timer', 'Sleep Timer', 'Zoom']|||['ErP', 'ENERGY STAR 5.0']|Yes|Yes|Yes||591.8 mm|||178°|['220 V AC', '110 V AC']||LG Electronics|47WV30BS||1366 x 768||Yes|1|2|500 mW|220 W|Direct LED Super Narrow Bezel DisplayRemoconPower CableRGB CableDVI CableManual (CD)Bolt (16Unit)IR ReceiverGuide Bracket|||In-plane Switching (IPS) Technology|||||47WV30BS|Direct LED Super Narrow Bezel Display||LCD Monitor|||12 ms|WXGA|"119.4 cm (47"")"|Anti-glare|||Yes|60 Hz|||||||Yes||178°|Yes|800 x 400|||28.98 kg||1046.5 mm|
||B2083HSD-B1, II-B2083HSD-B1, Iiyama, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|Speaker|CE TUV-GS VCCI-B Gost-R|Black|16.7 Million Colours|||1,000:1||230 mm||Landscape/Portrait||Yes|||Security Lock|||['ENERGY STAR', 'TCO Certified Displays 6.0']|Yes|Yes||Yes|356.5 mm|||170°|['110 V AC', '220 V AC']|3 Year|iiyama North America, Inc|B2083HSD-B1||1600 x 900|Wall Mountable||1|2||15 W|ProLite B2083HSD Widescreen LCD Monitor Power Cable VGA Cable (D-Sub) DVI-D Cable Audio Cable Stand Quick Start Guide Safety Guide|||Twisted Nematic Film (TN Film)|['Mac', 'PC']|||ProLite|B2083HSD|ProLite B2083HSD Widescreen LCD Monitor||LCD Monitor|||5 ms|HD+|"49.5 cm (19.5"")"||||Yes|75 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||4.30 kg||469.5 mm|
||LS24C45UFS/EN, 886N039, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Samsung|250 cd/m²|Speaker|"UL (USA) : UL 60950-1 CSA (Canada) : CSA C22.2 No. 60950-1 TUV (Germany) : EN60950-1 NEMKO (Norway) : EN60950-1 KC (Korea) : K60950-1 CCC (China) : GB 4943-2001 PSB (Singapore) : IEC60950-1 GOST (Russia) : IEC60950-1,EN55022 SIQ (Slovenia) : IEC60950-1, EN55022 PCBC (Poland) : IEC60590-1, EN55022 NOM (Mexico) : NOM-019-SCFI-1993 IRAM (Argentina) :IEC60950-1 SASO (Saudi Arabia) : IEC60950-1 EMC:
FCC (USA) FCC Part 15, Subpart B class ACE (Europe) EN55022, EN55024 VCCI (Japan) V-3 (CISPR22) KCC (Korea) :KN22, KN24 C-Tick (Australia) : AS/NZS3548 (CISPR22) CCC(China) :GB 9254-2008, GB 17625.1-2003"|Matte Black|16.7 Million Colours|||1,000:1||56.7 mm|224 mm||No|Yes|||['MagicRotation', 'MultiScreen', 'MagicTune', 'Off Timer', 'MagicBright3', 'MagicAngle', 'Eco Saving']|||['Eco-label', 'EPEAT Gold', 'TÜV', 'TCO Certified Displays 6.0', 'ENERGY STAR']|Yes||No|Yes|333.2 mm|486.75 mm||170°|['110 V AC', '220 V AC']|3 Year|Samsung|LS24C45UFS/EN|130 mm|1920 x 1080|Wall Mountable||1|2||30 W|S24C450M Widescreen LCD Monitor D-sub Cable Audio Cable 1.5 m Power Cable Length E-manual Install CD Quick Setup Guide included|||Twisted Nematic Film (TN Film)|PC|||SyncMaster|S24C450M|SyncMaster S24C450M Widescreen LCD Monitor|450|LCD Monitor|Yes|Plastic|5 ms|Full HD|"61 cm (24"")"||||Yes||100 mW||45°|||-3°to25°|||160°|Yes|100 x 100|Yes||3.50 kg|5.20 kg|565.4 mm|565.40 mm
||E1659FWU, 2861372, AOC, LCD Monitor, JR Linton||Yes||Yes|16:9|LED|AOC|200 cd/m²|||Glossy Piano Black|16.7 Million Colours|||500:1|||23 mm|Landscape/Portrait|||||Ultra Slim|||||||||234 mm||90°|||AOC|E1659FWU||1366 x 768|['Arm-mountable', 'Wall Mountable']||1|||8 W|||||['PC', 'Mac']||||E1659FWU|E1659FWU 16-Inch Class USB-Powered Monitor||LCD Monitor|||8 ms|HD|"40.6 cm (16"")"||||No||1 W|||||15°to30°|Yes|USB 3.0|50°|Yes|75 x 75|||1.09 kg|||375 mm
||220P4LPYES/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Philips|250 cd/m²|['Speaker', 'USB Hub']|UL/cULBSMICEFCC Class BGOSTSASOSEMKOTUV ErgoTUV/GS|['Black', 'Silver']|16.7 Million Colours|||1,000:1||59 mm|220 mm||Yes|Yes|||['Security Lock', 'SmartImage', 'SmartErgoBase', 'PowerSensor']|||['ENERGY STAR 5.0', 'TCO Certified Displays 5.2', 'WEEE', 'EPEAT Gold', 'RoHS', 'TCO Certified Edge']|Yes|Yes||Yes|349 mm|517 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|220P4LPYES/00||1680 x 1050|||1|2||16.80 W|||||['Mac', 'PC']|65%||Brilliance|220P4LPYES|LCD Monitor, LED Backlight with PowerSensor|P|LCD Monitor|Yes|Plastic|5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|60 Hz|300 mW||||||Yes|USB 2.0|160°|Yes|100 x 100|Yes||3.38 kg|5.50 kg|504 mm|504 mm
||UM.WV6EE.A09, 8654G61, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|250 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||206.8 mm||||Yes||||||"['EPEAT Gold', ""TCO '06"", 'ENERGY STAR']"|Yes|Yes|||390.4 mm|||178°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.WV6EE.A09|No|1920 x 1080|||1||250 mW|19.50 W|V226HQL Widescreen LCD Monitor1 x VGA Cable|||Vertical Alignment (VA)|||||V226HQL|V226HQL Widescreen LCD Monitor|V|LCD Monitor|||8 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes|60 Hz|350 mW||No|||-5°to25°|||178°|Yes|100 x 100|Yes||3.24 kg|3.66 kg|508 mm|
||DSM-H54.6TFT, VIGDSMH54.6TFT, Vigilant Vision, Ltd, JR Linton|||||16:9||Vigilant|500 cd/m²||||1.07 Billion Colors|Yes|Yes|4,000:1|||||||||['Picture in Picture', 'Picture on Picture']||||||Yes|||||176°|['220 V AC', '110 V AC']||Vigilant Vision, Ltd|DSM-H54.6TFT||1920 x 1080|||1|||400 W|||||PC||||DSM-H54.6TFT|DSM-H54.6TFT CCTV LCD Monitor||LCD Monitor|||8 ms|Full HD|"138.7 cm (54.6"")"|||||||Yes|||||||176°|||Yes|||||
||LS22D300NY/XU, 886N193, Samsung, LCD Monitor, JR Linton|||||16:9|LED|Samsung|200 cd/m²|||High Glossy Black|16.7 Million Colours|||5,000,000:1||53.1 mm|177 mm||No|No|||['MagicAngle', 'Off Timer', 'Magic Upscale', 'Eco Saving', 'Game Mode']|||ENERGY STAR|Yes||No|No|310.8 mm|385.20 mm|||['110 V AC', '220 V AC']||Samsung|LS22D300NY/XU||1920 x 1080|||1|||22 W||||Twisted Nematic Film (TN Film)|['PC', 'Mac']||||S22D300NY|S22D300NY Widescreen LCD Monitor|300|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||No|||||Yes||2.60 kg|2.85 kg|511.6 mm|511.60 mm
||VA2445-LED, B921455, ViewSonic, LCD Monitor, JR Linton|||||16:9|LED|Viewsonic|250 cd/m²|||Glossy Black||||10,000,000:1||||||Yes|||||||||||||||||Viewsonic Corporation|VA2445-LED||1920 x 1080|||1||||||||||||VA2445-LED|VA2445-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"59.9 cm (23.6"")"|||||||||||||||||Yes|||||
||B5M13AA#ABB, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|200 cd/m²|Speaker|CBCETUV-GSISO9241-307CSAFCCEPAGOSTNOMTUV-SVCCIKC/KCCPSBISCBSMIC-TICKCCCSEPAE-standbyWHQL|Black||||600:1|China|170 mm||||Yes|||Security Lock|||['CECP', 'ENERGY STAR', 'EPEAT Silver']|Yes|Yes|||357 mm|||90°||1 Year|Hewlett-Packard|B5M13AA#ABB||1600 x 900|||1|||26 W|||||||||W2072a|W2072a 20-inch Diagonal LED Backlit LCD Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||Yes|60 Hz|500 mW||||||||50°|||Yes||3.55 kg||477 mm|
||B2481HS-B1, 2541179, Iiyama, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|iiyama|250 cd/m²|Speaker|CECUTUV-GS|Black|16.7 Million Colours|||1,000:1||244.5 mm||Landscape/Portrait||Yes|||Security Lock|||['ENERGY STAR', 'TCO Displays 5.0']|Yes|Yes|Yes||535 mm|||178°|['220 V AC', '110 V AC']|3 Year|iiyama North America, Inc|B2481HS-B1||1920 x 1080|['Wall Mountable', 'Desk Mountable']||1|2||22 W|ProLite B2481HSPower CableD-Sub CableDVI CableAudio CableStand FootFootQuick Start GuideSafety Guide||||['Mac', 'PC']|||ProLite|B2481HS|ProLite B2481HS||LCD Monitor|||2 ms|Full HD|"61 cm (24"")"||||Yes|75 Hz|1 W||||||||170°|Yes|100 x 100|Yes||5.50 kg||543.5 mm|
||LS24C65UDW/EN, 3005295, Samsung, LCD Monitor, JR Linton||Yes|Yes|Yes|16:10|LED|Samsung|250 cd/m²|['USB Hub', 'Speaker']||Matte Black|16.7 Million Colours|||1,000:1||54.2 mm|224 mm||Yes|Yes|||['MagicBright 5', 'Display Power Management Signaling (DPMS)', 'Eco Saving', 'Off Timer']|||['TCO Certified Displays', 'ENERGY STAR', 'EPEAT Gold']|Yes||||359.4 mm|517.25 mm||178°|['220 V AC', '110 V AC']||Samsung|LS24C65UDW/EN|130 mm|1920 x 1200|Wall Mountable||1|2||35 W||||AD-PLS Technology|PC||||S24C650DW|S24C650DW Widescreen LCD Monitor|SC650|LCD Monitor|Yes|Plastic|5 ms|WUXGA|"61 cm (24"")"||||Yes||300 mW||45°|||-3°to25°|Yes|USB 2.0|178°|Yes|100 x 100|Yes||4.10 kg|5.70 kg|554.8 mm|554.80 mm
||469-3939, Dell, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Dell|500 cd/m²|USB Hub|||1.07 Billion Colors|||1,000:1|||||Yes|Yes|||['Touch Controls', 'Security Lock', 'Cable Management']|||||Yes|Yes|||||178°|||Dell, Inc|469-3939||2560 x 1440|||1|||130 W|||||PC|||UltraSharp|U2713H|"UltraSharp U2713H 27"" Monitor with PremierColor"||LCD Monitor|||6 ms|WQHD|"68.6 cm (27"")"|Anti-glare|||||500 mW||||||Yes|USB 3.0|178°|||||6.30 kg|||
||VG2235M, B921670, ViewSonic, LCD Monitor, JR Linton|||||16:10|LED|Viewsonic|250 cd/m²|Speaker|||16.7 Million Colours|||20,000,000:1||47.8 mm|204.22 mm|||Yes|||||Click to view|['ErP', 'TCO Certified Displays', 'REACH']|Yes||||335.3 mm|388.87 mm|||||Viewsonic Corporation|VG2235M||1680 x 1050|||1|||18.50 W||||||||Graphic|VG2235m|"VG2235m 22"" 16:10 Multimedia Ergonomic Display"||LCD Monitor|||5 ms|WSXGA+|"55.9 cm (22"")"||||Yes|||||||||||Yes||Yes||3.25 kg|4.85 kg|512.3 mm|512.32 mm
||VX2409, B921662, ViewSonic, LCD Monitor, JR Linton||Yes|||16:9|LED|Viewsonic|250 cd/m²||CE CU EAC||16.7 Million Colours|||20,000,000:1||32.8 mm|384.10 mm|||Yes|||Eco Mode|||['WEEE', 'RoHS']|Yes||||326.1 mm|215 mm||170°|['120 V AC', '230 V AC']|2 Year|Viewsonic Corporation|VX2409||1920 x 1080|||1|||24 W|"VX2409 24"" Full HD LED Display Power Adaptor VGA Cable User Manual"||||['PC', 'Mac']||||VX2409|"VX2409 24"" Full HD LED Display"|VX|LCD Monitor|||5 ms|Full HD|"61 cm (24"")"|Anti-glare||||75 Hz||||||-3°to20°|||160°|Yes|75 x 75|Yes||2.90 kg|3.60 kg|550.3 mm|550.30 mm
||9H.LANLB.DWE, M352416, BenQ, LCD Monitor, JR Linton||Yes|No||16:9|LED|BenQ|250 cd/m²|||White|16.7 Million Colours|||3,000:1||193 mm||||Yes|||['Security Lock', 'Senseye 3']|||TCO Certified Displays 6.0|Yes|Yes|Yes|Yes|392 mm|||178°|['220 V AC', '110 V AC']||BenQ Corporation|9H.LANLB.DWE||1920 x 1080|Wall Mountable||1|||28 W|VW2235H Widescreen LCD Monitor Phone/Card Docking|||Vertical Alignment (VA)|['Mac', 'PC']||||VW2235H|VW2235H Widescreen LCD Monitor|VW|LCD Monitor|||6 ms|Full HD|"54.6 cm (21.5"")"||||No||300 mW||||||||178°|Yes|100 x 100|Yes||3.90 kg||513 mm|
||60AAHAR1UK, S603EW8, Lenovo, LCD Monitor, JR Linton||Yes|Yes|Yes|5:4|LED|Lenovo|250 cd/m²||TUV Green Mark ISO 9241-307|Black|16.7 Million Colours|||1,000:1||221.9 mm||||Yes|||Security Lock|||['TCO Certified Edge Displays 1.1', 'China Energy Label (CEL)', 'EPEAT Gold', 'China RoHS', 'ENERGY STAR 6.0', 'ULE Gold', 'TCO Certified Displays 6.0', 'RoHS']|Yes|Yes|||378.3 mm|||178°|['220 V AC', '110 V AC']||Lenovo Group Limited|60AAHAR1UK||1280 x 1024|||1|||24 W||||In-plane Switching (IPS) Technology|PC|||ThinkVision|LT1913p|ThinkVision LT1913p 19-Inch Square IPS LED Backlit LCD Monitor||LCD Monitor|||7 ms|SXGA|"48.3 cm (19"")"||||||||||||||178°|||Yes||||411 mm|
||HX193DPB, V320089, Hannspree, LCD Monitor, JR Linton||Yes|||5:4|LED|Hanns.G|250 cd/m²||CECBGOSTNemko GSFCCUL3CcULus||16.7 Million Colours|||1,000:1||66 mm||||Yes|||['Eco Mode', 'Security Lock']|||['ENERGY STAR', 'TCO Certified Displays 5.2', 'China Energy Label (CEL)', 'WEEE', 'RoHS']|Yes|Yes|||388.6 mm|||170°|||Hannspree, Inc|HX193DPB||1280 x 1024|||1|2|500 mW|21.10 W|||||PC||||HX193DPB|"19"" Diagonal LED Monitor"||LCD Monitor|||5 ms|SXGA|"48.3 cm (19"")"|Anti-glare|||Yes|75 Hz|500 mW||||||||160°|Yes||Yes||3.76 kg||421.6 mm|
||24MP55HQ-P, 2998421, LG Electronics, LCD Monitor, JR Linton|||||16:9|LED|LG|250 cd/m²|||High Glossy Black|16.7 Million Colours|||5,000,000:1||55 mm|188 mm||No|No|||['Super Energy Saving', 'Reading Mode', 'Flicker-free']|||ENERGY STAR|Yes||Yes||332 mm|440 mm|83 kHz|178°|||LG Electronics|24MP55HQ-P||1920 x 1080|Wall Mountable||1||300 mW|22 W||||In-plane Switching (IPS) Technology|PC||||24MP55HQ-P|24MP55HQ-P Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"60.5 cm (23.8"")"|Anti-glare||||60 Hz|300 mW|||||-3°to20°|||178°|Yes|100 x 100|Yes||3.10 kg||544 mm|544 mm
||C9E49AA#ABU, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|250 cd/m²|Speaker||Black||||1,000:1||47.5 mm|160 mm|||Yes|||Security Lock|||['TCO Certified Displays', 'EPEAT Gold', 'ENERGY STAR']|Yes|Yes|||315.2 mm|379 mm||170°|['110 V AC', '220 V AC']|3 Year|Hewlett-Packard|C9E49AA#ABU||1920 x 1080|Arm-mountable||1|2||28 W|ProDisplay P221 54,6 cm (21.5'') LED Backlit Monitor VGA Cable DVI Cable AC Power Cable Printed Documentation CD|||||||Business|P221|ProDisplay P221 54,6 cm (21.5'') LED Backlit Monitor|Essential|LCD Monitor|||5 ms|Full HD|"54.6 cm (21.5"")"|Anti-glare|||Yes||500 mW||||||||160°|Yes|100 x 100|Yes||3.99 kg||518 mm|518 mm
||272P4QPJKEB/00, Philips, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Philips|300 cd/m²|['USB Hub', 'Webcam', 'Microphone']||||||1,000:1|||||Yes|Yes|||SmartImage|||['EPEAT Gold', 'ENERGY STAR', 'TCO Certified Edge']|Yes||Yes|||||178°|['220 V AC', '110 V AC']||Philips Electronics|272P4QPJKEB/00||2560 x 1440|||1||||||||['Mac', 'PC']||||272P4QPJKEB|272P4QPJKEB Widescreen LCD Monitor||LCD Monitor|||6 ms|QHD|"68.6 cm (27"")"||||||||||||Yes|USB 3.0|178°|Yes|||||||
||273V5LHAB/00, 2788644, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|300 cd/m²|Speaker|BSMI CE Mark FCC Class B GOST PSB SASO SEMKO TUV/ISO9241-307 cETLus|Black|16.7 Million Colours|||1,000:1||57 mm|240 mm|||Yes|||['Security Lock', 'SmartContrast', 'Sync on Green']|||['TCO Certified Displays', 'ENERGY STAR 6.0', 'EPEAT Silver', 'WEEE', 'RoHS']|Yes|Yes|Yes|Yes|398 mm|471 mm||170°|['220 V AC', '110 V AC']||Philips Electronics|273V5LHAB/00||1920 x 1080|||1|2|300 mW|19.65 W|||||['Mac', 'PC']|||V-line|273V5LHAB|LCD Monitor With SmartControl Lite||LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes|60 Hz|500 mW||||||||160°|Yes|100 x 100|Yes||4 kg|4.53 kg|646 mm|646 mm
||UM.HB6EE.001, 8654K89, Acer, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|Acer|300 cd/m²|||Dark Grey|16.7 Million Colours|||100,000,000:1||62 mm|247 mm||Yes|Yes||||||['EPEAT Gold', 'TCO Certified Displays 6.0']|Yes||||381 mm|558 mm||178°|['220 V AC', '110 V AC']|3 Year|Acer, Inc|UM.HB6EE.001|150 mm|1920 x 1080|||1||350 mW|28.50 W|B276HL Widescreen LCD Monitor1 x DVI Cable1 x Displayport Cable1 x VGA CablePower Cord|||Vertical Alignment (VA)|||||B276HL|B276HL Widescreen LCD Monitor|B|LCD Monitor|||6 ms|Full HD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz|450 mW||60°|||-5°to35°|||178°|Yes|100 x 100|Yes||4.90 kg|7.67 kg|640 mm|640 mm
||B5M13AA#ABB, HP, LCD Monitor, JR Linton||Yes|||16:9|LED|HP|200 cd/m²|Speaker|CBCETUV-GSISO9241-307CSAFCCEPAGOSTNOMTUV-SVCCIKC/KCCPSBISCBSMIC-TICKCCCSEPAE-standbyWHQL|Black||||600:1|China|170 mm||||Yes|||Security Lock|||['CECP', 'EPEAT Silver', 'ENERGY STAR']|Yes|Yes|||357 mm|||90°||1 Year|Hewlett-Packard|B5M13AA#ABB||1600 x 900|||1|||26 W|||||||||W2072a|W2072a 20-inch Diagonal LED Backlit LCD Monitor||LCD Monitor|||5 ms|HD+|"50.8 cm (20"")"|Anti-glare|||Yes|60 Hz|500 mW||||||||50°|||Yes||3.55 kg||477 mm|
||VG2438SM, B921673, ViewSonic, LCD Monitor, JR Linton|||||16:10|LED|Viewsonic|250 cd/m²|['Speaker', 'USB Hub']|||16.7 Million Colours|||50,000,000:1||51.5 mm|204.30 mm||Yes|Yes|||||Click to view|['TCO Certified Displays', 'ErP', 'ENERGY STAR', 'REACH']|Yes||||363 mm|393.60 mm||||3 Year|Viewsonic Corporation|VG2438SM||1920 x 1200|||1|||30 W|||||||||VG2438Sm|"VG2438Sm 24"" 16:10 Multimedia Ergonomic Display with DisplayPort and 4 USB3.0"|VG|LCD Monitor|||5 ms|WUXGA|"61 cm (24"")"||||Yes||||||||Yes|||Yes||Yes||4.16 kg|5.74 kg|556.8 mm|556.80 mm
||196V4LAB2/00, 2547747, Philips, LCD Monitor, JR Linton||Yes|||16:9|LED|Philips|200 cd/m²|Speaker|BSMICEFCCGOSTPSBSASOSEMKOTUV/ISO9241-307UL/cUL|Glossy Black|16.7 Million Colours|||600:1||48 mm|201 mm|||Yes|||['SmartContrast', 'Security Lock']|||['ENERGY STAR 5.0', 'WEEE', 'EPEAT Silver', 'RoHS']|Yes|Yes|||279 mm|349 mm||90°|['220 V AC', '110 V AC']||Philips Electronics|196V4LAB2/00||1366 x 768|||1|2|500 mW|14.12 W|||||['Mac', 'PC']||||196V4LAB2/00|LCD Monitor with LED Backlight|V|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"||||Yes|60 Hz|500 mW||||||||65°|Yes|100 x 100|Yes||2.66 kg|2.98 kg|443 mm|443 mm
||UM.HX2EE.001, 8655P45, Acer, LCD Monitor, JR Linton||Yes|No|No|16:9|LED|Acer|300 cd/m²|||Black|16.7 Million Colours|||100,000,000:1||50 mm|192 mm||Yes|Yes|64 kWh|C||||MPR II|Yes||Yes||267 mm|352 mm||178°|['220 V AC', '110 V AC']|2 Year|Acer, Inc|UM.HX2EE.001|No|2560 x 1440|||1||400 mW|33.60 W|K272HUL Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort CablePower Cord|||Advanced Hyper Viewing Angle (AHVA)|||||K272HUL|K272HUL Widescreen LCD Monitor|K|LCD Monitor|||6 ms|WQHD|"68.6 cm (27"")"|Anti-glare|||Yes|60 Hz|450 mW||No|||5°to25°|||178°|||||||441 mm|441 mm
||60003583, NECE224WMI, NEC Display Solutions, LCD Monitor, JR Linton||Yes|Yes|Yes|16:9|LED|NEC Display|250 cd/m²||FCC Class B certified TUV GS DDC-2B TUV Ergo PSB ISO 9241-307 Class I|White|16.7 Million Colours|||1,000:1||58.4 mm|213.36 mm||Yes|Yes|||['Sync on Green', 'Intelligent Power Manager (IPM) System', 'Carbon Footprint Meter', 'Eco Mode', 'Touch Controls', 'Ambient Light Sensor', 'Off Timer', 'AccuColor', 'Cable Management']|||['ENERGY STAR 6.0', 'TCO Certified Displays 6.0', 'EPEAT Silver', 'MPR III', 'RoHS']|Yes|Yes|||302.3 mm|474.98 mm||178°||3 Year|NEC Display Solutions|60003583||1920 x 1080|||1|||26 W|MultiSync E224Wi Widescreen LCD Monitor Setup Sheet User Manual Power Cord 15-pin D-sub Cable DVI-D Cable|||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||MultiSync|E224Wi|MultiSync E224Wi Widescreen LCD Monitor|E|LCD Monitor|Yes|Plastic|6 ms|Full HD|"54.6 cm (21.5"")"|||||60 Hz|400 mW||||||||178°|Yes|100 x 100|Yes||3.90 kg|5.90 kg|508 mm|508 mm
||861-BBBG, 0912934, Dell, LCD Monitor, JR Linton|||||16:9|LED|Dell|250 cd/m²|USB Hub||Black|16.7 Million Colours|||2,000,000:1||46.3 mm|180 mm||Yes|Yes|||||Click to view|['China Energy Label (CEL)', 'RoHS', 'EPEAT Gold', 'ENERGY STAR', 'CECP', 'TCO Certified Displays']|Yes||||304.4 mm|354.20 mm||||3 Year|Dell, Inc|861-BBBG||1920 x 1080|||1|||26 W|P2214H Widescreen LCD Monitor Stand Cable management cover Drivers & Utilities Dell Display Manager 1 x DisplayPort cable 1 x USB cable 1 x VGA cable|||||25%|||P2214H|P2214H Widescreen LCD Monitor||LCD Monitor|||8 ms|Full HD|"55.9 cm (22"")"||||||||||||Yes|||Yes||Yes||3.26 kg||512.7 mm|512.70 mm
||PN-G655E, ALLCDTV50, Sharp, LCD Monitor, JR Linton|Picture in PicturePicture by Picture||||||Sharp|450 cd/m²|||Black|16.7 Million Colours||Yes|2,000:1||126 mm||||Yes||||||||Yes|||923 mm|||176°|['220 V AC', '110 V AC']||Sharp Electronics|PN-G655E||1920 x 1080|||1||||||||||||PN-G655E|PN-G655E LCD Monitor||LCD Monitor|||6 ms|Full HD|"165.1 cm (65"")"||||||||||||||176°|||Yes||65 kg||1572 mm|
||60002696, 3967263, NEC Display Solutions, LCD Monitor, JR Linton||Yes|||||NEC Display|360 cd/m²|USB Hub||['Silver', 'Light Grey']||||1,000:1||83.8 mm|228.60 mm||Yes|Yes||||||['TCO Displays 5.0', 'RoHS', 'ENERGY STAR']|Yes|Yes|||363.2 mm|528.32 mm||178°|['220 V AC', '110 V AC']||NEC Display Solutions|60002696||1920 x 1200|||1|||95 W||||||||MultiSync|PA241W|MultiSync PA241W Widescreen LCD Monitor||LCD Monitor|||8 ms|WUXGA|"61.2 cm (24.1"")"||||||1 W||||||Yes||178°|Yes|200 x 100|Yes||7.40 kg|10.60 kg|556.3 mm|556.26 mm
||HE195ANB, V320105, Hannspree, LCD Monitor, JR Linton||Yes|||16:9|LED|Hanns.G|200 cd/m²||FCC UL/CUL 3C BSMI CE CB GOST China Energy Level 1|Glossy Black|16.7 Million Colours|||40,000,000:1||185 mm|||||||['Eco Mode', 'Security Lock']|||ENERGY STAR 5.0|Yes||||329 mm||||['110 V AC', '220 V AC']||Hannspree, Inc|HE195ANB||1366 x 768|Wall Mountable||1||500 mW|20 W|||||PC||||HE195ANB|HE195ANB Widescreen LCD Monitor|HE|LCD Monitor|||5 ms|WXGA|"47 cm (18.5"")"|Anti-glare||||60 Hz|500 mW|||||||||Yes|100 x 100|Yes||2.56 kg||444 mm|
||VK278Q, ASUMON073, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|300 cd/m²|['Speaker', 'Webcam']||Black|16.7 Million Colours|||10,000,000:1||220 mm||||Yes||||||ENERGY STAR|||Yes||460 mm|||170°|||ASUS Computer International|VK278Q||1920 x 1080|Wall Mountable||1|2||45 W|||||PC||||VK278Q|VK278Q Widescreen LCD Monitor|VK|LCD Monitor|||2 ms|Full HD|"68.6 cm (27"")"||||Yes|85 Hz|2 W||||||||160°|Yes|100 x 100|Yes||6.50 kg||643 mm|
||VN279Q, 3110825, ASUSTeK COMPUTER, LCD Monitor, JR Linton||Yes|||16:9|LED|Asus|300 cd/m²|Speaker||Black|16.7 Million Colours|||100,000,000:1||188 mm|209.80 mm||Yes||||['Security Lock', 'MultiScreen', 'Splendid Video Intelligence Technology', 'Mobile High-Definition Link (MHL)']|||||Yes|Yes|Yes|535.9 mm||67.50 kHz|178°|||ASUS Computer International|VN279Q||1920 x 1080|Wall Mountable||1|2|300 mW|35 W||||Advanced-Multi-domain Vertical Alignment (A-MVA)|PC||||VN279Q|VN279Q Widescreen LCD Monitor|VN|LCD Monitor|||5 ms|Full HD|"68.6 cm (27"")"||||Yes||500 mW||||||||178°|Yes|100 x 100|Yes||4.80 kg||706.1 mm|
