<page title>|ac power in|adattatore acdc|alimentazione|altezza|altezza con supporto|altezza imballo|altitudine di funzionamento|altitudine di nonfunzionamento|altoparlante  cuffia  spinotto di uscita|altoparlanti incorporati|altre caratteristiche|altre caratteristiche quantità 1 source datasheet|altre caratteristiche source datasheet|angolo di rotazione|angolo di visualizzazione orizzontale|angolo di visualizzazione verticale|angolo visuale|area di visualizzazione effettiva|blocco cavo|bluetooth|cable lock slot type|capacità totale hard disk|cavi inclusi|cavo alimentazione incluso|certificati di sicurezza|certificati di sicurezza certificazione energy star si|certificazione|certificazione energy star|classe efficienza energetica|collegamento ethernet lan|colore|colore del piede|colore del prodotto|colori del display|common interface plus ci|compatibile con montaggio vesa|compatibilità 3d|compatibilità elettromagnetica|compatibilità sistema operativo mac|condizioni ambientali|conforme agli standard|conformità epeat|connessione cuffia|connessione wlan|connessioni audio|consumi|consumi modalità attivo|consumi modalità risparmio energetico|consumi modalità spento|consumi modalità standby|consumo energetico max|consumo energia modalità economica|contenuto dellimballo cavi inclusi ac vga|controllo del volume|convenienza|dcin jack|design colore del prodotto nero|dimensione visibile diagonale|dimensione visibile orizzontale|dimensione visibile verticale|dimensioni altoparlante centrale l x a x p|dimensioni imballo lxpxa|dimensioni lxpxa|dimensioni lxpxa con base|dimensioni schermo|dimensioni schermo cm|display surface|dot pitch|dot rate video|famiglia processore|formato|fotocamera integrata|frequenza di ingresso|frequenza scansione orizzontale|frequenza scansione verticale|full hd|funzione risparmio|girevole|guida rapida|guida utente su cdrom|hdcp|hdmi|inclinazione|inclinazione regolabile|indicatore led alimentazione|indicatori led|ingresso audio|ingresso audio per pc|ingresso segnale|intel antitheft technology|intel hyperthreading technology|intel identity protection technology|intel my wifi technology|intel rapid start technology|intel small business advantage sba|intel smart connect technology|intel smart response technology|intel turbo boost technology|intel visual technologies|intel vpro technology|intel wireless display technology|interfaccia comune|interruttore integrato|intervallo di scansione verticale|intervallo di temperatura|intervallo temperatura di funzionamento|larghezza|larghezza con supporto|larghezza imballo|led standby|lettore di schede integrato|lingue osd|luminosità schermo|lunghezza cavo|manuale dellutente|materiale riciclabile|materiali della confezione riciclabili|megapixel|megapixel totali|mhl specification|microfono incorporato|microfono spinotto dingresso|miglioramento dellimmagine|mobile highdefinition link mhl|modalità video supportate|montabile a parete|mouse incluso|mtbf|networking connessione wlan n collegamento ethernet lan n|numero di altoparlanti|numero di core del processore|numero di lingue osd|numero di prodotti inclusi|on screen display osd|performance|peso|peso contenzione inclusa|peso incluso imballo|peso prodotto con supporto|peso schermo con supporto|pictureinpicture|pivot angle|plug  play|porta dvi|posizionamento supportato|potenza in uscita rms|processore|prodotto senza piedistallo kg|profondità|profondità con supporto|profondità imballo|quantità|quantità displayports|quantità porte dvid|quantità porte ethernet lan rj45|quantità porte hdmi|quantità porte usb 20|quantità porte usb 30|quantità porte vga dsub|ram installata|range di scansione orizzontale|range di umidità di funzionamento|rapporto di contrasto|rapporto di contrasto dinamico|regolazione altezza|regulatory approvals|retroilluminazione a led|risoluzione|risoluzione consigliata|risoluzione massima|risoluzioni grafiche supportate|rotazione|schermo srgb|segnale ingresso sincronizz video|sicurezza|sintonizzatore tv integrato|sistema operativo incluso|sistema operativo linux supportato|sistema operativo windows supportato|smartcontrast|smartresponse|source datasheet|specificazioni ambientali|subwoofer incorporato|supporto di memoria|supporto lingue|sync hv separato|syncongreen sog|tecnologia display|tecnologia touch|tempo di risposta|thin client|thin client installato|thin client thin client installato n|thin client thin client installato no|tipi schede di memoria|tipo di prodotto|tipo di ram|tipologia di retroilluminazione|tipologia display|tipologia hd|touch screen|umidità|umidità relativa|uscita audio|velocità processore|voltaggio di ingresso|webcam girevole|wifi
Aoc AOC E970SWN LED display E970SWN Planet Computer.it|Si|||336.8 mm||||||N|||||90 °|50 °|||Kensington||||AC, VGA||||CE, FCC, GOST, RoHS, TÜV-GS, ISO 9241-307, EuP, NRTL|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||15 W|||0.3 W|0.5 W|||"Multimedia
Sintonizzatore TV integrato N
Altoparlanti incorporati N
Fotocamera integrata N"||||||410 mm|230 mm|||||47 cm|||0.3 x 0.3 mm|||16:9|N|50/60 Hz|||||N|||N||-5 - 15 °|Si|Si|||||||||||||||||||50 - 76 Hz|||437.4 mm|||Si|||200 cd/m²|||||||||||||Si||||||||||2.15 kg||2.8 kg||||||N|||||156 mm||||||||||1||30 - 60 kHz||700:1|20000000:1|N|||1366 x 768 Pixels|||1366 x 768|N||||N||||||.|||||||||5 ms|Thin client installato N|N||||||W-LED|LED|||||||90 - 240 V||
Aoc AOC e2070Swn E2070SWN Planet Computer.it|||||346.35 mm|||||N|||"Thin Client
Thin client installato N"||90 °|50 °|||Kensington||||||||CE, FCC, GOST, RoHS, EuP, NRTL|Si|||||Nero|16.77 M||100 x 100 mm|N|||||Argento||||18 W|||0.3 W|0.5 W|||||||"Multimedia
Sintonizzatore TV integrato N
Altoparlanti incorporati N
Fotocamera integrata N"|495 mm|432 mm|239.8 mm|||||49.5 cm||Matt|0.27 x 0.27 mm|||16:9|N|50/60 Hz|||||N|||N||-5 - 15 °|Si||||||||||||||||||||55 - 75 Hz||||464.63 mm|||||200 cd/m²|||||||||||||Si|||||||||||||2.27 kg|||||N||||||156 mm|||||||||1||30 - 83 kHz||800:1|20000000:1|N|||1600 x 900 Pixels|||1600 x 900|N||||N||||||.|||||||TN+Film||5 ms||N||||||W-LED|LED|||||||90 - 240 V||
Philips Philips 234E5QHAW 234E5QHAW 00 Planet Computer.it||||325 mm|414 mm|475 mm|0 - 3658 m|0 - 12192 m||Si|||"Dimensioni e peso
Profondità (con supporto) 213 mm
Altezza (con supporto) 414 mm
Larghezza (con supporto) 532 mm
Larghezza imballo 577 mm
Altezza imballo 475 mm
Profondità imballo 105 mm
Peso prodotto con supporto 3.46 kg
Profondità 45 mm
Larghezza 532 mm
Altezza 325 mm
Peso incluso imballo 5.16 kg
Peso 3.11 kg"||178 °|178 °|||Kensington||||||||BSMI, CE Mark, cETLus, FCC B, GOST, SASO, SEMKO, TUV/ ISO9241-307, WEEE|Si|Non specificato|N|||Bianco|16.77 M||100 x 100 mm|N|||||Argento||N||29.1 W||||0.5 W|||||||||509.18 mm|286.41 mm|||||58.4 cm|||0.265 x 0.265 mm|||16:9|N|50/60 Hz||||||Si||Si||-5 - 20 °|Si|Si|Si|||||||||||||||||Si|56 - 75 Hz|-20 - 60 °C|0 - 40 °C|532 mm|532 mm|577 mm|Si|||250 cd/m²||Si|||||||||Si|1080p|Si||30000 h|"Gestione energetica
Frequenza di ingresso 50/60 Hz
Classe efficienza energetica Non specificato
Consumi (modalità stand-by) 0.5 W
Voltaggio di ingresso 100 - 240 V
Consumi 29.1 W"|2||||Si||3.11 kg||5.16 kg|3.46 kg||||Si|N||10 W|||45 mm|213 mm|105 mm|||||2|||1||30 - 83 kHz|20 - 80 %|1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||Si||RoHS|N||Si|Si|||.|||||Si|Si|IPS||5 ms||N||||||W-LED|LED|Full HD||5 - 90 %||||100 - 240 V||
Lg Electronics LG 27MP35HQ-B 27MP35HQ-B.AEU Planet Computer.it||||39 cm|48,5 cm|15,8 cm||||No|||||178°|178°|||Kensington||||AC, VGA||||UL (cUL), TUV, FCC-B, CE, EPA|Si|A||||Nero|16,77M||100 x 100 mm|No|||||||||23W|||0,3W|0,3W|34W||||||||||||||68 cm|||0,3114 x 0,3114 mm|||16:9|No||30 - 83 kHz|56 - 61 Hz||||Si||Si||-5 - 20°|Si||||||||||||||||||||56 - 75 Hz|||64,2 cm|64,2 cm|79,6 cm||||200 cd/m²||Si|||||||||||Si||||||17||Si||4,2 kg||7,3 kg|4,8 kg||||Si|No|||||4,7 cm|25,4 cm|47 cm|||||1|||1||30 - 83 kHz||1000:1|5000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|||||No|||||||||||||IPS||5 ms|Thin client installato No|No|||||||LCD|Full HD||||||||
Lg Electronics LG 25UM65-P LED display 25UM65-P.AEU Planet Computer.it||Si||28,14 cm|38,3 cm||||Si|Si|||"Thin Client
Thin client installato No"||178°|178°|||||||HDMI||||UL(cUL), FCC-B, CE, CB, CCC, BSMI, KC, EPA, ROHS, REACH||||||Nero|16,77M|||||||||3.5 mm|||31W||||0,5W||||||Si|||58,366 cm|25,04 cm|||||63,5 cm||Matt|0,2286 x 0,2286 mm|||21:9|No|47-63 Hz||||||||Si||-5 - 20°|Si||Si|Si|||||||||||||||||56 - 75 Hz|-20 - 60 °C|10 - 35 °C|60,9 cm|60,9 cm||||CHI (SIMPL), DEU, ENG, ESP, FIN, FRE, ITA, JPN, POL, POR, RUS, SWE, UKR|300 cd/m²|||||||||||||||||2||||Si||3,78 kg|||4,1 kg||||Si|Si||6W|||4 cm|18,84 cm|||1|1||2|||||30 - 90 kHz|10 - 80%|1000:1|5000000:1||||2560 x 1080 Pixels|||2560 x 1080||Si||||||||||||||||IPS||5 ms||No||||||W-LED|LCD|Full HD||5 - 90%||||90 - 240V||
Benq Benq RL2455HM 9H.LA9LB.DBE Planet Computer.it|Si|||435 mm|||||1|Si|||||170 °|160 °|||Kensington|N|||||||TCO 5.2|Si|Non specificato|N|||Nero|16.77 M||100 x 100 mm|N||||||3.5 mm|N||27 W||||0.5 W|||||||"Altre caratteristiche
Quantità 1"||||||||60.96 cm|||0.276 x 0.276 mm|||16:9|N||||||N|||Si||-5 - 15 °|Si|||Si||||||||||||||||Si||||579 mm||||||250 cd/m²||||||||||||1080p|Si||||2||17||Si||4.1 kg||5.7 kg|||N||Si|Si||4 W|||189 mm|||1||||2|||1||||1000:1|12000000:1|N|||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|N||||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||||N|||||TN+Film||1 ms||N|"Connettività
Connessione cuffia 3.5 mm
Quantità porte HDMI 2
AC (power) in Si
Quantità porte VGA (D-Sub) 1
Porta DVI Si
Altoparlante / Cuffia / spinotto di uscita 1
Ingresso audio Si"||||||LED|Full HD||||||90 - 264 V||
Lenovo Lenovo ThinkVision LT2323p T24HDIT Planet Computer.it||||372.3 mm||210 mm|0 - 3000 m|||N||||-45 - 45 °|170 °|160 °|||Kensington||||AC, DVI, USB, VGA||||ISO, WEEE, RoHS, REACH, EuP, ULE Gold, CSC, TCO, EPEAT Gold, GHG, ECO|Si|||||Nero|16.77 M||100 x 100 mm|N||||DDC/CI|||||20 W||||0.5 W|38 W|||||||584 mm|473.76 mm|296.1 mm|||||58.4 cm|||0.265 x 0.265 mm|||16:9|N|50/60 Hz||||||Si||||-5 - 30 °||Si|Si|||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|546 mm||655 mm|Si||CHI (SIMPL), DEU, ENG, ESP, FRE, ITA, JPN, RUS|250 cd/m²|1.8 m|Si|||||||||||Si||||||8||Si||['5.74 kg', '5.74 kg']||8.1 kg||||-90 - 90 °|Si||||||52.3 mm||451 mm||1||||||1|||10 - 80 %|1000:1|||||1920 x 1080 Pixels|||640 x 350, 720 x 400, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1360 x 768 (WXGA), 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)|Si||||N||||||.|||||Si|N|TN+Film||5 ms||N|"Altre caratteristiche
Source data-sheet .
Peso 5.74 kg"|||||||Full HD||5 - 95 %||||96 - 264 V||
Samsung Samsung LS22D300HY LED display LS22D300HY EN Planet Computer.it||||31,08 cm|38,52 cm|37,7 cm|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||51,16 cm|51,16 cm|57,3 cm|||||||||||||||||||||||||||2,6 kg||3,95 kg|2,85 kg||||||||||5,31 cm|17,7 cm|11,5 cm||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aoc AOC E2370SN E2370SN Planet Computer.it||||||||||||||||||||||||||||||||||16,77M|||No||||||||||||||||||||||50,918 cm|28,642 cm|||||58,4 cm||Matt|0,265 x 0,265 mm|||16:9||||||||||No|||||||||||||||||||||||50 - 76 Hz|||||||||200 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||30 - 83 kHz||600:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||TN||5 ms||||||||W-LED|LCD|Full HD||||||||
Philips Philips 272G5DYEB 272G5DYEB 00 Planet Computer.it||||40,5 cm|58 cm|23,4 cm|0 - 3658m|0 - 12192m||No|Area di visualizzazione effettiva 597,6 x 336,15 mm|||-65 - 65°|170°|160°||597,6 x 336,15 mm|Si||||||||RoHS, CE, BSMI, GOST, PSB, SASO, SEMKO|Si|Non specificato||||Nero|16,77M||100 x 100 mm|Si|||||Argento||||27,5W|||0,5W|0,5W|||||||||||||||"68,58 cm (27"")"|68,6 cm||0,311 x 0,311 mm|||16:9|No|50/60 Hz|||||Si|||||-5 - 20°|Si||Operation, Stand-by||||||||||||||||||30 - 150 Hz|-20 - 60 °C|0 - 40 °C|63,9 cm|63,9 cm|75 cm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|300 cd/m²|||||||||||||Si||30,000h||||||Si||5 kg||11300g|7,8 kg|||0 - 90°|Si||||||6,4 cm|24,2 cm|49 cm||1|||||4|||30 - 160 kHz|20 - 80%|1000:1||['Si', '15 cm']|||1920 x 1080 Pixels||||Si|Si|||No|||Si||||||||||LCD/TFT||5 ms||||||||W-LED|LED|Full HD||||||100 - 240V||
Lenovo Lenovo ThinkVision LT2423 60A8KAT2IT Planet Computer.it|||||||||||||||170 °|160 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||"609.6 mm (24 "")"|||0.27 x 0.27 mm|||16:9||||||||||||||||||||||||||||||||||||||||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||||1000:1|500000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||5 ms||||||||W-LED|LCD|Full HD||||||||
Lenovo Lenovo ThinkVision T2220 60B7HAT1IT Planet Computer.it|||||||||||||||170°|160°||||||||||||||||||16,77M|||||||||||||||||||||||||||||||"54,61 cm (21.5"")"|||0,248 x 0,248 mm|||16:9||||||||||||||||||||||||||||||||||||||||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||||1000:1|||||1920 x 1080 Pixels|||640 x 350, 720 x 400, 832 x 624, 1600 x 900, 1024 x 768 (XGA), 1152 x 864 (XGA+), 1280 x 1024 (SXGA), 1366 х 768, 1440 x 900 (WXGA+), 1680 x 1050 (WSXGA+), 1920 x 1080 (HD 1080), 640 x 480 (VGA), 800 x 600 (SVGA)||||||||||||||||||TN||5 ms||||||||W-LED|LED|Full HD||||||||
Hp Hewlett Packard HP V201a F8C55AT ABB Planet Computer.it||||28,87 cm|35,53 cm|||||No|||||90°|50°|||Si||||||||||Non specificato||||Nero||||No|||||||||19W||||0,5W|||||||"Multimedia
Sintonizzatore TV integrato No
Altoparlanti incorporati No
Fotocamera integrata No"||||||||49,4 cm||||||16:9|No|50/60 Hz||||||||No||-5 - 15°|Si|||||||||||||||||||||||46,8 cm|46,8 cm|||||200 cd/m²|||||||||||||||||||||||2,8 kg||||||||No|||||4,69 cm|19 cm|||||||||1||||600:1|3000000:1||||1600 x 900 Pixels||||||||No|||||||||||||||5 ms|Thin client installato No|No|||||||LCD|No||||||100 - 230V||
Aoc AOC A2272PW4T A2272PW4T BK Planet Computer.it||||35,5 cm||||||Si|||||||||Si|Si|Kensington|8 GB|AC, Audio (3.5mm), HDMI, USB|||"Gestione energetica
Adattatore di voltaggio input AC 100 - 240V
Adattatore di frequenza AC 50/60 Hz
Adattatore dissipazione di potenza AC 27W"||Si||Si|||Nero||||||||||||||||||||||||||||||||"54,61 cm (21.5"")"|||||NVIDIA Tegra|16:9|Si||||Si|||||||-15 - 65°|||||||No|No|No|No|No|No|No|No|No|No|No|No||||||56,19 cm||||Si||250 cd/m²||||||1,0 MP|||||||Si|No||||4|||||5 kg||7,5 kg||||||No||4W|T33||4,71 cm||||||1|1|2||1|2 GB|||||||Si|1920 x 1080 Pixels|||||||||Android 4.2||||||||Flash|||||Dual-touch||||||SDHC||DDR3-SDRAM||||Si||||1,6 GHz|||Si
Philips Philips 19S4LSB5 19S4LSB5 00 Planet Computer.it||||346 mm|418 mm|457 mm|||||||"Dimensioni e peso
Profondità (con supporto) 194 mm
Altezza (con supporto) 418 mm
Larghezza (con supporto) 404 mm
Larghezza imballo 465 mm
Altezza imballo 457 mm
Profondità imballo 139 mm
Peso prodotto con supporto 3.2 kg
Profondità 61 mm
Larghezza 404 mm
Altezza 346 mm
Peso incluso imballo 4.82 kg
Peso 2.8 kg"||170 °|160 °|||Kensington||||||||BSMI, CE Mark, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, WEEE|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|||Si||BSMI, CE Mark, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, WEEE|Oro||||14.3 W||9 W|0.1 W|0.1 W|||||||"Condizioni ambientali
Intervallo temperatura di funzionamento 0 - 40 °C
Intervallo di temperatura -20 - 60 °C
Range di umidità di funzionamento 20 - 80 %"||376.32 mm|301.06 mm|||||48.3 cm|||0.294 x 0.294 mm|||5:4||50/60 Hz|30 - 83 kHz|56 - 75 Hz||||||Si||-5 - 20 °||||||||||||||||||||Si||-20 - 60 °C|0 - 40 °C|404 mm|404 mm|465 mm|||CHI (TR), CZE, DEU, DUT, ENG, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, SWE, TUR, UKR|250 cd/m²|||||||||||||Si||30000 h||||21||Si||2.8 kg||4.82 kg|3.2 kg||||Si|Si|||||61 mm|194 mm|139 mm|||1|||||1|||20 - 80 %|1000:1|20000000:1||||1280 x 1024 Pixels|||||||||||Si|||.|||||Si||TFT||5 ms||||||||W-LED|LCD|||||||100 - 240 V||
Benq Benq GL2760H 9H.LC8LA.TBE Planet Computer.it|||||||||||||||170°|170°||||||||||||||||||16,77M|||No||||||||||||||||||||||||||||68,58 cm|||0,311 x 0,311 mm|||16:9||||||||||No|||||||||||||||||||||||50 - 76 Hz|||||||||250 cd/m²||||||||||||||||||||||||||||||||||||||||||||||||30 - 83 kHz||1000:1|12000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||TFT||5 ms|||||||||LED|Full HD||||||||
Philips Philips 19S4LAB5 19S4LAB5 00 Planet Computer.it|Si|||346 mm|418 mm||||1|Si|||"Thin Client
Thin client installato N"||170 °|160 °|||Kensington||||||||BSMI, CE, cETLus, FCC Class B, GOST, SASO, SEMKO, TCO 6.0, TUV Ergo, TUV/GS, WEE|Si|Non specificato||||Nero|16.77 M||100 x 100 mm|N||Si|||Oro||||14.3 W||9 W|0.1 W|0.1 W|||||||"Multimedia
Potenza in uscita (RMS) 3 W
Sintonizzatore TV integrato N
Altoparlanti incorporati Si
Fotocamera integrata N
Numero di altoparlanti 2"|483 mm|376.32 mm|301.06 mm|||||48.3 cm|||0.294 x 0.294 mm|||5:4|N|50/60 Hz||||||||Si||-5 - 20 °|Si|Si|||Si|||||||||||||||Si|56 - 85 Hz|-20 - 60 °C|0 - 40 °C|404 mm|404 mm||Si||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²||Si|||||||||||Si||||2||||Si|"Sistema operativo Windows supportato Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8
Compatibilità sistema operativo Mac Si"|2.8 kg|||3.2 kg||||Si|Si||3 W|||61 mm|194 mm||||1|||||1||30 - 83 kHz||1000:1|20000000:1|N|||1280 x 1024 Pixels|||1280 x 1024 (SXGA)||Si|||N|||Windows 7 Home Basic, Windows 7 Home Basic x64, Windows 7 Home Premium, Windows 7 Home Premium x64, Windows 7 Professional, Windows 7 Professional x64, Windows 7 Starter, Windows 7 Starter x64, Windows 7 Ultimate, Windows 7 Ultimate x64, Windows 8|||.|||||Si|Si|LCD||5 ms||N||||||W-LED|LCD|N|||20 - 80 %|||100 - 240 V||
Philips Philips 223V5LSB 223V5LSB 00 Planet Computer.it|Si|||316 mm|376 mm|414 mm||||N|||"Ergonomia
Interruttore integrato Si
Lingue OSD CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR
Compatibile con montaggio VESA 100 x 100 mm
On Screen Display (OSD) Si
Montabile a parete Si
Indicatori LED Operation, Stand-by
Blocco cavo Kensington
Plug & Play Si"||170 °|160 °|||Kensington||||||||RoHS, Lead-free, Mercury Free|Si|Non specificato||||Nero|16.77 M||100 x 100 mm||||||Argento||||15.64 W|||0.5 W|0.5 W|||||||||476.64 mm|268.11 mm|||||54.6 cm|||0.248 x 0.248 mm|||16:9|N|50/60 Hz|||||||||||||Operation, Stand-by|||||||||||||||||Si|56 - 76 Hz|-20 - 60 °C|0 - 40 °C|503 mm|503 mm|555 mm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||||Si||30.000 h||||||Si||2.35 kg||3.87 kg|2.61 kg||||Si|Si|||||50 mm|213 mm|107 mm|||1|||||1||30 - 83 kHz|20 - 80 %|1000:1|10000000:1||||1920 x 1080 Pixels|||||Si|||N||||||.|||||Si|Si|LCD/TFT||5 ms||N||||||W-LED|LED|Full HD||||||100 - 240 V||
Aoc AOC u2868Pqu U2868PQU Planet Computer.it|Si||||56,06 cm|||||Si|||||170°|160°|||Kensington|No|||||||CE, CU, Energy Star 6.0, EPEAT Silver, ISO 9241-307, RoHS, TCO 6.0, TÜV-Bauart, Ukrain Safety|Si|Non specificato|No|||Nero|1073,7M||100 x 100 mm|No|||||Argento||||50,5W|||0,5W|0,5W|||||||"Connettività
Quantità porte USB 2.0 2
Porta DVI Si
Quantità porte VGA (D-Sub) 1
Quantità porte DVI-D 1
AC (power) in Si
Quantità porte HDMI 1
Quantità DisplayPorts 1
Quantità porte USB 3.0 2"|||34,1 cm|||||"71,12 cm (28"")"|70,9 cm||0,16 x 0,16 mm|||16:9||50/60 Hz|||||Si|||Si||-5 - 24°|Si|Si|Si|||||||||||||||||Si|50 - 76 Hz||||65,89 cm||Si|||300 cd/m²|||||||||||||Si||||||||Si||||10,95 kg|7,94 kg||||Si|Si||||||24,5 cm|||1|1||1|2|2|1||30 - 99 kHz||1000:1|80000000:1|Si|||3840 x 2160 Pixels|||3840 x 2160|Si|||||||||||||||||||1 ms|Thin client installato No|No|||||||LED|4K Ultra HD||||||100 - 240V||No
Philips Philips Ultra Narrow Bezel 234E5QDAB 00 Planet Computer.it||||32,5 cm|41,4 cm|47,5 cm|0 - 3658m|0 - 12192m|1|Si|||||178°|178°|||Kensington||||AC|||||Si|Non specificato||||Nero|16,77M||100 x 100 mm|N|||||Argento||||19,39W|||0,3W|0,5W|||||||||||||||58,4 cm||Lucida|0,265 x 0,265 mm|||16:9|N|50/60 Hz||||||||Si||-5 - 20°|Si||Operation, Stand-by|Si|Si||||||||||||||||56 - 75 Hz|-20 - 60 °C|0 - 40 °C|53,2 cm|53,2 cm|57,7 cm|||CHI (SIMPL), CHI (TR), CZE, DEU, DUT, ENG, ESP, FIN, FRE, GRE, HUN, ITA, JPN, KOR, POL, POR, RUS, SWE, TUR, UKR|250 cd/m²|||||||||||Si|1080p|Si||30000h||2||22||Si||3,11 kg||5,16 kg|3,46 kg||||Si|Si||10W|||4,5 cm|21,3 cm|10,5 cm|||1||1|||1||30 - 83 kHz||1000:1|20000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)|Si||||N|||||||||||||||5 ms|Thin client installato N|N||||||W-LED|LCD|Full HD|||20 - 80%|Si||100 - 240V||
Philips Philips 284E5QHAD E-line 28  71.1 cm MHL Technology LCD monitor with SmartImage lite 284E5QHAD 00 Planet Compute|||Esterna 100-240 V CA, 50/60 Hz||||||||||||||176º / 176º|619,8 x 348,6 mm|||||||||||||Black Cherry||||||||||||||Ingresso audio PC Uscita cuffia||23,18W||||||||blocco Kensington Montaggio VESA (100 x 100 mm) Accensione/spegnimento Menu Volume Ingr. SmartImage Lite||||||663 x 390 x 54 mm|711 x 542 x 116 mm||663 x 485 x 237 mm|||||||||||||||||||||||||HDMI (digitale, HDCP) MHL-HDMI (digitale, HDCP) VGA (analogico)||||||||||||||||||||||||||||100%|||1080p @ 30 Hz|||SmartImage Lite||||||||||||||6,6 kg (14.6 lbs)|||4,73 kg (10.4 lbs)||||||||4,21 kg (9.28 lbs)||||||||||||||||||BSMI marchio CE cETLus FCC Class B GOST SASO SEMKO TCO 6 TUV/ISO9241-307 WEEE|||1920 x 1080 a 60 Hz|||||Sincronizzazione separata Sync su verde||||||20.000.000:1|4 ms (grigio su grigio)||EnergyStar 6.0 EPEAT Silver RoHS Senza piombo Senza mercurio|||Portoghese brasiliano Cecoslovacco Olandese Italiano Finlandese Francese Tedesco Greco Ungherese Italiano Giapponese Coreano Polacco Portoghese Russo Cinese semplificato Spagnolo Svedese Turco Cinese tradizionale Ucraino|||||||||||||||||||||||
Hp Hewlett Packard HP ProDisplay P221 C9E49AA ABB Planet Computer.it|||||||||||||||170 °|160 °||||||||||||||||||16.77 M|||N||||||||||||||||||||||||||||54.6 cm||Matt|0.248 x 0.248 mm|||16:9||||||||||Si||||||||||||||||||||||||||||||||250 cd/m²||||||||||||1080p||||||||||||||||||||||||||||||||||||||1000:1|3000000:1||||1920 x 1080 Pixels|||1920 x 1080 (HD 1080)||||||||||||||||||||5 ms|||||||||LED|Full HD||||||||
