3d type|<page title>|additional information|adjustable display angle|adjustable display height|adjustable display pivot|aspect ratio|backlight technology|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|depth|depth with stand|digital zoom|display orientation|displayport|dvi|features|full product specifications|green compliance certificateauthority|green compliant|hdcp supported|hdmi|headphone|height|height with stand|horizontal frequency|horizontal viewing angle|image sensor|input voltage|interfacesports|limited warranty|manufacturer|manufacturer part number|manufacturer website address|maximum adjustable height|maximum resolution|mount type|multitouch screen|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|package contents|package type|packaged quantity|panel technology|platform supported|postconsumerwaste|product line|product model|product name|product series|product type|recycled|recycled content|resolution|response time|screen mode|screen size|screen surface|serial port|speakers|standard refresh rate|standby power consumption|svideo|swivel angle|tilt angle|touchscreen|touchscreen type|usb|usb standard|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|webcam|weight approximate|weight with stand approximate|width|width with stand
|"Planar Pxl2230mw 22"" Edge Led Lcd Touchscreen Monitor - 16:9 - 5 Ms - Optical - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 16.7 Million Colors - 1,000:1 - 250 Cd/mÂ² - Speakers - Dvi - Hdmi - Usb - Vga - Rohs, Weee - 3 Year - (997-7039-00) - SoftwareCity.ca - Canada"||Yes|||16:9|Edge LED|Planar|250 cd/mÂ²|Speaker|UL/cULFCC-BCE||16.7 Million Colors||||1,000:1||"2.8"" (71.1 mm)"|"4.9"" (124.5 mm)"||||Yes|OSD/Power Lock||RoHS, WEEE|Yes|Yes|Yes||"12.9"" (327.7 mm)"|"14.7"" (373.4 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Planar Systems, Inc|997-7039-00|http://www.planar.com||1920 x 1080||Yes||||||PXL2230MW Touchscreen LCD MonitorStylus||||PC|||PXL2230MW|PXL2230MW Touchscreen LCD Monitor||LCD Touchscreen Monitor||||5 ms|Full HD|"22"""|||Yes|60 Hz|||||Yes|Optical|Yes||160Â°|Yes|100 x 100|Yes||||"20.3"" (515.6 mm)"|"20.3"" (515.6 mm)"
|"Lg 27mp55hq-p 27"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - Full Hd - Hdmi - Vga - 25 W - (27MP55HQ-P) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|LG|250 cd/mÂ²||||16.7 Million Colors||No||||||||No|No|Flicker-free, Reading Mode||||Yes|Yes|Yes||||178Â°|||||LG Electronics|27MP55HQ-P|http://www.lg.com/ca||1920 x 1080|Wall Mountable|||1||300 mW|25 W||||Advanced High Performance In-plane Switching (AH-IPS) Technology|PC|||27MP55HQ-P|27MP55HQ-P Widescreen LCD Monitor|MP55|LCD Monitor||||5 ms|Full HD|"27"""|||||300 mW|No||-5Â°to20Â°|||||178Â°|Yes|100 x 100|Yes|||||
|"Viewsonic Td2240 22"" Led Lcd Touchscreen Monitor - 16:9 - 25 Ms - Projected Capacitive - Multi-touch Screen - 1920 X 1080 - Adjustable Display Angle - 3000:1 - 200 Nit - Speakers - Hdmi - Usb - Vga - Energy Star, Erp, Epeat, China Energy Label (cel), Weee, Rohs, Reach - 3 Year - (TD2240) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Viewsonic|200 cd/mÂ²|USB Hub, Speaker|CE CB BSMI PSB SASO C-tick cULus FCC-B Mexico Energy CU UkrSEPRO + DoC CCC ISO9241-3||||||3000:1||"2.3"" (58.4 mm)"|"9.5"" (241.3 mm)"|||Yes||Mobile High-Definition Link (MHL), Security Lock||ENERGY STAR, ErP, EPEAT, China Energy Label (CEL), WEEE, RoHS, REACH|Yes||Yes|Yes|"12.4"" (315 mm)"|"15.6"" (396.2 mm)"||178Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|TD2240|http://www.viewsonic.com||1920 x 1080|Wall Mountable|Yes|||||50 W|TD2240 Touchscreen LCD Monitor Power cable D-Sub cable MHL cable USB cable Quick Start Guide ViewSonic Wizard CD-ROM (User Guide)|||SuperClear IPS|PC|||TD2240|TD2240 Touchscreen LCD Monitor||LCD Touchscreen Monitor||||25 ms|Full HD|"22"""|||Yes|75 Hz||||5Â°to90Â°|Yes|Projected Capacitive|Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||4.08 kg|6.40 kg|"20.6"" (523.2 mm)"|"20.6"" (523.2 mm)"
|"Asus Vn289ql 28"" Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 80,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Displayport - Black - Energy Star 6.0, Erp, Rohs, Tco Certified Displays 6.0, Weee, Meps, China Energy Label (cel) - (VN289QL) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9||Asus|300 cd/mÂ²||BSMI CB CCC CE CEL level 1 C-Tick CU FCC PSE UL/cUL VCCI WEEE WHQL|Black|16.7 Million Colors||||80,000,000:1||"2.5"" (63.7 mm)"|"9.7"" (247.1 mm)"|||Yes|Yes|Eye-Care, Flicker-free, VividPixel Technology, Mobile High-Definition Link (MHL), Splendid Video Intelligence Technology, Reading Mode, Trace Free Technology, Picture in Picture, QuickFit, Security Lock||ENERGY STAR 6.0, ErP, RoHS, TCO Certified Displays 6.0, WEEE, MEPS, China Energy Label (CEL)|Yes|Yes|Yes|Yes|"15"" (380.7 mm)"|"21.9"" (555.5 mm)"|80 kHz|178Â°|||||ASUS Computer International|VN289QL|http://www.asus.com|"5.1"" (130 mm)"|1920 x 1080|Wall Mountable|||1|2|||VN289QL Widescreen LCD Monitor DVI cable VGA cable Audio cable Power cord Quick start guide Warranty Card|||Vertical Alignment (VA)|PC|||VN289QL|VN289QL Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"28"""|||Yes|75 Hz|||160Â°|-5Â°to20Â°|||||178Â°|Yes|100 x 100|Yes||7.20 kg||"26"" (660.2 mm)"|"26"" (660.2 mm)"
|"Asus Vb199t-p 19"" Led Lcd Monitor - 5:4 - 5 Ms - 1280 X 1024 - 16.7 Million Colors - 250 Nit - 50,000,000:1 - Sxga - Speakers - Dvi - Vga - Black - Energy Star 6.0, Epeat Gold, J-moss (japanese Rohs), Rohs, Tco Certified Displays 6.0, Weee - (VB199T-P) - SoftwareCity.ca - Canada"|||||5:4|LED|Asus|250 cd/mÂ²|Speaker||Black|16.7 Million Colors||||50,000,000:1||"2.6"" (64.8 mm)"|"8.3"" (210 mm)"||||Yes||Click to view|ENERGY STAR 6.0, EPEAT Gold, J-Moss (Japanese RoHS), RoHS, TCO Certified Displays 6.0, WEEE|Yes||||"13.5"" (342.4 mm)"|"16.1"" (410 mm)"||||||3 Year|ASUS Computer International|VB199T-P|http://www.asus.com||1280 x 1024||||1||||VB199T-P LCD Monitor DVI cable VGA cable Audio cable Power cord Quick start guide Warranty Card|||||||VB199T-P|VB199T-P LCD Monitor||LCD Monitor||||5 ms|SXGA|"19"""|||Yes|||||||||||Yes||Yes||3.20 kg||"16.3"" (413 mm)"|"16.3"" (413 mm)"
|"3m Microtouch M150 High Brightness Touch Screen Monitor - 15"" - Capacitive - Black - (11-81375-227) - SoftwareCity.ca - Canada"|||||||3M|500 cd/mÂ²|||Black|16.7 Million Colors (24-bit)||||500:1|||"10.2"" (259.1 mm)"|||||||||||||"15.7"" (398.8 mm)"||||12 V DC||3 Year|3M|11-81375-227|http://www.3m.com||1024 x 768||||||||||||PC||MicroTouch|M150|MicroTouch M150 High Brightness Touch Screen Monitor||LCD Touchscreen Monitor||||25 ms|XGA|"15"""|||||||||Yes|Capacitive||||||Yes||7.40 kg|||"16.1"" (408.9 mm)"
|"Viewsonic Vp2770-led 27"" Led Lcd Monitor - 12 Ms - Adjustable Display Angle - 2560 X 1440 - 1.07 Billion Colors - 300 Cd/mÂ² - 1,000:1 - Wqhd - Dvi - Hdmi - Vga - Displayport - Usb - 40 W - Black - Energy Star, Rohs, Epeat Silver, Weee, Tco '06, Epeat Gold, Erp, Reach, China Energy Label (cel), Cecp - (VP2770-LED) - SoftwareCity.ca - Canada"||Yes|Yes|Yes||LED|Viewsonic|300 cd/mÂ²|USB Hub|CBULcULFCC-BTUV-S(ULAR)NOMGSCEGOST-R+HygienicCCC|Black|1.07 Billion Colors||||1,000:1||"2.2"" (56 mm)"|"13.7"" (347.8 mm)"||Landscape/Portrait|Yes|Yes|||ENERGY STAR, RoHS, China Energy Label (CEL), CECP, EPEAT Silver, WEEE, TCO '06, EPEAT Gold, ErP, REACH|Yes|Yes|Yes||"15"" (381.7 mm)"|"18.5"" (469.7 mm)"||178Â°||110 V AC, 220 V AC|||Viewsonic Corporation|VP2770-LED|http://www.viewsonic.com||2560 x 1440|Wall Mountable|||1|||40 W||||Super In-plane Switching (S-IPS) Technology|PC, Mac|||VP2770-LED|VP2770-LED Widescreen LCD Monitor|VP|LCD Monitor||||12 ms|WQHD|"27"""|Anti-glare|||75 Hz|||||||Yes|USB 3.0|178Â°|Yes|100 x 100|Yes||5.80 kg|8.43 kg|"25.3"" (642.7 mm)"|"25.3"" (642.7 mm)"
|"Acer B276hul 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 2560 X 1440 - 16.7 Million Colors - 350 Nit - Wqhd - Speakers - Dvi - Hdmi - Displayport - Usb - 32.80 W - Dark Gray - Epeat Gold, Tco Certified Displays 6.0 - (UM.HB6AA.A01) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:9|LED|Acer|350 cd/mÂ²|USB Hub||Dark Gray|16.7 Million Colors||||100,000,000:1||"2.4"" (62 mm)"|"9.7"" (247 mm)"|||Yes|Yes|||EPEAT Gold, TCO Certified Displays 6.0|Yes||Yes||"15"" (381 mm)"|"22"" (558 mm)"||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.HB6AA.A01|http://www.acer.ca||2560 x 1440||||1||350 mW|32.80 W|B276HUL Widescreen LCD Monitor1 x DVI Cable1 x DisplayPort Cable1 x HDMI Cable1 x USB 3.0 CablePower Cord|||Advanced Hyper Viewing Angle (AHVA)||||B276HUL|B276HUL Widescreen LCD Monitor|B|LCD Monitor||||6 ms|WQHD|"27"""|Anti-glare||Yes|60 Hz|490 mW||||||Yes|USB 3.0|178Â°|||||6 kg|8.51 kg|"25.2"" (640 mm)"|"25.2"" (640 mm)"
|"Nec Display Accusync As193i-bk 19"" Led Lcd Monitor - 5:4 - 14 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - 1,000:1 - Sxga - Dvi - Vga - 18 W - Black - Energy Star 6.0, Tco Certified Displays 6.0, Epeat Silver, Rohs - (AS193I-BK) - SoftwareCity.ca - Canada"||Yes|||5:4|LED|NEC Display|250 cd/mÂ²||ISO 9241-307 Class I|Black|16.7 Million Colors||||1,000:1||"2.7"" (69 mm)"|"8.1"" (205.1 mm)"|||No|Yes|AccuColor, Eco Mode, Intelligent Power Manager (IPM) System, Carbon Footprint Meter, Cable Management||ENERGY STAR 6.0, TCO Certified Displays 6.0, EPEAT Silver, RoHS|Yes|Yes|No||"13.4"" (341.2 mm)"|"15.9"" (403.1 mm)"|81.10 kHz|178Â°||||3 Year|NEC Display Solutions|AS193I-BK|http://www.necdisplay.com||1280 x 1024|Desk Mountable|||1|||18 W|"19"" Value LED-Backlit Desktop Monitor w/ IPS Panel 1 x Power Cable 1 x Video Cable"|||In-plane Switching (IPS) Technology|||AccuSync|AS193I-BK|"19"" Value LED-Backlit Desktop Monitor w/ IPS Panel"||LCD Monitor||||14 ms|SXGA|"19"""||||76 Hz|150 mW||||||||178Â°|Yes|100 x 100|Yes||3.40 kg|3.90 kg|"16.2"" (412.5 mm)"|"16.2"" (412.5 mm)"
|"Acer G276hl 27"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - Full Hd - Speakers - Dvi - Hdmi - Vga - 25.80 W - Black - Mpr Ii - (UM.HG6AA.G03) - SoftwareCity.ca - Canada"||Yes|No|No|16:9|LED|Acer|300 cd/mÂ²|||Black|16.7 Million Colors||||100,000,000:1||"1.6"" (41 mm)"|"7"" (179 mm)"||||Yes|||MPR II, ENERGY STAR|Yes||Yes||"14.7"" (373 mm)"|"17"" (432 mm)"||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.HG6AA.G03|http://www.acer.ca||1920 x 1080||||1||360 mW|25.80 W|G276HL Widescreen LCD Monitor1 x HDMI CablePower CordVGA Cable|||Vertical Alignment (VA)||||G276HL|G276HL Widescreen LCD Monitor|G|LCD Monitor||||6 ms|Full HD|"27"""|Anti-glare||Yes|60 Hz|490 mW||No|-5Â°to15Â°|||||178Â°|||Yes||3.45 kg|3.90 kg|"24.5"" (623 mm)"|"24.5"" (623 mm)"
|"Viewsonic Vg2732m-led 27"" Led Lcd Monitor - 3 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Cd/mÂ² - 1,200:1 - Full Hd - Speakers - Dvi - Vga - Displayport - Usb - 55 W - Black - Weee, Rohs, Tco '05, Epeat Silver, Energy Star - (VG2732M-LED) - SoftwareCity.ca - Canada"||Yes||||LED|Viewsonic|300 cd/mÂ²|USB Hub, Speaker|CBUL/cULFCC-BIRAMNOMBSMIPSBC-TICKCCCCELCECP|Black|16.7 Million Colors||||1,200:1||"2.6"" (65 mm)"|"9.5"" (241 mm)"|||Yes|Yes|||WEEE, RoHS, TCO '05, EPEAT Silver, ENERGY STAR|Yes|Yes|||"15.4"" (391 mm)"|"17.1"" (434 mm)"||170Â°||110 V AC, 220 V AC||3 Year|Viewsonic Corporation|VG2732M-LED|http://www.viewsonic.com||1920 x 1080|Wall Mountable|||1|||55 W|VG2732m-LED Widescreen LCD MonitorPower CableAudio CableUSB CableVGA CableDVI CableQuick Start Guide||||PC, Mac|||VG2732m-LED|VG2732m-LED Widescreen LCD Monitor||LCD Monitor||||3 ms|Full HD|"27"""|Anti-glare||Yes|75 Hz|||||||Yes|USB 2.0|160Â°|Yes|100 x 100|Yes||5.22 kg|6.58 kg|"25.3"" (642 mm)"|"25.3"" (642 mm)"
|"Benq Xl2430t 24"" Led Lcd Monitor - 16:9 - 1 Ms - 1920 X 1080 - 16.7 Million Colors - 350 Nit - 12,000,000:1 - Full Hd - Dvi - Hdmi - Vga - Displayport - Usb - 50 W - Black, Red - Energy Star 6.0 - (XL2430T) - SoftwareCity.ca - Canada"|||||16:9|LED|BenQ|350 cd/mÂ²|USB Hub||Black, Red|16.7 Million Colors||||12,000,000:1||"7.8"" (199 mm)"||||Yes|Yes||Click to view|ENERGY STAR 6.0|Yes||Yes||"20.5"" (520 mm)"||||||||BenQ Corporation|XL2430T|http://www.benq.ca||1920 x 1080||||1|||50 W|XL2430T Widescreen LCD Monitor Signal cable (DVI-DL, USB 3.0) S Switch Arc Dust cover|||||||XL2430T|XL2430T Widescreen LCD Monitor|XL|LCD Monitor||||1 ms|Full HD|"24"""|||||||||||Yes|||Yes||Yes||6.80 kg||"22.4"" (568 mm)"|
|"Viewsonic Vx2370smh-led 23"" Led Lcd Monitor - 4 Ms - Adjustable Display Angle - 1920 X 1080 - 250 Cd/mÂ² - 1,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 27 W - Tco Certified Displays 5.2, Erp, Energy Star, Epeat Silver, Weee, Rohs - (VX2370SMH-LED) - SoftwareCity.ca - Canada"||Yes||||LED|Viewsonic|250 cd/mÂ²|Speaker|CECBBSMISASOC-tickUL/cULFCC-BICES003TUV-SUL CoCGOSTR/HygienicUkrSEPROCCC||||||1,000:1|||"7.1"" (179.5 mm)"||||Yes|Touch Controls||TCO Certified Displays 5.2, ErP, ENERGY STAR, EPEAT Silver, WEEE, RoHS|Yes||Yes|||"16.1"" (409 mm)"||178Â°||110 V AC, 220 V AC|||Viewsonic Corporation|VX2370SMH-LED|http://www.viewsonic.com||1920 x 1080||||1|2||27 W||||In-plane Switching (IPS) Technology|PC, Mac|||VX2370Smh-LED|VX2370Smh-LED Widescreen LCD Monitor|X|LCD Monitor||||4 ms|Full HD|"23"""|Anti-glare||Yes|76 Hz|||||||||178Â°|||Yes|||3.90 kg||"21"" (532.6 mm)"
|"Acer B196l 19"" Led Lcd Monitor - 5:4 - 5 Ms - Adjustable Display Angle - 1280 X 1024 - 16.7 Million Colors - 250 Nit - Sxga - Speakers - Dvi - Vga - 15.80 W - Dark Gray - Epeat Gold, Tco Certified Displays 6.0 - (UM.CB6AA.001) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|5:4|LED|Acer|250 cd/mÂ²|||Dark Gray|16.7 Million Colors||||100,000,000:1||"2"" (52 mm)"|"8.7"" (221 mm)"||||Yes|||EPEAT Gold, TCO Certified Displays 6.0|Yes|Yes|||"13.3"" (337 mm)"|"20.4"" (519.2 mm)"||170Â°||110 V AC, 220 V AC|||Acer, Inc|UM.CB6AA.001|http://www.acer.ca||1280 x 1024||||1||350 mW|15.80 W|B196L LCD Monitor1 x DVI Cable1 x VGA CablePower Cord|||Twisted Nematic Film (TN Film)||||B196L|B196L LCD Monitor|B|LCD Monitor||||5 ms|SXGA|"19"""|Anti-glare||Yes|75 Hz|450 mW||||||||160Â°|||Yes||2.80 kg|5.30 kg|"16"" (406.4 mm)"|"16"" (406.4 mm)"
|"Asus Vs198d-p 19"" Led Lcd Monitor - 16:10 - 5 Ms - Adjustable Display Angle - 1440 X 900 - 16.7 Million Colors - 250 Nit - 50,000,000:1 - Wxga+ - Vga - 25 W - Black - Epeat Gold, Energy Star, Weee, Rohs - (VS198D-P) - SoftwareCity.ca - Canada"||Yes|Yes||16:10|LED|Asus|250 cd/mÂ²||UL/cULCBCEErPFCCCCCBSMIGost-RC-TickVCCIPSBEKJ-MOSSWHQL|Black|16.7 Million Colors||||50,000,000:1||"7.3"" (184.9 mm)"||||No|No|||EPEAT Gold, ENERGY STAR, WEEE, RoHS|Yes|No|No||"14.5"" (368 mm)"|||170Â°|||||ASUS Computer International|VS198D-P|http://www.asus.com||1440 x 900|Wall Mountable|||1||500 mW|25 W|VS198D-P Widescreen LCD MonitorVGA CablePower CordQuick Start GuideWarranty Card||||PC|||VS198D-P|VS198D-P Widescreen LCD Monitor|VS|LCD Monitor||||5 ms|WXGA+|"19"""|||No|75 Hz|500 mW||||||||160Â°|Yes|75 x 75|Yes||2.70 kg||"17.6"" (446 mm)"|
|"Acer B243pwl 24"" Led Lcd Monitor - 16:10 - 14 Ms - Adjustable Display Angle - 1920 X 1200 - 16.7 Million Colors - 300 Nit - 100,000,000:1 - Wuxga - Speakers - Dvi - Vga - Displayport - Usb - 29.60 W - Black - Epeat Silver, Tco '05, Energy Star - (UM.FB3AA.A01) - SoftwareCity.ca - Canada"||Yes|Yes|Yes|16:10|LED|Acer|300 cd/mÂ²|USB Hub||Black|16.7 Million Colors||||100,000,000:1||"9.3"" (236.2 mm)"||||Yes|Yes|||EPEAT Silver, TCO '05, ENERGY STAR|Yes||||"20.5"" (520.7 mm)"|||178Â°||110 V AC, 220 V AC|||Acer, Inc|UM.FB3AA.A01|http://www.acer.ca||1920 x 1200||||1||450 mW|29.60 W|B243PWL Widescreen LCD Monitor1 x VGA Cable1 x DVI Cable1 x USB CablePower Cord|||In-plane Switching (IPS) Technology|PC|||B243PWL|B243PWL Widescreen LCD Monitor|B|LCD Monitor||||14 ms|WUXGA|"24"""|Anti-glare||Yes|60 Hz|490 mW||||||Yes|USB 2.0|178Â°|||Yes||7.65 kg||"22.2"" (563.9 mm)"|
|"Asus Ve198tl 19"" Led Lcd Monitor - 16:9 - 5 Ms - Adjustable Display Angle - 1440 X 900 - 16.7 Million Colors - 250 Cd/mÂ² - 10,000,000:1 - Wxga+ - Speakers - Dvi - Vga - 25 W - Black - (VE198TL) - SoftwareCity.ca - Canada"||Yes|Yes||16:9|LED|Asus|250 cd/mÂ²|Speaker||Black|16.7 Million Colors||||10,000,000:1|||"7.2"" (182 mm)"||||Yes|Security Lock, Splendid Video Intelligence Technology, Cable Management||||Yes||||"14.4"" (366 mm)"||170Â°||||3 Year|ASUS Computer International|VE198TL|http://www.asus.com||1440 x 900|Wall Mountable|||1|2|1 W|25 W|||||PC|||VE198TL|VE198TL Widescreen LCD Monitor||LCD Monitor||||5 ms|WXGA+|"19"""|||Yes|75 Hz|1 W||||||||160Â°|Yes|100 x 100|Yes||3.20 kg|||"17.5"" (445 mm)"
|"Aoc E1649fwu 16"" Led Lcd Monitor - 16:9 - 16 Ms - 1366 X 768 - 16 Million Colors - 200 Nit - 500:1 - Wxga - Usb - 8 W - Piano Black - Energy Star - (E1649FWU) - SoftwareCity.ca - Canada"||||Yes|16:9|LED|AOC|200 cd/mÂ²|||Piano Black|16 Million Colors||||500:1||"1.4"" (35.5 mm)"||||||Ultra Slim||ENERGY STAR|Yes||||"9.3"" (236 mm)"|||90Â°||||1 Year|AOC|E1649FWU|http://us.aoc.com||1366 x 768||||1|||8 W|||||PC, Mac|||e1649Fwu|e1649Fwu Widescreen LCD Monitor||LCD Monitor||||16 ms|WXGA|"16"""|||||||||||Yes|USB 2.0|50Â°|||||1.04 kg||"14.8"" (376 mm)"|
|"Nec Display V423 42"" Led Lcd Monitor - 16:9 - 1920 X 1080 - 16.7 Million Colors - 450 Nit - 1,300:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - Displayport - 8 W - (V423) - SoftwareCity.ca - Canada"|||||16:9|LED|NEC Display|450 cd/mÂ²|Speaker|||16.7 Million Colors||Yes|Yes|1,300:1||"2.7"" (68.6 mm)"|"9.4"" (238.8 mm)"||Landscape/Portrait|Yes|Yes|Security Lock, Eco Mode, TileMatrix Support, Digital Signage Ready, TileComp, Screen Saver, Picture on Picture|||||Yes||"22.3"" (566.4 mm)"|"23.7"" (602 mm)"|91.10 kHz|178Â°||||3 Year|NEC Display Solutions|V423|http://www.necdisplay.com||1920 x 1080|Wall Mountable||Yes|1|2||8 W|"42"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated SpeakersPower CordVGA Cable (Mini 15-pin D-sub)Wireless Remote ControlBatteriesMain Switch CoverCD-ROM (User Manual)ClampScrews"|||Super In-plane Switching (S-IPS) Technology|PC, Mac|||V423|"42"" High-Performance LED-Backlit Commercial-Grade Display w/ Integrated Speakers"||LCD Monitor|||||Full HD|"42"""|||Yes|60 Hz|500 mW||||||||178Â°|Yes|300 x 300|Yes||16.78 kg|18.10 kg|"38.3"" (972.8 mm)"|"38.3"" (972.8 mm)"
|Adesso Nuscan 510 A3 Visual Presenter - Cmos - 5 Megapixel - (NUSCAN 510) - SoftwareCity.ca - Canada|"Focus: FixedLED Lights: 14Effects: Color/ B&W/ GreyResolution: 2592 x 1944Image Capture Speed: 1 secondDoc File Format: DOC, TXT, PDF, XLSImage File Format: TIF, JPG, BMP, PNGFrame Rate: 30 frames per second (max)Operating Mode: Text/ Graphics/ High FrameShooting Area: Up to A3 Size - 11.7 x 16.5""Certification: FCC, CE"||||||Adesso|||||||||||"4.7"" (119.4 mm)"|||||||||||||"12.2"" (309.9 mm)"||||Color CMOS||1 x USB 2.0 - USB|1 Year|Adesso, Inc|NUSCAN 510|http://www.adesso.com||||||||||NuScan 510 A3 Visual PresenterUSB CableSoftware CDSoft Position PadQuick Start Guide||||PC||NuScan|510|NuScan 510 A3 Visual Presenter||Document Camera|||5 Megapixel|||||||||||||||||||||1.20 kg||"20.9"" (530.9 mm)"|
|"Lg 25um65-p 25"" Led Lcd Monitor - 21:9 - 5 Ms - 2560 X 1080 - Uw-uxga - Speakers - Dvi - Hdmi - Displayport - Usb - Black - (25UM65-P) - SoftwareCity.ca - Canada"|||||21:9|LED|LG||Speaker||Black|||||||||||Yes|Yes|Mobile High-Definition Link (MHL)|||||Yes||||||||||LG Electronics|25UM65-P|http://www.lg.com/ca||2560 x 1080||||1|2||||||In-plane Switching (IPS) Technology||||25UM65-P|25UM65-P Widescreen LCD Monitor||LCD Monitor||||5 ms|UW-UXGA|"25"""|||Yes||||||||Yes|USB 3.0|||||||||
|"Benq Gw2255 21.5"" Led Lcd Monitor - 16:9 - 6 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 250 Cd/mÂ² - 3,000:1 - Full Hd - Dvi - Vga - 21 W - Glossy Black - Tco Certified Displays 5.2, Energy Star 5.2 - (GW2255) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|BenQ|250 cd/mÂ²|||Glossy Black|16.7 Million Colors||||3,000:1||"6.9"" (174 mm)"|||||Yes|Senseye 3, Eco Mode, Security Lock||TCO Certified Displays 5.2, ENERGY STAR 5.2|Yes|Yes|||"15.7"" (400 mm)"|||178Â°||110 V AC, 220 V AC|||BenQ Corporation|GW2255|http://www.benq.ca||1920 x 1080|Wall Mountable|||1|||21 W|||||PC|||GW2255|GW2255 Widescreen LCD Monitor|GW|LCD Monitor||||6 ms|Full HD|"21.5"""|||||300 mW||||||||178Â°|Yes|100 x 100|Yes||3.70 kg||"20.7"" (525 mm)"|
|"Aoc E2260swdn 22"" Led Lcd Monitor - 16:9 - 5 Ms - 1920 X 1080 - 16.7 Million Colors - 200 Cd/mÂ² - 20,000,000:1 - Full Hd - Dvi - Vga - 30 W - Black - Energy Star, Epeat Silver, Rohs - (e2260Swdn) - SoftwareCity.ca - Canada"|||||16:9|LED|AOC|200 cd/mÂ²||cTUVusFCCEPA 5.1|Black|16.7 Million Colors||||20,000,000:1||"7.3"" (185.4 mm)"|||||Yes|Security Lock, Screen Saver, Eco Mode||ENERGY STAR, EPEAT Silver, RoHS|Yes|Yes|||"14.7"" (373.4 mm)"|||90Â°||110 V AC, 220 V AC||3 Year|AOC|E2260SWDN|http://us.aoc.com||1920 x 1080|Wall Mountable|||1|||30 W|||||PC|||e2260Swdn|e2260Swdn Widescreen LCD Monitor||LCD Monitor||||5 ms|Full HD|"22"""|||No|60 Hz|||||||||60Â°|Yes|100 x 100|Yes||2.68 kg||"20.1"" (510.5 mm)"|
|"Asus Ve247h 23.6"" Led Lcd Monitor - 16:9 - 2 Ms - Adjustable Display Angle - 1920 X 1080 - 16.7 Million Colors - 300 Nit - 10,000,000:1 - Full Hd - Speakers - Dvi - Hdmi - Vga - 34.90 W - Black - Energy Star, Rohs, Weee - (VE247H) - SoftwareCity.ca - Canada"||Yes|||16:9|LED|Asus|300 cd/mÂ²|Speaker|CELUL/cULCBCEEuPFCCCCCBSMIGost-RC-TickVCCIPSBJ-MOSS|Black|16.7 Million Colors||||10,000,000:1||"7.9"" (201 mm)"|||||Yes|||ENERGY STAR, RoHS, WEEE|Yes|Yes|Yes||"16.1"" (409.7 mm)"|||170Â°||||3 Year|ASUS Computer International|VE247H|http://www.asus.com||1920 x 1080|Wall Mountable|||1|2||34.90 W|VE247H Widescreen LCD MonitorDVI CableVGA CableAudio CablePower CordQuick Start GuideWarranty Card||||PC|||VE247H|VE247H Widescreen LCD Monitor||LCD Monitor||||2 ms|Full HD|"23.6"""|||Yes|76 Hz|900 mW||||||||160Â°|Yes|100 x 100|Yes||4.40 kg||"22.4"" (569.4 mm)"|
