<page title>|adjustable display angle|adjustable display height|adjustable display pivot|antiglare|aspect ratio|assembly required|backlight technology|be comfortable|brand name|brightness|builtin devices|certifications  standards|color|color supported|compatibility|component video|composite video|contrast ratio|country of origin|customizable color|depth|depth with stand|diagonal screen size|dimensions|display orientation|displayport|dvi|ecolabel|features|full hd resolution|hd compatible|hdcp supported|hdmi|headphone jack|height|height with stand|horizontal viewable angle|input voltage|integrated speakers|item |manufacturer|manufacturer |maximum resolution|model name|monitor brightness|monitor color|mount type|multitouch screen|native resolution|network rj45|number of screens|number of speakers|offmode power consumption|operating power consumption|panel technology|pixel pitch|platform supported|postconsumer recycled content|product line|product name|product series|product type|quantity|recycled|response time|screen mode|screen size|screen surface|screen type|signal input type|speakers|standard refresh rate|standby power consumption|stay versatile|superb performance|svideo|tilt angle|total recycled content|touchscreen|touchscreen type|tv tuner|typical response time|ultrawide viewing angle|usb|usb standard|versatile connections|vertical viewing angle|vesa mount compatible|vesa mount standard|vga|viewable image size|viewing angle|wall mountable|warranty length|webcam|weight|weight with stand approximate|width|width with stand|work with ease stay entertained for hours
HP Promo U160 156 LED LCD Monitor 12 ms by Office Depot|Yes|No|No||||LED||HP|180 Nit|||Black|||||500:1|||"0.6"""|||||||ENERGY STAR; EPEAT Silver|||||||"10.7"""|||||779618|Hewlett-Packard|QQ3782|1366 x 768|U160|||Desk Mountable||||1|||5 W|||PC||Promo|U160 15.6-inch LED Backlit Monitor||LCD Monitor|||12 ms|WXGA|"15.6"""|Anti-glare|||No||500 mW|||||||||||Yes|USB 2.0||65°|||||90°||3-year limited||3.39 lb||"14.8"""||
HP Business P19A 19 LED LCD Monitor 54 5 ms by Office Depot|Yes|No|No||5:4||LED||HP|250 Nit||CB; CE; CCC; BSMI; S-Mark; VCCI; FCC; CSA; GS Mark; ICES; C-Tick; e-Standby|Black|16.7 Million Colors||||1,000:1|China||"2.3"""|"8.13"""||||||ENERGY STAR; EPEAT Gold; TCO Certified Displays; China Energy Label (CEL); CECP|Security Lock||||||"13.7"""|"16.46"""||110 V AC; 220 V AC||719993|Hewlett-Packard|RC1797|1280 x 1024|P19A|||Wall Mountable; Arm-mountable||||1|||25 W|||PC||Business|ProDisplay P19A 19-Inch LED Backlit Monitor (ENERGY STAR)|Essential|LCD Monitor|||5 ms|SXGA|"19"""|Anti-glare||||60 Hz|500 mW|||||||||||No|||160°|Yes|100 x 100|Yes||170°||3-year limited||6.59 lb|7.72 lb|"16.3"""|"16.30"""|
Planar PXL2430MW 24 LED LCD Touchscreen Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Planar|250 Nit|Speaker|cTUVus; FCC-B; CE||16.7 Million Colors||||1,000:1|||"4.3"""||||||Yes|RoHS; WEEE|||||Yes||"15.5"""|||110 V AC; 220 V AC||937861|Planar Systems, Inc|KH2940|1920 x 1080|PXL2430MW|||Wall Mountable|Yes|||||400 mW|35 W|||PC|||PXL2430MW Touchscreen LCD Monitor||LCD Touchscreen Monitor|||5 ms|Full HD|"24"""||||Yes|60 Hz|400 mW||||||Yes|Optical||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||170°||3-year limited||19.84 lb||"21.9"""||
Acer V246HL 24 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"8.1"""||||||Yes|TCO '06; EPEAT Gold; ENERGY STAR||||Yes|||"16.6"""|||110 V AC; 220 V AC||630667|Acer, Inc|QX6154|1920 x 1080|V246HL|||||||1||350 mW|20.90 W|Twisted Nematic Film (TN Film)|||||V246HL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"24"""|Anti-glare||||60 Hz|450 mW||||||||||||||160°|||Yes||170°||||7.72 lb|8.60 lb|"22.3"""||
Samsung S24D300HL 236 Widescreen HD LED Monitor Black by Office Depot||||yes|16:9||||Samsung|||||||||700:1 (static)|||||23.6 inches|16.42 x 22.4 x 7.75|||||||yes||||||90 degrees||Yes|614006|Samsung|S24D300HL|1920 x 1080|S24D300HL|200 cd/m2|Black|||1920 x 1080|||||||0.272 mm||0%|||||||||||LED|VGA (analog); HDMI (digital)||||||||0%|||No|5 ms|||||||||23.6 inches||yes|1-yr limited||||||
Acer V246HL 24 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"8.1"""|||||Yes|Yes|TCO '06; EPEAT Gold; ENERGY STAR||||Yes|||"16.6"""|||110 V AC; 220 V AC||598429|Acer, Inc|RA7833|1920 x 1080|V246HL|||||||1||350 mW|20.09 W|Twisted Nematic Film (TN Film)|||||V246HL Widescreen LCD Monitor|V|LCD Monitor|||5 ms|Full HD|"24"""|Anti-glare|||Yes|60 Hz|450 mW||||||||||||||160°|||Yes||170°||||7.63 lb|8.60 lb|"22.3"""||
HP Essential P221 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit|||Black|||||1,000:1|||"1.9"""|"6.30"""|||||Yes|ENERGY STAR; EPEAT Gold; TCO Certified Displays|Security Lock|||Yes|||"12.4"""|"14.92"""||110 V AC; 220 V AC||675326|Hewlett-Packard|QW9400|1920 x 1080|P221|||||||1|||28 W|||||Essential|ProDisplay P221 21.5-Inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare|||No||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||8.80 lb||"20.4"""|"20.39"""|
HP Pavilion 22xi 215 LED LCD Monitor 169 7 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit||CB; CE; FCC Marking; CSA/C-UL/C-ETL Mark; UL/CSA-NTRL/ETL-NRTL Mark; ICES; CCC; Bauart; ISO9241-307; GOST 25861; HRN N N0.201; GOST R 50377-1992; EEI Certificate; IS 1121; SASO; SABS IEC 60950-1; NOM-019-SCFI-1998; KC Mark; KCC Mark; PSB mark; ISC mark; C-Tick||||||1,000:1|||"6.7"""||||||Yes|REACH; ENERGY STAR 5.2; ErP; CECP|Security Lock|||Yes|Yes||"15.1"""|||||445987|Hewlett-Packard|RQ7234|1920 x 1080|22xi|||||||1|||28 W|In-plane Switching (IPS) Technology||||Pavilion|"Pavilion 22xi 54.6 cm (21.5"") Diagonal IPS LED Backlit Monitor"||LCD Monitor|||7 ms|Full HD|"21.5"""|Anti-glare||||60 Hz|500 mW||||||||||||||178°|||Yes||178°||||6.61 lb||"19.6"""||
NEC Display MultiSync EA223WM 22 LED LCD Monitor 1610 5 ms by Office Depot|Yes|Yes|Yes||16:10||LED||NEC Display|250 Nit|Speaker; USB Hub|ISO 9241-307 Class I||16.7 Million Colors||||1,000:1|||"2.4"""|"8.60"""||||Yes|Yes|ENERGY STAR 5.1; TCO Certified Displays 5.2; EPEAT Silver; RoHS|Ambient Light Sensor; Carbon Footprint Meter; AccuColor; Security Lock|||Yes|||"13"""|"20.20"""||||708833|NEC Display Solutions|S8356496|1680 x 1050|EA223WM|||||||1|||25 W|||||MultiSync|"22"" LED-Backlit Desktop Monitor W/Adjustable Stand"|EA|LCD Monitor|||5 ms|WSXGA+|"22"""||||Yes|75 Hz|400 mW|||||||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||178°||3-year limited||7.30 lb|12.30 lb|"19.8"""|"19.80"""|
Viewsonic Professional VP2365 LED Widescreen LCD Monitor by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit|USB Hub|UL; cUL; FCC-B; CB; CE; TUV/GS; TUV Ergo; TUV-S; NOM; GOST-R; HYGIENIC; CCC; BSMI; PSB; CEL; KC; C-Tick; SASO|Black|16.7 Million Colors||||1,000:1|||"2.6"""|"9.80"""|||||Yes|ENERGY STAR; EPEAT Silver; RoHS; WEEE; TCO '05|Pivot Display|||Yes|||"12.8"""|"17"""||110 V AC; 220 V AC||580999|Viewsonic Corporation|KL3625|1920 x 1080|VP2365-LED|||||||1|||45 W|In-plane Switching (IPS) Technology||PC; Mac||Professional|Professional VP2365-LED Widescreen LCD Monitor||LCD Monitor|||6 ms|Full HD|"23"""|||||75 Hz||||||||||||Yes|||178°|Yes|100 x 100|Yes||178°||3-year limited||7.28 lb|11.90 lb|"21.6"""|"21.60"""|
Viewsonic VX2452mh 24 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Viewsonic||Speaker|||||||1,000:1|||"2.1"""|"8.80"""|24 inches||||Yes|RoHS; ENERGY STAR|Security Lock; ClearMotiv||||Yes||"14"""|"17"""||||988508|Viewsonic Corporation|TC2966|1920 x 1080|VX2452mh|300 Nit||Wall Mountable||||1|2||21.50 W|||PC|||VX2452mh LED Monitor|VX|LCD Monitor|||2 ms|Full HD|||||Yes||||||||||||||||160°|Yes||Yes||170°||3-year limited||7.72 lb|8.38 lb|"22"""|"22"""|
Viewsonic VA705 LED 17 LED LCD Monitor 43 5 ms by Office Depot|Yes||||4:3||LED||Viewsonic|250 Nit||UL; cUL; FCC-B; CB; CE; ICES-003B; TUV/GS; TUV Ergo; TUV-S; NOM; GOST-R; HYGIENIC; CCC; BSMI; PSB; C-Tick; KTL/MIC; TAA; SASO|Black|||||1,000:1|||"2.7"""|"8.26"""||||||RoHS; WEEE; ENERGY STAR; MPR II; TCO '03; REACH; TCO Certified Displays 6.0|Eco Mode; Security Lock; Auto-off||||||"13.3"""|"15.74"""||110 V AC; 220 V AC||695873|Viewsonic Corporation|PU9480|1280 x 1024|VA705-LED|||Wall Mountable||||1|||24 W|||PC; Mac|||"17"" LED Display Eco-Friendly and Performance Enhancing"|Value|LCD Monitor|||5 ms|SXGA|"17"""|Anti-glare|||||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||5.64 lb|6.42 lb|"14.9"""|"14.92"""|
Viewsonic VG2437mc LED 24 LED LCD Monitor 5 ms by Office Depot|Yes|Yes|Yes||||LED||Viewsonic|300 Nit|Webcam; Microphone; Speaker; USB Hub|UL/cUL; FCC-B||||||1,000:1|||"2.4"""|"9.40"""||||Yes|Yes|EPEAT Silver; ENERGY STAR; RoHS; WEEE||||Yes||Yes|"13.4"""|"17.80"""||110 V AC; 220 V AC||695963|Viewsonic Corporation|QN7237|1920 x 1080|VG2437mc-LED|||||||1|||24.50 W|||PC; Mac|||VG2437mc-LED Full HD Resolution with DisplayPort Connectivity||LCD Monitor||Yes|5 ms|Full HD|"24"""|Anti-glare|||Yes|60 Hz||||||||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||170°||3-year limited||8.30 lb|11.50 lb|"21.9"""|"21.90"""|
Planar PT1911MX Touchscreen LCD Monitor by Office Depot|||||4:3||||Planar|250 Nit|||Black||Operating System:; Windows Vista; Windows XP; XP Embedded; Windows CE; Windows 2000; Windows ME; Windows 98; Linux; Apple; Mac|||800:1|China||"2.7"""||||||Yes|RoHS|||||||"14.6"""|||110 V AC; 220 V AC||370827|Planar Systems, Inc|U34415|1280 x 1024|PT1911MX||||||||||||||||PT1911MX Touchscreen LCD Monitor|PT|LCD Touchscreen Monitor|||5 ms|SXGA|"19"""||||Yes||||||||Yes|Capacitive||||Yes|||160°|||Yes||160°||3-year limited||14.10 lb||"17.2"""||
Lenovo ThinkVision LT2013p 195 LED LCD Monitor 169 5 ms by Office Depot|Yes|Yes|Yes||16:9||LED||Lenovo|250 Nit|USB Hub|Safety:; cTUVus; IEC950 CB Report; NEMKO; KVALITET; UKraine; NOM; SASO; Gost; PSB; BSMI; JEITA; TUV-S; SABS; INSM; Greenmark by TUV/Carbon footprint; e-Standby; GSEMI:; FCC B; CE; VCCI; KC; IC; CCC; SABSERGONOMIC:; EPA 6.0; TUV-GS; ISO 9241-307; CSC; China National Monitor Energy Efficiency standard Tier 1; TUV-Green Mark; GHG(B2B); ECO declaration|Black|16.7 Million Colors||||1,000:1||||||||Yes||ENERGY STAR 6.0; EPEAT Gold; TCO Certified Displays 6.0; TCO Certified Edge Displays 1.1; ULE Gold; RoHS; China RoHS; Turkey RoHS; MPR II; China Energy Label (CEL)|Security Lock||||Yes|||"13.25"""||110 V AC; 220 V AC||479198|Lenovo Group Limited|RG0301|1600 x 900|LT2013p|||||||1||500 mW|36 W|||PC||ThinkVision|ThinkVision LT2013p 19.5-inch LED Backlit LCD Monitor||LCD Monitor|1||5 ms|HD+|"19.5"""|||||75 Hz|1 W|||||||||||Yes|USB 2.0||160°|Yes|100 x 100|Yes||170°||3-year limited||9.70 lb||"18.4"""|"18.39"""|
HP LD4730 47 LCD Monitor 169 12 ms by Office Depot|||||16:9||||HP|800 Nit||UL UL60950-1 First Edition; cUL CAN/CSA-C22.2 NO. 60950-1-03; NOM NYCE; TUV EN60950-1; PSE J60065 (H14), J55013 (H14); CCC GB4943, GB9254, GB17625.1; PSB IEC60950-1; TUV-S IEC60950-1; BSMI CNS13438, CNS14336; FCC Class B; FCC 47 CFR Part 15 Class B; ICES-003 Class B; CE EN55022B, EN55024, EN61000-3-2, 3; VCCI-V-2 V-3 V-4, CISPR-22B; C-Tick AS/NZS3548:1995; KCC Requirements; Korea Energy Boy; SmartWay - Energy logistics|Black|||||1,400:1|||"3.5"""||||Landscape/Portrait|Yes||EuP|Security Lock; Video Wall||||||"23.3"""|||110 V AC; 220 V AC||722116|Hewlett-Packard|3181219|1366 x 768|LD4730|||Wall Mountable|||Yes|1|||250 W|||PC; Mac|||LD4730 Widescreen LCD Monitor||LCD Monitor|||12 ms|WXGA|"47"""|Anti-glare; Anti-static||||60 Hz|500 mW|||||||||||Yes|USB 2.0||178°|Yes|400 x 400|Yes||178°||3-year limited||52.47 lb||"41.2"""||
Viewsonic VP2772 27 LCD Monitor by Office Depot|Yes||||||||Viewsonic||USB Hub|||||||1,000:1|||"2.2"""|"13.70"""|||||Yes||||||Yes||"15"""|"18.50"""||||319114|Viewsonic Corporation|TC2967|2560 x 1440|VP2772|||||||1||||In-plane Switching (IPS) Technology|||||"27"" (27"" Viewable) QHD Display with 99% Adobe RGB Color Space and Daisy Chain"||LCD Monitor||||QHD|"27"""|||||||||||||||||Yes|USB 3.0||178°|||||178°||3-year limited||12.20 lb|18.80 lb|"25.3"""|"25.30"""|
Asus VE278Q 27 LED LCD Monitor 169 2 ms by Office Depot|Yes||||16:9||LED||Asus|300 Nit|Speaker|CEL; UL/cUL; CB; CE; EuP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; J-MOSS; Taiwan Green Mark|Black|16.7 Million Colors||||10,000,000:1|||"8.7"""||||||Yes|ENERGY STAR; RoHS; WEEE|||||Yes||"17.5"""|||||860316|ASUS Computer International|DL7133|1920 x 1080|VE278Q|||Wall Mountable||||1|2||44 W|||PC|||VE278Q Widescreen LCD Monitor|VE|LCD Monitor|||2 ms|Full HD|"27"""||||Yes|85 Hz|2 W||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||14.33 lb||"25.3"""||
DoubleSight Displays DS 279W 27 LED LCD Monitor 169 6 ms by Office Depot|||||16:9||LED||DoubleSight Displays|380 Nit|Speaker|FCC|Black|1.07 Billion Colors||||1,000:1|||"7.5"""|||||Yes|Yes||Picture in Picture; Split Screen|||Yes|Yes||"16"""|||110 V AC; 220 V AC||988382|DoubleSight Displays, LLC|QQ1301|2560 x 1440|DS-279W|||||||1|2||120 W|In-plane Switching (IPS) Technology|||||DS-279W Widescreen LCD Monitor||LCD Monitor|||6 ms|WQHD|"27"""||||Yes||1.20 W||||||||||||||178°|Yes|100 x 100|Yes||178°||3-year limited||15 lb|17 lb|"26"""||
Acer S200HQL 195 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"6.6"""||||||Yes|MPR II; ENERGY STAR||||Yes|||"13.1"""|||110 V AC; 220 V AC||417691|Acer, Inc|RW9948|1600 x 900|S200HQL|||||||1||320 mW|14 W|Twisted Nematic Film (TN Film)|||||S200HQL Widescreen LCD Monitor|S|LCD Monitor|||5 ms|HD+|"19.5"""|Anti-glare||||60 Hz|490 mW||||||||||||||160°|||Yes||170°||||4.40 lb|5.10 lb|"18.3"""||
Samsung SyncMaster S22B420BW 22 LED LCD Monitor 1610 5 ms by Office Depot||Yes|||16:10||LED||Samsung|250 Nit|||Matte Black|||||1,000:1|||"2.4"""|"8.70"""|||||Yes|EPEAT Gold; TCO Displays 5.0; ENERGY STAR|MultiScreen; Eco Saving; MagicAngle; MagicBright; MagicColor; Off Timer; MagicTune||||||"13.1"""|"18.10"""||110 V AC; 220 V AC||771127|Samsung|PD5978|1680 x 1050|S22B420BW|||Wall Mountable||||1|||25 W|||||SyncMaster|"22"" 420 Series Business LED Monitor"|420|LCD Monitor|||5 ms|WSXGA+|"22"""||||||300 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited|||9.02 lb|"19.9"""|"19.90"""|
HP Elite S230tm 23 LED LCD Touchscreen Monitor 169 7 ms by Office Depot|Yes||||16:9||LED||HP|220 Nit|Webcam; Microphone; Speaker|CB; CE; TUV-S; EAC; cUL; FCC; CSA; NOM; S-Mark; VCCI; PSB; ISC; CCC; BSMI; C-tick; e-Standby; EK; SmartWay Transport Partnership (NA); Microsoft WHQL||||||10,000,000:1|||"1.6"""|"2.70"""||||Yes|Yes|CECP; ENERGY STAR; EPEAT Gold; China Energy Label (CEL); TCO Certified Displays||||Yes|||"16.1"""|"16.10"""||||166519|Hewlett-Packard|TY2173|1920 x 1080|S230tm|||Arm-mountable; Wall Mountable; Desk Mountable|Yes||||||33 W|In-plane Switching (IPS) Technology||PC||Elite|EliteDisplay S230tm 23-inch Touch Monitor||LCD Touchscreen Monitor|||7 ms|Full HD|"23"""|Anti-glare|||Yes|60 Hz|500 mW||||15°to70°||Yes|Optical||||Yes|||178°|Yes|100 x 100|||178°||3-year limited||12.13 lb|14.33 lb|"23.6"""|"23.60"""|
Asus VG248QE 24 LCD Monitor 1 ms by Office Depot|||||||||Asus||||Black||||||||||||||Yes||||||Yes|||||||274250|ASUS Computer International|QV8889|1920 x 1080|VG248QE|||||||1|||||||||VG248QE Widescreen LCD Monitor||LCD Monitor|||1 ms|Full HD|"24"""||||Yes|||||||||||||||||||||||||||||
Viewsonic VX2270Smh LED 22 LED LCD Monitor 169 7 ms by Office Depot|||||16:9||LED||Viewsonic|250 Nit|Speaker||Glossy Black|||||1,000:1|||||||||Yes|EPEAT Silver; RoHS||||Yes|Yes|||||||695702|Viewsonic Corporation|QC3956|1920 x 1080|VX2270Smh-LED|||||||1|||||||||VX2270Smh-LED Widescreen LCD Monitor||LCD Monitor|||7 ms|Full HD|"22"""|Anti-glare|||Yes||||||||||||||||178°|||Yes||178°||3-year limited||||||
HP Essential P221 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||HP|250 Nit|Speaker||Black|||||1,000:1|||"1.9"""|"6.30"""|||||Yes|TCO Certified Displays; ENERGY STAR; EPEAT Gold|Security Lock|||Yes|||"12.4"""|"14.92"""||110 V AC; 220 V AC||695251|Hewlett-Packard|RC0208|1920 x 1080|P221|||||||1|||28 W|||||Essential|ProDisplay P221 21.5-Inch LED Backlit Monitor||LCD Monitor|||5 ms|Full HD|"21.5"""|Anti-glare|||Yes||500 mW||||||||||||||160°|||Yes||170°||3-year limited||8.82 lb||"20.4"""|"20.39"""|
Asus VE208T 20 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit|Speaker|UL/cUL; CB; CE; EuP; CEL; FCC; CCC; BSMI; Gost-R; C-tick; VCCI; PSB; J-MOSS|Black|16.7 Million Colors||||10,000,000:1|||"7.9"""||||||Yes|ENERGY STAR; RoHS; WEEE||||Yes|||"14.5"""|||||142132|ASUS Computer International|DL8388|1600 x 900|VE208T|||Wall Mountable||||1|2||30 W|||PC|||VE208T Widescreen LCD Monitor||LCD Monitor|||5 ms||"20"""||||Yes|76 Hz|1 W||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||7.05 lb||"18.9"""||
HP Business E271i 27 LED LCD Monitor 169 7 ms by Office Depot|Yes|Yes|Yes||16:9||LED||HP|250 Nit|USB Hub|CE; CB; KC; KCC; NOM; PSB; ICE; TUV-S; CCC; CECP; SEPA; ISC; VCCI; FCC; BSMI|Black|||||1,000:1|||"2.1"""|"10.96"""||||Yes|Yes|ENERGY STAR; TCO Certified Edge; EPEAT Gold; China Energy Label (CEL); EPA|Security Lock|||Yes|||"15.3"""|"20.95"""||110 V AC; 220 V AC||720506|Hewlett-Packard|RY4376|1920 x 1080|E271i|||||||1|||40 W|In-plane Switching (IPS) Technology||||Business|EliteDisplay E271i LED Monitor||LCD Monitor|||7 ms|Full HD|"27"""|Anti-glare||||60 Hz|500 mW|||||||||||Yes|USB 2.0||178°|||Yes||178°||3-year limited||10.80 lb|16.98 lb|"25.3"""|"25.28"""|
Asus ProArt PA248Q 24 LED LCD Monitor 1610 6 ms by Office Depot|Yes|Yes|Yes||16:10||LED||Asus|300 Nit|USB Hub|UL/cUL; CB; CE; FCC; CCC; TUV-GS; TUV-ERGO; ISO9241-307; BSMI; Gost-R; C-tick; VCCI; PSB; NOM; WHQL|Black|16.7 Million Colors||||80,000,000:1|||"9.3"""|||||Yes|Yes|TCO Certified Displays 5.2; ENERGY STAR; ErP; J-Moss (Japanese RoHS); RoHS|Splendid Video Intelligence Technology; Picture in Picture; Security Lock|||Yes|Yes|Yes|"16.4"""|||110 V AC; 220 V AC||708139|ASUS Computer International|PP5623|1920 x 1200|PA248Q|||Wall Mountable||||1|||75 W|In-plane Switching (IPS) Technology||PC; Mac||ProArt|ProArt PA248Q Widescreen LCD Monitor|PA|LCD Monitor|||6 ms|WUXGA|"24"""|||||76 Hz|1 W|||||||||||Yes|USB 3.0||178°|Yes|100 x 100|Yes||178°||3-year limited||||"21.9"""||
Elo 1715L Touchscreen LCD Monitor by Office Depot|||||5:4||||Elo|280 Nit|||Dark Gray|16.2 Million Colors|PC; Mac|||800:1||||||||||||||||||||||479054|Elo Touch Solutions, Inc|BG9601|1280 x 1024|1715L||||||||||||||||1715L Touchscreen LCD Monitor||LCD Touchscreen Monitor|||25 ms|SXGA|"17"""|||||60 Hz|||||||Yes|Surface Acoustic Wave||||Yes|||160°|Yes|100 x 100|Yes||160°||||15.20 lb||||
Viewsonic Extreme Wide EW1660 16 Edge LED LCD Monitor 1664 by Office Depot|||||16:6.4||Edge LED||Viewsonic|1000 Nit||||||||1,000:1|||"1.5"""||||Landscape/Portrait||||||||||"6.9"""|||||589738|Viewsonic Corporation|KB8780|1280 x 512|EW1660|||||||1||||||||Extreme Wide|Extreme Wide EW1660 Widescreen LCD Monitor||LCD Monitor|||||"16"""|||||||||||||||||||||Yes|100 x 100|Yes||||3-year limited||3.97 lb||"15.7"""||
AOC E2460SD 24 LED LCD Monitor 5 ms by Office Depot|Yes||||||LED||AOC|250 Nit|||Black|16.7 Million Colors||||20,000,000:1||||"8.63"""|||||Yes|ENERGY STAR|Eco Mode; Off Timer|||Yes||||"15.87"""||||177535|AOC|RG0398|1920 x 1080|E2460SD|||Wall Mountable||||1|||18 W|||PC|||E2460SD 24 Inch LED Monitor|60|LCD Monitor|||5 ms|Full HD|"24"""||||No||500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||1-year limited||9.79 lb|||"22.26"""|
Asus VS228H P 215 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Asus|250 Nit||UL/cUL; CB; CE; ErP; FCC; CCC; BSMI; GOST-R; C-Tick; VCCI; PSB; EK; J-MOSS; WHQL|Black|16.7 Million Colors||||50,000,000:1||||"7.87"""||||||WEEE; ENERGY STAR; RoHS||||Yes|Yes|Yes||"15.18"""||||866263|ASUS Computer International|KW3626|1920 x 1080|VS228H-P|||Wall Mountable||||1||500 mW|25 W|||PC|||VS228H-P Widescreen LCD Monitor|VS|LCD Monitor|||5 ms|Full HD|"21.5"""|||||75 Hz|500 mW||||||||||||||160°|Yes|100 x 100|Yes||170°||3-year limited||6.83 lb|||"20.24"""|
Viewsonic VA2246m LED 22 LED LCD Monitor 169 5 ms by Office Depot|Yes||||16:9||LED||Viewsonic|250 Nit|Speaker|CE; CB; SVHC list; UL; cUL; FCC-B / ICES-003B; TUV-S; Nemko ERGO; GOSTR+ Hygienic; UkrSEPRO; CCC; BSMI; PSB; C-tick; KC; e-Standby||||||1,000:1|||"1.9"""|"1.90"""|||||Yes|ENERGY STAR 5.0; RoHS; REACH; TCO Displays 5.0; ErP; China Energy Label (CEL); WEEE||||Yes||No|"12.5"""|"14.40"""||110 V AC; 220 V AC||590472|Viewsonic Corporation|RR4273|1920 x 1080|VA2246m-LED|||Wall Mountable||||1|||34 W|||Mac; PC|||VA2246m-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"22"""|Anti-glare|||Yes|75 Hz||||||||||||No|||160°|Yes|100 x 100|Yes||170°||3-year limited||6.90 lb|7.70 lb|"20.1"""|"20.10"""|
Viewsonic VP2765 LED Widescreen LCD Monitor by Office Depot|Yes||||16:9||LED||Viewsonic|300 Nit|USB Hub|UL; cUL; FCC-B (ICES); CB; CE; ICES-003B; TUV/GS; TUV; TUV-S; NOM; Gost-R; HYGIENIC (20 copies); CECP; CCC; BSMI; PSB; C-tick; SASO; ErP|Black|||||20,000,000:1|||"2.6"""|"15.30"""||||Yes|Yes|WEEE; RoHS; ENERGY STAR; TCO '05; EPEAT Silver||||Yes|||"15.4"""|"18.30"""||110 V AC; 220 V AC||538573|Viewsonic Corporation|S8140397|1920 x 1080|VP2765-LED|||||||1|||55 W|||PC; Mac|||VP2765-LED Widescreen LCD Monitor||LCD Monitor|||5 ms|Full HD|"27"""|Anti-glare||||75 Hz||||||||||||Yes|USB 2.0||178°|Yes|100 x 100|Yes||178°||3-year limited||11.80 lb|18.60 lb|"25.3"""|"25.30"""|
Viewsonic VX2770Smh LED 27 LED LCD Monitor 7 ms by Office Depot|Yes||||||LED||Viewsonic|250 Nit||CE; CB; BSMI; SASO; C-tick; e-Standby; KC; UL/cUL; FCC-B; ICES003; NOM; Gost-R/Hygienic; UkrSEPRO; CCC; ISO 9001; ISO 14001; TUV||||||1,000:1|||"7.6"""||||||Yes|ENERGY STAR; ErP; EPEAT Silver; WEEE; RoHS|Security Lock; Touch Controls|||Yes|Yes||"18.1"""|||110 V AC; 220 V AC||695846|Viewsonic Corporation|PU9483|1920 x 1080|VX2770Smh-LED|||||||1|||30 W|In-plane Switching (IPS) Technology||PC; Mac|||"VX2770Smh-LED Widescreen With Full HD 1080p 27"" Frameless LED Display"||LCD Monitor|||7 ms|Full HD|"27"""|Anti-glare||||76 Hz|||||||||||||||178°|||Yes||178°||3-year limited||11 lb||"24.5"""||
Acer S241HL 24 LED LCD Monitor 169 5 ms by Office Depot|Yes|No|No||16:9||LED||Acer|250 Nit|||Black|16.7 Million Colors||||100,000,000:1|||"6.5"""||||||Yes|MPR II; ENERGY STAR||||Yes|Yes||"15.8"""|||110 V AC; 220 V AC||190469|Acer, Inc|RG5336|1920 x 1080|S241HL|||||||1||450 mW|19.80 W|Twisted Nematic Film (TN Film)|||||S241HL Widescreen LCD Monitor|S|LCD Monitor|||5 ms|Full HD|"24"""|Anti-glare|||Yes|60 Hz|460 mW||||||||||||||160°|||Yes||170°||||7.61 lb|8.44 lb|"22.2"""||
