<page title>|aspect ratio|brightness|builtin speakers|component|contrast ratio|display colors|displayport|dvi|dvid duallink|hdmi|ips|led|manufacturer|minidisplay port|model|part|recommended resolution|refresh rate|response time|screen size|svideo|vga|viewing angle|widescreen
"V7 D22W12-N6 22.0"" Monitor (D22W12-N6) - PCPartPicker Canada"|16:10|300 cd/m²|Yes||1000:1|16700000||1|||No|No|V7|||D22W12-N6|1680 x 1050||5 ms|"22"""||1|170° H x 160° V|Yes
"LG 19CNV42K-B 60Hz 19.0"" Monitor (19CNV42K-B) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||5,000,000:1|||1|||No|Yes|LG|||19CNV42K-B|1440 x 900|60Hz|5 ms|"19"""||1|170° H x 160° V|Yes
"Eizo EV2336WFS-BK 76Hz 23.0"" Monitor (EV2336WFS-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1|||Yes|Yes|Eizo|||EV2336WFS-BK|1920 x 1080|76Hz|6 ms|"23"""||1|178° H x 178° V|Yes
"Asus VE208T 20.0"" Monitor (VE208T) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||ASCR 10,000,000:1|16700000||1|||No|Yes|Asus|||VE208T|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"Acer GN246HL 144Hz 24.0"" Monitor (UM.FG6AA.B01) - PCPartPicker Canada"|16:9|350 cd/m²|No||100,000,000:1|16700000||1||1|No|Yes|Acer||GN246HL|UM.FG6AA.B01|1920 x 1080|144Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"HP D7Q13A4#ABA 60Hz 23.0"" Monitor (D7Q13A4#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||||Yes|Yes|HP|||D7Q13A4#ABA|1920 x 1080|60Hz|8 ms|"23"""||1||Yes
"DoubleSight DS- 2200WA 21.5"" Monitor (DS-2200WA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|DoubleSight||DS- 2200WA|DS-2200WA|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"ViewSonic VA2349S 60Hz 23.0"" Monitor (VA2349S) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1|16700000||1|||Yes|Yes|ViewSonic|||VA2349S|1920 x 1080|60Hz|5 ms|"23"""||1|178° H x 178° V|Yes
"NEC PA231W-BK 23.0"" Monitor (PA231W-BK) - PCPartPicker Canada"|16:9|270 cd/m²|No||1000:1|1070000000|1|1|||No|No|NEC|||PA231W-BK|1920 x 1080||8 ms|"23"""||1|178° H x 178° V|Yes
"Acer FT200HQLbmjj 60Hz 20.0"" Monitor (UM.IT0AA.002) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||100000000:1|16700000||||1|No|No|Acer||FT200HQLbmjj|UM.IT0AA.002|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"BenQ GL2760H 60Hz 27.0"" Monitor (GL2760H) - PCPartPicker Canada"|16:9|300 cd/m²|No||DCR 12,000,000:1 (1000:1)|16700000||1||1|No|Yes|BenQ|||GL2760H|1920 x 1080|60Hz|2 ms|"27"""||1|170° H x 160° V|Yes
"ViewSonic VA1938WA-LED 19.0"" Monitor (VA1938WA-LED) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||||No|Yes|ViewSonic|||VA1938WA-LED|1366 x 768||5 ms|"19"""||1|170° H x 160° V|Yes
"Eizo FS2434-BK 60Hz 23.8"" Monitor (FS2434-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||5000:1|||1||2|Yes|Yes|Eizo|||FS2434-BK|1920 x 1080|60Hz|5 ms|"23.8"""|||178° H x 178° V|Yes
"Asus VS198D-P 19.0"" Monitor (VS198D-P) - PCPartPicker Canada"|16:10|250 cd/m²|No||ASCR 50000000:1|16700000|||||No|Yes|Asus|||VS198D-P|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"Samsung S20D300H 60Hz 19.5"" Monitor (S20D300H) - PCPartPicker Canada"|16:9|250 cd/m²|No||DCR Mega Infinity (1000:1)|16700000||||1|No|Yes|Samsung|||S20D300H|1600 x 900|60Hz|5 ms|"19.5"""||1|170° H x 160° V|Yes
"Dell E2313H 60Hz 23.0"" Monitor (469-3940) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Dell||E2313H|469-3940|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"V7 LED215W2S-9N 22.0"" Monitor (LED215W2S-9N) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||1000:1||||||No|Yes|V7|||LED215W2S-9N|1920 x 1080||5 ms|"22"""||1||Yes
"Samsung S19B420BW 60Hz 19.0"" Monitor (S19B420BW) - PCPartPicker Canada"|16:10|260 cd/m²|No||1000:1|16700000||1|||No|Yes|Samsung|||S19B420BW|1400 x 900|60Hz|5 ms|"19"""||1|170° H x 160° V|Yes
"Lenovo LS2221 21.5"" Monitor (5453LS1) - PCPartPicker Canada"|16:9|250 cd/m²|No||10M:1 (1000:1)|16700000||1|||No|Yes|Lenovo||LS2221|5453LS1|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"HP LE1711 17.0"" Monitor (EM886AA#ABA) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|No|HP||LE1711|EM886AA#ABA|1280 x 1024||5 ms|"17"""||1|160° H x 160° V|No
"Hannspree HF255DPB 24.6"" Monitor (HF255DPB) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||X-Contrast 50,000:1 (800:1)|16700000||1|||No|No|Hannspree|||HF255DPB|1920 x 1080||2 ms|"24.6"""||1|170° H x 160° V|Yes
"Acer G276HLGbd 60Hz 27.0"" Monitor (UM.HG6AA.G01) - PCPartPicker Canada"|16:9|300 cd/m²|No||3000:1|16700000||1|||No|Yes|Acer||G276HLGbd|UM.HG6AA.G01|1920 x 1080|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"Lenovo 60AAHAR1US 19.0"" Monitor (60AAHAR1US) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|Yes|Lenovo|||60AAHAR1US|1280 x 1024||7 ms|"19"""||1||No
"Acer UM.HT2AA.002 60Hz 27.0"" Monitor (T272HUL bmidpcz) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||1000:1 Native|1070000000|1|1||1|No|Yes|Acer||UM.HT2AA.002|T272HUL bmidpcz|2560 x 1440|60Hz|5 ms|"27"""|||178° H x 178° V|Yes
"Asus VX279Q 60Hz 27.0"" Monitor (VX279Q) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||80,000,000:1|16700000|1|||1|Yes|Yes|Asus|||VX279Q|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"ViewSonic VG932m-LED 19.0"" Monitor (VG932m-LED) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|||1|||No|Yes|ViewSonic|||VG932m-LED|1280 x 1024||5 ms|"19"""||1|170° H x 160° V|No
"BenQ VW2430H 24.0"" Monitor (VW2430H) - PCPartPicker Canada"|16:9|250 cd/m²|No||3000:1|16700000||1||1|No|No|BenQ|||VW2430H|1920 x 1080||4 ms|"24"""||1|178° H x 178° V|Yes
"Planar 997-6501-00 60Hz 22.0"" Monitor (997-6501-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000||1|||No|Yes|Planar|||997-6501-00|1920 x 1080|60Hz|5 ms|"22"""||1||Yes
"Acer T232HLbmidz 60Hz 23.0"" Monitor (UM.VT2AA.001) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ACM 100M:1 (1000:1)|16700000||1||1|Yes|No|Acer||T232HLbmidz|UM.VT2AA.001|1920 x 1080|60Hz|5 ms|"23"""||1|178° H x 178° V|Yes
"Lenovo 60B0HAR1US 60Hz 23.0"" Monitor (60B0HAR1US) - PCPartPicker Canada"|16:9|250 cd/m²|No||3,000,000:1|16700000||1|||No|Yes|Lenovo|||60B0HAR1US|1920 x 1080|60Hz|5 ms|"23"""||1||Yes
"Samsung S24B300EL 23.6"" Monitor (S24B300EL) - PCPartPicker Canada"|16:9|200 cd/m²|No||DCR Mega 8 (1000:1)|||||1|No|Yes|Samsung|||S24B300EL|1920 x 1080||5 ms|"23.6"""||1|90° H x 65° V|Yes
"BenQ XL2420G 144Hz 24.0"" Monitor (XL2420G) - PCPartPicker Canada"|16:9|350 cd/m²|No||DCR 12,000,000:1 (1000:1)|16700000|1|1||1|No|Yes|BenQ|||XL2420G|1920 x 1080|144Hz|1 ms|"24"""|||170° H x 160° V|Yes
"LG 27EA83R-D 60Hz 27.0"" Monitor (27EA83R-D) - PCPartPicker Canada"|16:9|350 cd/m²|No||5,000,000:1||1|1||1|Yes|Yes|LG|||27EA83R-D|2560 x 1440|60Hz|5 ms|"27"""|||178° H x 178° V|Yes
"LG 22EC33T-B 21.5"" Monitor (22EC33T-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||5,000,000:1|||1|||No|Yes|LG|||22EC33T-B|1920 x 1080||5 ms|"21.5"""||1|90° H x 65° V|Yes
"NEC PA302W 30.0"" Monitor (PA302W) - PCPartPicker Canada"|16:10|340 cd/m²|No||1000:1||2|1||1|Yes|Yes|NEC|||PA302W|2560 x 1600||6 ms|"30"""|||178° H x 178° V|Yes
"Planar PL2210W 22.0"" Monitor (997-6498-00) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|16700000||1|||No|No|Planar||PL2210W|997-6498-00|1920 x 1080||5 ms|"22"""||1|160° H x 160° V|Yes
"LG 34UM95-P 60Hz 34.0"" Monitor (34UM95-P) - PCPartPicker Canada"|21:9|320 cd/m²|No||DFC 5,000,000:1(1000:1)||1|||2|Yes|Yes|LG|||34UM95-P|3440 x 1440|60Hz|14 ms|"34"""|||178° H x 178° V|Yes
"BenQ GW2450 24.0"" Monitor (GW2450) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 20,000,000:1 (5000:1)|16700000||1|||No|Yes|BenQ|||GW2450|1920 x 1080||4 ms|"24"""||1|178° H x 178° V|Yes
"Samsung S24C200BL 23.6"" Monitor (S24C200BL) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Samsung|||S24C200BL|1920 x 1080||5 ms|"23.6"""||1|170° H x 160° V|Yes
"Acer G276HL Gbmid 60Hz 27.0"" Monitor (UM.HG6AA.G03) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ACM 100,000,000:1(3000:1)|16700000||1||1|No|Yes|Acer||G276HL Gbmid|UM.HG6AA.G03|1920 x 1080|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"NEC PA301W-BK-SV 30.0"" Monitor (PA301W-BK-SV) - PCPartPicker Canada"|16:10|350 cd/m²|No||1000:1|1070000000|2|2|||No|No|NEC|||PA301W-BK-SV|2560 x 1600||7 ms|"30"""|||178° H x 178° V|Yes
"V7 LED185W2S-9N 19.0"" Monitor (LED185W2S-9N) - PCPartPicker Canada"|16:9|200 cd/m²|Yes||800:1||||||No|Yes|V7|||LED185W2S-9N|1366 x 768||5 ms|"19"""||1||Yes
"Dell E1911 60Hz 19.0"" Monitor (469-1382) - PCPartPicker Canada"|16:10|250 cd/m²|No||1000:1|16700000||1|||No|No|Dell||E1911|469-1382|1440 x 900|60Hz|5 ms|"19"""||1|160° H x 160° V|Yes
"NEC AS241W-BK 24.0"" Monitor (AS241W-BK) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|16700000||1|||No|Yes|NEC|||AS241W-BK|1920 x 1080||5 ms|"24"""||1|176° H x 170° V|Yes
"Planar PLL2210W 22.0"" Monitor (997-6897-00) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Planar||PLL2210W|997-6897-00|1920 x 1080||5 ms|"22"""||1||Yes
"3M C2254PW 22.0"" Monitor (98-0003-3601-0) - PCPartPicker Canada"|16:10|300 cd/m²|No||1000:1|16700000||1|||No|No|3M||C2254PW|98-0003-3601-0|1680 x 1050||8 ms|"22"""||1|178° H x 178° V|Yes
"NEC P241W-BK 24.1"" Monitor (P241W-BK) - PCPartPicker Canada"|16:10|360 cd/m²|No||1000:1||1|1|||No|No|NEC|||P241W-BK|1920 x 1200||8 ms|"24.1"""||1|178° H x 178° V|Yes
"Dell P2714H 60Hz 27.0"" Monitor (P2714H) - PCPartPicker Canada"|16:9|300 cd/m²|No||1000:1|16700000|1|1|||Yes|Yes|Dell|||P2714H|1920 x 1080|60Hz|8 ms|"27"""||1|178° H x 178° V|Yes
"Planar 997-7698-00 60Hz 23.0"" Monitor (997-7698-00) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1,000:1|16700000||||1|No|Yes|Planar|||997-7698-00|1920 x 1080|60Hz|14 ms|"23"""||1|178° H x 178° V|Yes
"NEC EA234WMI-BK 75Hz 23.0"" Monitor (EA234WMI-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|NEC|||EA234WMI-BK|1920 x 1080|75Hz|6 ms|"23"""||1||Yes
"Planar 997-7451-00 60Hz 19.0"" Monitor (997-7451-00) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|16700000|||||No|Yes|Planar|||997-7451-00|1280 x 1024|60Hz|5 ms|"19"""||1||No
"Philips 298X4QJAB/27 60Hz 29.0"" Monitor (298X4QJAB/27) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||20,000,000:1||1|1||2|Yes|Yes|Philips|||298X4QJAB/27|2560 x 1080|60Hz|5 ms|"29"""|||178° H x 178° V|Yes
"NEC EA224WMi-BK 22.0"" Monitor (EA224WMi-BK) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DCR 25000:1 (1000:1)||1|1||1|Yes|Yes|NEC|||EA224WMi-BK|1920 x 1080||5 ms|"22"""||1|178° H x 178° V|Yes
"Acer S220HQLAbd 21.5"" Monitor (ET.WS0HP.A01) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1|||No|Yes|Acer||S220HQLAbd|ET.WS0HP.A01|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Planar 997-7602-00 60Hz 27.0"" Monitor (997-7602-00) - PCPartPicker Canada"|16:9|250 cd/m²|No|||16700000||1|||No|Yes|Planar|||997-7602-00|1920 x 1080|60Hz|14 ms|"27"""||1|178° H x 178° V|Yes
"HP LA2405x 60Hz 24.0"" Monitor (A9P21AA#ABA) - PCPartPicker Canada"|16:10|250 cd/m²|No||DC 3,000,000:1 (1000:1)|16700000|1|1|||No|Yes|HP||LA2405x|A9P21AA#ABA|1920 x 1200|60Hz|5 ms|"24"""||1||Yes
"NEC E171M-BK 60Hz 17.0"" Monitor (E171M-BK) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|NEC|||E171M-BK|1280 x 1024|60Hz|5 ms|"17"""||1||No
"Dell UZ2715H 60Hz 27.0"" Monitor (UZ2715H) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||DC 8,000,000:1 (1000:1)|16700000|1|||2|Yes|Yes|Dell|||UZ2715H|1920 x 1080|60Hz|8 ms|"27"""||1|178° H x 178° V|Yes
"Samsung S20C200B 20.0"" Monitor (S20C200B) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000||1|||No|Yes|Samsung|||S20C200B|1600 x 900||5 ms|"20"""||1|170° H x 160° V|Yes
"Acer H274HLBMID 27.0"" Monitor (ET.HH4HP.003) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||100,000,000:1 Max (ACM)|16700000||1||1|No|Yes|Acer||H274HLBMID|ET.HH4HP.003|1920 x 1080||5 ms|"27"""||1|170° H x 160° V|Yes
"Acer V183HV Ab 60Hz 18.5"" Monitor (ET.XV3HP.A02) - PCPartPicker Canada"|16:9|200 cd/m²|No||10000:1|16700000|||||No|No|Acer||V183HV Ab|ET.XV3HP.A02|1366 x 768|60Hz|5 ms|"18.5"""||1|90° H x 50° V|Yes
"AOC G2460PQU 144Hz 24.0"" Monitor (G2460PQU) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||80,000,000:1|16700000|1|1||1|No|Yes|AOC|||G2460PQU|1920 x 1080|144Hz|1 ms|"24"""||1|170° H x 160° V|Yes
"Asus VS197T-P 18.5"" Monitor (VS197T-P) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||50,000,000:1|16700000||1|||No|Yes|Asus|||VS197T-P|1366 x 768||5 ms|"18.5"""||1|170° H x 160° V|Yes
"Asus VS278Q-P 27.0"" Monitor (VS278Q-P) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||80,000,000:1|16700000|1|||2|No|Yes|Asus|||VS278Q-P|1920 x 1080||1 ms|"27"""||1|170° H x 160° V|Yes
"Asus VE278H 27.0"" Monitor (VE278H) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||ASVR 50000000:1 (1200:1)|16700000||||2|No|Yes|Asus|||VE278H|1920 x 1080||2 ms|"27"""||1|170° H x 160° V|Yes
"AOC E2460SD 60Hz 24.0"" Monitor (E2460SD) - PCPartPicker Canada"|16:9|250 cd/m²|No||20,000,000:1 (dynamic)|16700000||1|||No|Yes|AOC|||E2460SD|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"ViewSonic VG732m-LED 17.0"" Monitor (VG732m-LED) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||DC 20,000,000:1 (1000:1)|||1|||No|Yes|ViewSonic|||VG732m-LED|1280 x 1024|||"17"""||1|170° H x 160° V|No
"LG 27MP35VQ-B 60Hz 27.0"" Monitor (27MP35VQ-B) - PCPartPicker Canada"|16:9|200 cd/m²|No||5,000,000:1|16700000||1||1|Yes|Yes|LG|||27MP35VQ-B|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Samsung S19C200NY 18.5"" Monitor (S19C200NY) - PCPartPicker Canada"|16:9|200 cd/m²|No||700:1|16700000|||||No|Yes|Samsung|||S19C200NY|1366 x 768||5 ms|"18.5"""||1|90° H x 65° V|Yes
"HP C9V76AA#ABA 60Hz 21.5"" Monitor (C9V76AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||1000:1|16700000|||||No|Yes|HP|||C9V76AA#ABA|1920 x 1080|60Hz|5 ms|"21.5"""||1||Yes
"Dell P2014H 60Hz 19.5"" Monitor (P2014H) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16770000|1|1|||Yes|Yes|Dell|||P2014H|1600 x 900|60Hz|8 ms|"19.5"""||1|178° H x 178° V|Yes
"NEC PA302W-SV 60Hz 30.0"" Monitor (PA302W-SV) - PCPartPicker Canada"|16:10|340 cd/m²|No||1000:1||2|1||1|Yes|Yes|NEC|||PA302W-SV|2560 x 1600|60Hz|6 ms|"30"""|||178° H x 178° V|Yes
"LG 22MB65P-B 60Hz 22.0"" Monitor (22MB65P-B) - PCPartPicker Canada"|16:10|250 cd/m²|No||DFC 5,000,000:1 (1000:1)|||1|||No|Yes|LG|||22MB65P-B|1680 x 1050|60Hz|5 ms|"22"""||1|170° H x 160° V|Yes
"Samsung S22A650S 60Hz 21.5"" Monitor (LS22A650SS/ZA) - PCPartPicker Canada"|16:9|250 cd/m²|No||5000:1|16700000|1|1|||No|Yes|Samsung||S22A650S|LS22A650SS/ZA|1920 x 1080|60Hz|8 ms|"21.5"""||1||Yes
"LG 27MP35HQ 60Hz 27.0"" Monitor (27MP35HQ) - PCPartPicker Canada"|16:9|200 cd/m²|No||DC 5,000,000:1 (1000:1)|16700000||||1|Yes|Yes|LG|||27MP35HQ|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Hannspree HE245DPB 60Hz 23.6"" Monitor (HE245DPB) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||40,000,000:1|16700000||1|||No|Yes|Hannspree|||HE245DPB|1920 x 1080|60Hz|5 ms|"23.6"""||1|170° H x 160° V|Yes
"LG 22M35D 60Hz 22.0"" Monitor (22M35D) - PCPartPicker Canada"|16:9|200 cd/m²|No||1000:1|||1|||No|Yes|LG|||22M35D|1920 x 1080|60Hz|5 ms|"22"""||1|90° H x 65° V|Yes
"ViewSonic V3D245 120Hz 23.6"" Monitor (V3D245) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||20,000,000:1|||1||1|No|No|ViewSonic|||V3D245|1920 x 1080|120Hz|2 ms|"23.6"""||1|170° H x 160° V|Yes
"Samsung S22C200B 21.5"" Monitor (S22C200B) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|||1|||No|Yes|Samsung|||S22C200B|1920 x 1080||5 ms|"21.5"""||1|170° H x 160° V|Yes
"Acer K272HULbmiidp 60Hz 27.0"" Monitor (UM.HX2AA.001) - PCPartPicker Canada"|16:9|350 cd/m²|Yes||DCR 100,000,000:1(1,000:1)|16700000|1|1||2|Yes|Yes|Acer||K272HULbmiidp|UM.HX2AA.001|2560 x 1440|60Hz|6 ms|"27"""|||178° H x 178° V|Yes
"ViewSonic VA2445m-LED 60Hz 24.0"" Monitor (VA2445m-LED) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||10,000,000:1|16700000||1|||No|Yes|ViewSonic|||VA2445m-LED|1920 x 1080|60Hz|5 ms|"24"""||1|170° H x 160° V|Yes
"Acer V193LAJObm 75Hz 19.0"" Monitor (UM.CV3AA.A03) - PCPartPicker Canada"|5:4|250 cd/m²|Yes||ACM 100,000,000:1 (1,000:1)|16700000|||||No|Yes|Acer||V193LAJObm|UM.CV3AA.A03|1280 x 1024|75Hz|5 ms|"19"""||1|170° H x 160° V|No
"Acer H226HQLbid 60Hz 21.5"" Monitor (UM.WH6AA.002) - PCPartPicker Canada"|16:9|250 cd/m²|No||ACM 100,000,000:1 (1000:1)|16700000||1||1|Yes|Yes|Acer||H226HQLbid|UM.WH6AA.002|1920 x 1080|60Hz|5 ms|"21.5"""||1|178° H x 178° V|Yes
"Dell S2240M 60Hz 21.5"" Monitor (S2240M) - PCPartPicker Canada"|16:9|250 cd/m²|No||DC 8,000,000:1 (1000:1)|16700000||1|||Yes|Yes|Dell|||S2240M|1920 x 1080|60Hz|7 ms|"21.5"""||1|178° H x 178° V|Yes
"Dell IN2030M 60Hz 20.0"" Monitor (320-2457) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000 : 1 (typical), 8 Million : 1 (Dynamic)|16700000||1|||No|Yes|Dell||IN2030M|"320-2457
(or) IN2030M"|1600 x 900|60Hz|5 ms|"20"""||1|170° H x 160° V|Yes
"LG 29UB65-P 60Hz 29.0"" Monitor (29UB65-P) - PCPartPicker Canada"|21:9|300 cd/m²|Yes||DFC 500,000:1 (1000:1)||1|1||1|Yes|Yes|LG|||29UB65-P|2560 x 1080|60Hz|5 ms|"29"""|||178° H x 178° V|Yes
"Planar PL1910MW 19.0"" Monitor (997-5260-00) - PCPartPicker Canada"|16:10|300 cd/m²|Yes||1000:1|16700000||1|||No|No|Planar||PL1910MW|997-5260-00|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"Acer S271HLCbid 60Hz 27.0"" Monitor (UM.HS1AA.C01) - PCPartPicker Canada"|16:9|300 cd/m²|No||ACM 100,000,000:1 (3000:1)|16700000||1||1|No|No|Acer||S271HLCbid|UM.HS1AA.C01|1920 x 1080|60Hz|6 ms|"27"""||1|178° H x 178° V|Yes
"HP L2311c 60Hz 23.0"" Monitor (A1W80AA#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1||||||No|Yes|HP||L2311c|A1W80AA#ABA|1920 x 1080|60Hz|5 ms|"23"""||1|170° H x 160° V|Yes
"ViewSonic VA926-LED 19.0"" Monitor (VA926-LED) - PCPartPicker Canada"|5:4|250 cd/m²|No||1000:1|||1|||No|Yes|ViewSonic|||VA926-LED|1280 x 1024||5 ms|"19"""||1|170° H x 160° V|No
"NEC E224WI-BK 76Hz 21.5"" Monitor (E224WI-BK) - PCPartPicker Canada"|16:9|250 cd/m²|No||1000:1|16700000|1|1|||Yes|Yes|NEC|||E224WI-BK|1920 x 1080|76Hz|6 ms|"21.5"""||1|178° H x 178° V|Yes
"HP 23tm 23.0"" Monitor (23tm) - PCPartPicker Canada"|16:9|220 cd/m²|Yes||DC 10,000,000:1 (1,000:1)|||1|||No|No|HP|||23tm|1920 x 1080||7 ms|"23"""||||Yes
"Acer T272HLbmjjz 60Hz 27.0"" Monitor (UM.HT2AA.003) - PCPartPicker Canada"|16:9|300 cd/m²|Yes||5000:1|16700000|||||No|Yes|Acer||T272HLbmjjz|UM.HT2AA.003|1920 x 1080|60Hz|5 ms|"27"""||1|178° H x 178° V|Yes
"Acer B206HQL ymdh 60Hz 19.5"" Monitor (UM.IB6AA.001) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||100,000,000:1|16700000||1|||No|Yes|Acer||B206HQL ymdh|UM.IB6AA.001|1600 x 900|60Hz|5 ms|"19.5"""||1|170° H x 160° V|Yes
"ViewSonic TD2740 27.0"" Monitor (TD2740) - PCPartPicker Canada"|16:9|260 cd/m²|Yes||3000:1 (typ.)||1||||No|Yes|ViewSonic|||TD2740|1920 x 1080||12 ms|"27"""||1|178° H x 178° V|Yes
"Samsung S24D590PL 60Hz 23.6"" Monitor (S24D590PL) - PCPartPicker Canada"|16:9|250 cd/m²|No||DCR Mega Infinity (1000:1)|16700000||||2|No|Yes|Samsung|||S24D590PL|1920 x 1080|60Hz|5 ms|"23.6"""||1|178° H x 178° V|Yes
"Asus VE198TL 19.0"" Monitor (VE198TL) - PCPartPicker Canada"|16:10|250 cd/m²|Yes||10,000,000:1|16700000||1|||No|Yes|Asus|||VE198TL|1440 x 900||5 ms|"19"""||1|170° H x 160° V|Yes
"Eizo S2100-BK 21.3"" Monitor (S2100-BK) - PCPartPicker Canada"|4:3|300 cd/m²|No||1000:1|16700000||1|||No|No|Eizo|||S2100-BK|1600 x 1200||8 ms|"21.3"""||1|178° H x 178° V|No
"HP F0W81A8 60Hz 24.0"" Monitor (F0W81A8) - PCPartPicker Canada"|16:10|250 cd/m²|No||DC 5,000,000:1 (1000:1)||1|1|||Yes|Yes|HP|||F0W81A8|1920 x 1200|60Hz|8 ms|"24"""||1|178° H x 178° V|Yes
"ViewSonic VX2363SMHL-W 60Hz 23.0"" Monitor (VX2363SMHL-W) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||DC 50,000,000:1 (1000:1)|||||1|No|Yes|ViewSonic|||VX2363SMHL-W|1920 x 1080|60Hz|14 ms|"23"""||1|178° H x 178° V|Yes
"HP E231i 60Hz 23.0"" Monitor (F9Z10A8#ABA) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||4,000,000:1||1|1|||Yes|Yes|HP||E231i|F9Z10A8#ABA|1920 x 1080|60Hz|8 ms|"23"""||1|178° H x 178° V|Yes
"Acer UM.WV6AA.A02 (V226HQL Abmd) 60Hz 21.5"" Monitor (UM.WV6AA.A02) - PCPartPicker Canada"|16:9|250 cd/m²|Yes||100,000,000:1|16700000||1|||No|Yes|Acer||UM.WV6AA.A02 (V226HQL Abmd)|UM.WV6AA.A02|1920 x 1080|60Hz|8 ms|"21.5"""||1|178° H x 178° V|Yes
"Acer V226HQLAbmdp 60Hz 21.5"" Monitor (UM.WV6AA.A03) - PCPartPicker Canada"|16:9|250 cd/m²|No||100,000,000:1|16700000|1|1|||No|Yes|Acer||V226HQLAbmdp|UM.WV6AA.A03|1920 x 1080|60Hz|8 ms|"21.5"""||1|178° H x 178° V|Yes
